INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING
23	空手受击	长枪受击	大刀受击	双短受击	单短受击	杖受击	双环受击	扇子受击	背琴受击	0	-1	桃花岛受击	受击
24	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	0	-1	倒地	倒地
25	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	0	-1	死亡	死亡
26	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	0	-1	倒飞a	倒飞a
27	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	0	-1	倒飞b	倒飞b
28	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	0	-1	倒飞c	倒飞c
29	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	0	-1	骑乘站立_马	骑乘站立_马
30	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	0	-1	骑乘休闲_马	骑乘休闲_马
31	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	0	-1	骑乘休闲_马	骑乘休闲_马
32	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	0	-1	骑乘跑步_马	骑乘跑步_马
33	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	0	-1	骑乘跑步_马	骑乘跑步_马
34										0	-1		
35	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	0	-1	骑乘跳跃_马	骑乘跳跃_马
36										0	-1		
37										0	-1		
38	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	0	-1	骑乘跑跳_马	骑乘跑跳_马
39										0	-1		
40	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	0	-1	骑乘站立_虎	骑乘站立_虎
41	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	0	-1	骑乘休闲_虎	骑乘休闲_虎
42	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	0	-1	骑乘休闲_虎	骑乘休闲_虎
43	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	0	-1	骑乘跑步_虎	骑乘跑步_虎
44	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	0	-1	骑乘跑步_虎	骑乘跑步_虎
45										0	-1		
46	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	0	-1	骑乘跳跃_虎	骑乘跳跃_虎
47										0	-1		
48										0	-1		
49	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	0	-1	骑乘跑跳_虎	骑乘跑跳_虎
50										0	-1		
51	空手警戒	长枪警戒	大刀警戒	双短警戒	单短警戒	杖警戒	双环警戒	扇子警戒	背琴警戒	0	-1	桃花岛警戒	站立
52										0	-1		
53	空手潜行	长枪潜行	长枪潜行	双短潜行	单短潜行	长枪潜行	双环潜行	扇子潜行	背琴潜行	0	-1	桃花岛潜行	站立
63	击飞	击飞	击飞	击飞	击飞	击飞	击飞	击飞	击飞	0	-1	击飞	击飞
64	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	0	-1	融合受击	融合受击
65										0	-1		
88	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	1	-1	开宝箱	开宝箱
89	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	1	-1	男掷雪球蓄力	男掷雪球蓄力
90	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	1	-1	男掷雪球	男掷雪球
91	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	1	-1	男休闲掷雪球	男休闲掷雪球
92	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	0	-1	g01_升级_shengji	g01_升级_shengji
93	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	g01_升级_shengji	0	-1	g01_升级_shengji	g01_升级_shengji
95	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	1	-1	鞠躬	站立
96	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	1	-1	打招呼	站立
97	高兴	高兴	高兴	高兴	高兴	高兴	高兴	高兴	高兴	1	-1	高兴	站立
98	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	1	-1	悲伤	站立
99	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	g01_心法升级_shengji	0	-1	g01_心法升级_shengji	g01_心法升级_shengji
100	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	1	-1	晕倒a	站立
101	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	1	-1	晕倒b	站立
102	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	1	-1	晕倒c	站立
103	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	1	-1	下跪a	站立
104	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	1	-1	下跪b	站立
105	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	1	-1	下跪c	站立
106	称赞	称赞	称赞	称赞	称赞	称赞	称赞	称赞	称赞	1	-1	称赞	站立
107	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	1	-1	吃惊	站立
108	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	1	-1	抱拳	站立
109	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	1	-1	愤怒	站立
110	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	1	-1	哈欠	站立
111	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	1	-1	鼓掌	站立
112	摇头	摇头	摇头	摇头	摇头	摇头	摇头	摇头	摇头	1	-1	摇头	站立
113	点头	点头	点头	点头	点头	点头	点头	点头	点头	1	-1	点头	站立
114	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	1	-1	睡觉a	站立
115	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	1	-1	睡觉b	站立
116	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	1	-1	睡觉c	站立
117	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	1	-1	飞吻	站立
118	打开	打开	打开	打开	打开	打开	打开	打开	打开	1	-1	打开	攻击
119	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	1	362	钓鱼	攻击
120	采药	采药	采药	采药	采药	采药	采药	采药	采药	1	-1	采药	攻击
121	采药	采药	采药	采药	采药	采药	采药	采药	采药	1	361	采药	攻击
124	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	1	-1	g01_xuexipeifang	g01_xuexipeifang
125	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	0	-1	单短横扫	单短横扫
126	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	0	-1	单短法2蓄力	单短法2蓄力
127	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	0	-1	单短攻击01	单短攻击01
128	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	0	-1	单短法2发出	单短法2发出
129	单短攻击01	长枪攻击01	长枪攻击01	双短攻击01	单短攻击01	长枪攻击01	双短攻击01	单短攻击01	单短攻击01	0	-1	单短攻击01	攻击
130	单短攻击01	长枪凿地c	长枪凿地c	双短凿地c	单短凿地c	长枪凿地c	双短凿地c	单短凿地c	单短凿地c	0	-1	单短凿地c	攻击
131	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	0	-1	维持1a	攻击
132	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	0	-1	维持1b	攻击
133	单短攻击01	长枪丹凤朝阳	长枪丹凤朝阳	双短丹凤朝阳	单短丹凤朝阳	长枪丹凤朝阳	双短丹凤朝阳	单短丹凤朝阳	单短丹凤朝阳	0	-1	单短丹凤朝阳	攻击
134	单短攻击01	长枪慈航普渡	长枪慈航普渡	双短慈航普渡	单短慈航普渡	长枪慈航普渡	双短慈航普渡	单短慈航普渡	单短慈航普渡	0	-1	单短慈航普渡	攻击
135	单短攻击01	长枪少泽剑	长枪少泽剑	双短少泽剑	单短少泽剑	长枪少泽剑	双短少泽剑	单短少泽剑	单短少泽剑	0	-1	单短少泽剑	攻击
136	空手站立02	长枪站立02	大刀站立02	双短站立02	单短站立02	长枪站立02	双环站立02	扇子站立02	单短站立02	0	-1	单短站立02	攻击
137	空手站立02	长枪站立02	大刀攻击01	双短站立01	单短站立01	长枪站立02	双环站立01	扇子站立01	背琴站立	0	-1	桃花岛站立	攻击
138	空手站立02	长枪站立02	大刀站立01	双短站立01	单短站立01	长枪站立02	双环站立01	扇子攻击01	背琴站立	0	-1	桃花岛站立	攻击
139	空手站立02	长枪站立02	大刀站立01	双短站立01	单短攻击02	长枪站立02	双环站立01	扇子站立01	背琴站立	0	-1	桃花岛站立	攻击
140	空手站立02	长枪站立02	大刀站立01	双短站立01	单短攻击03	长枪站立02	双环站立01	扇子站立01	背琴站立	0	-1	桃花岛站立	攻击
141	空手站立02	长枪站立02	大刀站立01	双短站立01	单短攻击03	长枪站立02	双环攻击03	扇子站立01	背琴站立	0	-1	桃花岛箫攻击03	攻击
142	采矿	采矿	采矿	采矿	采矿	采矿	采矿	采矿	采矿	1	363	采矿	攻击
143	打开	打开	打开	打开	打开	打开	打开	打开	打开	1	-1	打开	攻击
144	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	0	-1	钓鱼	攻击
145	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	0	-1	跳跃	攻击
146	g01_普通攻击01_kongshou	g01_长枪连招1	g01_长枪连招1	g01_双短连招1	g01_单短连招1	g01_长枪连招1	g01_双短连招_huan	g01_单短连招1_shan	g01_单短连招1	0	-1	g01_单短连招1	npc_attack
147	g01_普通攻击01_kongshou	g01_长枪连招2	g01_长枪连招2	g01_双短连招2	g01_单短连招2	g01_长枪连招2	g01_双短连招2_huan	g01_单短连招2_shan	g01_单短连招2	0	-1	g01_单短连招2	npc_attack
148	g01_普通攻击01_kongshou	g01_长枪连招3	g01_长枪连招3	g01_双短连招3	g01_单短连招3	g01_长枪连招3	g01_双短连招3_huan	g01_单短连招3_shan	g01_单短连招3	0	-1	g01_单短连招3	npc_attack
149	g01_普通攻击01_kongshou	g01_长枪连招4	g01_长枪连招4	g01_双短连招4	g01_单短连招4	g01_长枪连招4	g01_双短连招4_huan	g01_单短连招4_shan	g01_单短连招4	0	-1	g01_单短连招4	npc_attack
150	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	0	364	g01_扫地	npc_attack
151	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	0	364	g01_空手站立01	npc_attack
152	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	0	-1	g01_招宠成功	m_magic
153	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	1	-1	g01_双手合十_luohanzhen	m_magic
154	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	1	-1	g01_双手合十_shizihou	m_magic
155	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	1	-1	g01_双手合十_cihangpudu	m_magic
156	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	1	-1	g01_双手合十_lijingrulai	m_magic
157	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	1	-1	g01_双手合十_yiweidujiang	m_magic
158	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	1	-1	g01_双手合十_qiguanquanshen	m_magic
159	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	0	-1	g01_摩诃无量_mokewuliang	m_magic
160	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	0	-1	g01_多罗叶指_duoluoyezhi	m_magic
161	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	0	-1	g01_金钟罩_jinzhongzhao	m_magic
162	g01_普通攻击01_kongshou	g01_普通攻击01_changqiang	g01_普通攻击01_dadao	g01_普通攻击01_shuangduan	g01_普通攻击01_danduan	杖攻击01	g01_普通攻击01_shuanghuan	g01_普通攻击01_shanzi	普通攻击_琴	0	-1	桃花岛箫攻击01	npc_attack
163	g01_普通攻击01_kongshou	g01_普通攻击02_changqiang	g01_普通攻击02_dadao	g01_普通攻击02_shuangduan	g01_普通攻击02_danduan	杖攻击02	g01_普通攻击02_shuanghuan	g01_普通攻击02_shanzi	普通攻击2_琴	0	-1	桃花岛箫攻击02	npc_attack
164	g01_普通攻击01_kongshou	g01_普通攻击03_changqiang	g01_普通攻击03_dadao	g01_普通攻击03_shuangduan	g01_普通攻击03_danduan	杖攻击03	g01_普通攻击03_shuanghuan	g01_普通攻击03_shanzi	普通攻击3_琴	0	-1	桃花岛箫攻击03	npc_attack
165	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	0	-1	g01_普通攻击01_kongshou	npc_attack
166	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	0	-1	g01_普通攻击01_kongshou	npc_attack
167	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	g01_普通攻击01_kongshou	0	-1	g01_普通攻击01_kongshou	npc_attack
168	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功11a	0	-1	轻功1a	npc_attack
169	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	轻功11b	0	-1	g01轻功1b	npc_attack
170	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功11c	0	-1	轻功1c	npc_attack
171	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	1	-1	打坐a	npc_attack
172	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	1	-1	打坐b	npc_attack
173	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	1	-1	打坐c	npc_attack
174	g01_普通攻击01_kongshou	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	0	-1	g01_攻击动作4_huoxingchongri	npc_attack
175	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	0	-1	g01_抬头挺胸_qixingluochangkong	npc_attack
176	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	0	-1	g01_抬头挺胸_shenxingbaibian	npc_attack
177	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	0	-1	g01_抬头挺胸_zhiluweima	npc_attack
178	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	0	-1	g01_抬头挺胸_toulianghuanzhu	npc_attack
179	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	0	-1	g01_抬头挺胸_qiannuyuren	npc_attack
180	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	0	-1	g01_抬头挺胸_nufachongguan	npc_attack
181	g01_普通攻击01_kongshou	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	0	-1	g01_攻击动作2_leitingzhinu	npc_attack
