INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
42	Æï³Ë÷çÂ¹Ñ©ÇÁ	1	1045	0.7	425	26	attach1	26	attach1	477	-1
43	ÅËÉñÆï³Ë	1	1046	0.7	426	25	attach1	25	attach1	194	1
44	ÌìÊ¹³á°ò	1	1061	0.7	424	28	attach1	28	attach1	404	1
45	Æï³Ë´º½Ú°×ĞÜ	1	2051	0.6	438	23	attach1	23	attach1	194	1
46	Æï³Ë±ÌË®½ğ¾¦ÊŞ	1	2172	0.7	532	23	attach1	23	attach1	182	1
47	Æï³ËĞı×ªÄ¾Âí	1	2244	0.7	1079	23	attach1	23	attach1	182	1
48	Æï³Ë´º½ÚÄêÊŞ	1	2253	0.7	1077	23	attach1	23	attach1	182	1
49	Æï³ËÇéÈË½Ú»¨³µ1	1	2254	0.6	1078	26	attach1	26	attach1	-1	-1
50	Æï³Ë°×±ª	1	2293	0.7	1080	25	attach1	25	attach1	182	1
51	Æï³ËºÚ±ª	1	2294	0.7	1081	25	attach1	25	attach1	182	-1
52	Æï³Ë¾ŞÔ³	1	5023	0.7	1083	26	attach1	26	attach1	462	-1
53	Æï³ËğÍÓ°µñ	1	2365	0.5	1089	23	attach1	23	attach1	405	1
54	Æï³ËÁğÁ§·ï	1	2366	0.5	1084	23	attach1	23	attach1	405	1
55	Æï³ËÈğÁ«º×	1	2367	0.9	1090	26	attach1	26	attach1	404	1
56	Æï³ËÈçÒâ»¢	1	2368	0.5	1087	23	attach1	23	attach1	188	1
57	Æï³ËÒøÔÂÀÇ	1	2369	0.5	1085	23	attach1	23	attach1	200	1
58	Æï³ËÆß²ÊÂ¹	1	2370	0.6	1091	23	attach1	23	attach1	206	-1
59	Æï³ËÁúÑªÂí	1	2371	0.6	1088	23	attach1	23	attach1	191	1
60	Æï³ËÇàêóÅ£	1	2372	0.6	1092	23	attach1	23	attach1	194	-1
61	Æï³ËÁÒÑæÊ¨	1	2373	0.6	1086	23	attach1	23	attach1	188	-1
62	¿§·È³á°ò	1	2376	0.7	541	28	attach1	28	attach1	404	1
63	Æï³ËËÉÊó	1	2399	0.6	1093	25	attach1	25	attach1	182	1
64	Æï³Ëºûµû³á°ò	1	2419	0.7	1094	28	attach1	28	attach1	404	1
65	Æï³Ë°ÍÌì»¢	1	2492	0.7	1095	23	attach1	23	attach1	489	1
66	Æï³ËÁçÑò	1	2508	0.6	1097	25	attach1	25	attach1	194	1
67	Æï³ËÑ©ÁçÑò	1	2509	0.6	1098	25	attach1	25	attach1	194	1
68	Æï³ËÓÄ¹âÁç	1	2510	0.6	1099	25	attach1	25	attach1	194	1
69	Æï³Ë·ÉÁúÒÎ	1	2512	0.6	1096	26	attach1	26	attach1	477	1
70	Æï³Ë»ğÑæõõ	1	2551	0.6	1123	25	attach1	25	attach1	182	1
71	Æï³ËĞÜÃ¨	1	2552	0.7	1124	23	attach1	23	attach1	194	1
72	Æï³Ë¿Ö¾åÄ§Õø	1	2553	0.7	1125	25	attach1	25	attach1	182	1
73	Í¼Â³¿Ë	1	2554	0.7	1126	24	attach1	24	attach1	495	1
74	°µÓ°Í¼Â³¿Ë	1	2555	0.7	1127	27	attach1	27	attach1	495	-1
75	×ÏÓ°Í¼Â³¿Ë	1	2556	0.7	1128	25	attach1	25	attach1	495	1
76	Çà÷ë°×Ôó	1	2839	0.7	-1	23	attach1	23	attach1	182	1
77	³à÷ë°×Ôó	1	2840	0.7	-1	23	attach1	23	attach1	182	1
78	º©±¦ĞÜ	1	4724	0.7	-1	23	attach1	23	attach1	182	1
79	ºÚÌìÂí	1	3544	0.7	-1	25	attach1	25	attach1	182	-1
80	ÔÆÏöÓğÒí	1	4098	0.7	-1	28	attach1	28	attach1	182	1
81	ÃÎÁéÏÉ¾Ô	1	4332	0.7	-1	23	attach1	23	attach1	182	-1
82	½­ÄÏËø¼×Âí	1	2727	0.6	-1	23	attach1	23	attach1	182	1
83	´óÄ®½ğ¸êÂí	1	2728	0.6	-1	23	attach1	23	attach1	182	1
84	¾øµØ	1	6993	0.7	-1	23	attach1	23	attach1	182	1
85	±øÂíÙ¸Âí	1	7033	0.7	-1	23	attach1	23	attach1	182	1
86	ÇØÊ¼»ÊÂí³µ	1	7043	0.7	-1	27	attach1	27	attach1	182	1
87	ÆßÏ¦´¬	1	7060	0.7	-1	36	attach2	36	attach2	-1	-1
88	ºìĞÜ	1	7113	0.7	-1	23	attach1	23	attach1	182	-1
89	ĞÇ¿ÕÌìÂí	1	7142	0.7	-1	25	attach1	25	attach1	182	-1
90	·É±ª	1	7158	0.7	-1	25	attach1	25	attach1	182	-1
91	´¹ÔÆÒí	1	7159	0.7	-1	28	attach1	28	attach1	404	1
92	Ê¥µ®Ñ±Â¹	1	7170	0.7	-1	23	attach1	23	attach1	182	1
93	Çå¿ÍÒ¡	1	7207	0.7	-1	27	attach1	27	attach1	182	1
94	²»ËÀÄñ	1	7212	0.9	-1	23	attach1	23	attach1	495	1
95	ôáÔÂÒÎ	1	7311	0.7	431	27	attach1	27	attach1	-1	1
96	ÑãÃÅ·ç»ª	1	7465	0.7	-1	34	attach1	34	attach1	-1	1
97	Òøºº¸¡Áº	1	7481	0.7	-1	35	attach1	35	attach2	-1	-1
98	ÌæÄ£Æï³Ë	1	7488	0.7	-1	23	attach1	23	attach1	-1	-1
99	ğÀ	1	7604	0.9	-1	23	attach1	23	attach1	-1	-1
100	°×ğÀ	1	7605	0.9	-1	23	attach1	23	attach1	-1	-1
101	ÁğÁ§ğÀ	1	7606	0.9	-1	23	attach1	23	attach1	-1	-1
102	¼Ä¾ÓĞ·	1	7646	0.7	-1	25	attach1	25	attach2	182	1
103	À¥ÂØÑ©Ô³	1	7647	0.7	-1	25	attach1	25	attach1	182	1
112	°¬»¢	1	7691	0.7	-1	23	attach1	23	attach1	-1	1
172	ÌìºÓÁéÈµ	1	3363	0.5	1215	27	attach1	27	attach1	-1	-1
											
#Îä»ê											
600		2	2346	0.7	1233	26	attach1	26	attach1	-1	1
601		2	2347	0.7	1233	26	attach1	26	attach1	-1	1
602		2	2348	0.7	1233	26	attach1	26	attach1	-1	1
603		2	2349	0.7	1233	26	attach1	26	attach1	-1	1
604		2	2350	0.7	1233	26	attach1	26	attach1	-1	1
605		2	2341	0.7	1233	26	attach1	26	attach1	-1	1
606		2	2342	0.7	1233	26	attach1	26	attach1	-1	1
607		2	2343	0.7	1233	26	attach1	26	attach1	-1	1
608		2	2344	0.7	1233	26	attach1	26	attach1	-1	1
609		2	2345	0.7	1233	26	attach1	26	attach1	-1	1
#SNS¾Û±¦Åè											
610		2	2884	0.7	1233	26	attach1	26	attach1	-1	1
611		2	2885	0.7	1233	26	attach1	26	attach1	-1	1
612		2	2886	0.7	1233	26	attach1	26	attach1	-1	1
613		2	2887	0.7	1233	26	attach1	26	attach1	-1	1
#¸½ÌåOBJÕ¹Ê¾											
614		2	2729	0.7	1233	26	attach1	26	attach1	-1	1
615		2	2730	0.7	1233	26	attach1	26	attach1	-1	1
616		2	2731	0.7	1233	26	attach1	26	attach1	-1	1
617		2	2732	0.7	1233	26	attach1	26	attach1	-1	1
618		2	2733	0.7	1233	26	attach1	26	attach1	-1	1
#»ÃÁéÕ¹Ê¾											
619		2	10011	0.7	1233	26	attach1	26	attach1	-1	1
620		2	10012	0.7	1233	26	attach1	26	attach1	-1	1
621		2	10013	0.7	1233	26	attach1	26	attach1	-1	1
											
#»Ã»êÕ¹Ê¾											
701		2	10015	0.7	1233	26	attach1	26	attach1	-1	1
702		2	10016	0.7	1233	26	attach1	26	attach1	-1	1
703		2	10017	0.7	1233	26	attach1	26	attach1	-1	1
704		2	10018	0.7	1233	26	attach1	26	attach1	-1	1
705		2	10019	0.7	1233	26	attach1	26	attach1	-1	1
706		2	10020	0.7	1233	26	attach1	26	attach1	-1	1
707		2	10021	0.7	1233	26	attach1	26	attach1	-1	1
708		2	10022	0.7	1233	26	attach1	26	attach1	-1	1
709		2	10023	0.7	1233	26	attach1	26	attach1	-1	1
710		2	10024	0.7	1233	26	attach1	26	attach1	-1	1
711		2	10025	0.7	1233	26	attach1	26	attach1	-1	1
712		2	10026	0.7	1233	26	attach1	26	attach1	-1	1
713		2	10027	0.7	1233	26	attach1	26	attach1	-1	1
714		2	10028	0.7	1233	26	attach1	26	attach1	-1	1
715		2	10029	0.7	1233	26	attach1	26	attach1	-1	1
716		2	10030	0.7	1233	26	attach1	26	attach1	-1	1
717		2	10031	0.7	1233	26	attach1	26	attach1	-1	1
718		2	10032	0.7	1233	26	attach1	26	attach1	-1	1
719		2	10033	0.7	1233	26	attach1	26	attach1	-1	1
720		2	10034	0.7	1233	26	attach1	26	attach1	-1	1
721		2	10035	0.7	1233	26	attach1	26	attach1	-1	1
722		2	10036	0.7	1233	26	attach1	26	attach1	-1	1
723		2	10037	0.7	1233	26	attach1	26	attach1	-1	1
724		2	10038	0.7	1233	26	attach1	26	attach1	-1	1
725		2	10039	0.7	1233	26	attach1	26	attach1	-1	1
726		2	10040	0.7	1233	26	attach1	26	attach1	-1	1
727		2	10041	0.7	1233	26	attach1	26	attach1	-1	1
728		2	10042	0.7	1233	26	attach1	26	attach1	-1	1
729		2	10043	0.7	1233	26	attach1	26	attach1	-1	1
730		2	10044	0.7	1233	26	attach1	26	attach1	-1	1
731		2	10045	0.7	1233	26	attach1	26	attach1	-1	1
732		2	10046	0.7	1233	26	attach1	26	attach1	-1	1
733		2	10047	0.7	1233	26	attach1	26	attach1	-1	1
734		2	10048	0.7	1233	26	attach1	26	attach1	-1	1
735		2	10049	0.7	1233	26	attach1	26	attach1	-1	1
736		2	10050	0.7	1233	26	attach1	26	attach1	-1	1
											
#ÊŞ»êÄ£ĞÍÔ¤ÀÀ Q546528533											
767		1	7314	1	424	28	attach1	28	attach1	-1	-1
768		1	7315	1	424	28	attach1	28	attach1	-1	-1
769		1	7316	1	424	28	attach1	28	attach1	-1	-1
770		1	7317	1	424	28	attach1	28	attach1	-1	-1
771		1	7318	1	424	28	attach1	28	attach1	-1	-1
772		1	7319	1	424	28	attach1	28	attach1	-1	-1
773		1	7320	1	424	28	attach1	28	attach1	-1	-1
774		1	7321	1	424	28	attach1	28	attach1	-1	-1
775		1	7322	1	424	28	attach1	28	attach1	-1	-1
776		1	7323	1	424	28	attach1	28	attach1	-1	-1
777		1	7324	1	424	28	attach1	28	attach1	-1	-1
778		1	7325	1	424	28	attach1	28	attach1	-1	-1
779		1	7326	1	424	28	attach1	28	attach1	-1	-1
780		1	7327	1	424	28	attach1	28	attach1	-1	-1
781		1	7328	1	424	28	attach1	28	attach1	-1	-1
782		1	7329	1	424	28	attach1	28	attach1	-1	-1
783		1	7330	1	424	28	attach1	28	attach1	-1	-1
784		1	7331	1	424	28	attach1	28	attach1	-1	-1
785		1	7332	1	424	28	attach1	28	attach1	-1	-1
786		1	7333	1	424	28	attach1	28	attach1	-1	-1
787		1	7334	1	424	28	attach1	28	attach1	-1	-1
788		1	7335	1	424	28	attach1	28	attach1	-1	-1
789		1	7336	1	424	28	attach1	28	attach1	-1	-1
790		1	7337	1	424	28	attach1	28	attach1	-1	-1
791		1	7338	1	424	28	attach1	28	attach1	-1	-1
792		1	7339	1	424	28	attach1	28	attach1	-1	-1
793		1	7340	1	424	28	attach1	28	attach1	-1	-1
794		1	7341	1	424	28	attach1	28	attach1	-1	-1
795		1	7342	1	424	28	attach1	28	attach1	-1	-1
796		1	7343	1	424	28	attach1	28	attach1	-1	-1
											
##±¾ÎÄ¼şÓÉäìÏæ¹¤¾ßÓÅ»¯ Ãë´«µØÍ¼ ÏÂÔØÈº923288704											
