INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
19	0	1	84	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	贼兵入侵	95
20	0	1	40	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
21	0	1	48	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
#22	0	1	80	5	810115	0	0	0	0	0	0	4	11	#G【镜湖】：全服终极怪物已刷新，每晚20点。击杀该怪物的玩家可100%随机获得#cFF00009级宝石#G或#cFF00008级宝石#G、#cFF0000重楼装备#G等一个。	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	藏经阁	0
#23	0	2	358	1	808003	0	0	0	0	0	0	4	10	#{BWDH_20080317_01}	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三40级别组	-1
24	0	2	59	1	808000	0	0	0	0	0	0	4	5	#{HSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{HSLJ_20080317_03}	75	-1	-1	-1	-1	华山论剑周日	-1
25	0	2	475	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	华山论剑周四	-1
26	0	1	64	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
27	0	1	80	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
28	0	1	88	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
29	0	1	0	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
#30	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六50级别组	-1
#31	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三50级别组	-1
#32	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六60级别组	-1
#33	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三60级别组	-1
#34	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六70级别组	-1
#35	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三70级别组	-1
36	0	1	74	5	808037	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	灵药活动	-1
#37	1	2	200	2	808006	88	0	0	0	0	0	4	60	#{MXT_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	马戏团周二	-1
#38	1	2	600	2	808006	88	0	0	0	0	0	4	60	#{MXT_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	马戏团周六	-1
39	1	2	1	0	808000	88	0	0	0	0	0	4	30	#{CYR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	漕运日	95
40	1	2	600	0	808000	88	0	0	0	0	0	4	30	#{SRR_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	商人日	694
41	0	1	8	3	50016	0	0	0	0	0	0	4	4	#{FZ_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	贼兵入侵	95
42	0	1	16	9	808015	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	偷袭门派	-1
43	0	1	40	0	808000	0	0	0	0	0	0	4	30	#{XQJ_20080317_01}	80	3	#{QJ_20080317_02}	90	30	#{QJ_20080317_03}	200	3	#{XQJ_20080317_02}	209	1	#{QJ_20080317_05}	210	0	棋局	-1
#44	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六80级别组	-1
#45	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三80级别组	-1
#46	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六90级别组	-1
#47	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三90级别组	-1
48	0	2	275	1	808000	0	0	0	0	0	0	4	5	#{XHSLJ_20080317_01}	15	1	#{HSLJ_20080317_02}	18	65	-1	65	3	#{XHSLJ_20080317_02}	75	-1	-1	-1	-1	华山论剑周二	-1
49	0	2	628	1	808000	0	0	0	0	0	0	4	30	#{JHJF_20080317_01}	350	3	#{JHJF_20080317_02}	360	5	#{JHJF_20080317_03}	370	120	#{JHJF_20080317_04}	899	1	#{JHJF_20080317_05}	900	-1	镜湖剿匪	-1
50	1	2	36	0	808000	59	0	0	0	0	0	4	30	#{BGZ_20080317_01}	1440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	帮派领工资	95
#51	1	1	47	0	808000	88	0	0	0	0	0	4	41	#{ZQ_20080317_01}	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	早赏月烟花	41
#52	1	1	71	0	808000	88	0	0	0	0	0	4	17	#{ZQ_20080317_02}	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	晚赏月烟花	17
53	0	1	56	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山活动开始	95
54	0	1	86	158	402100	0	0	0	0	0	0	4	4	#{YZW_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山活动结束	95
55	0	1	59	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	野猪暴走开始	95
56	0	1	89	158	402103	0	0	0	0	0	0	4	4	#{YZW_20080317_02}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	野猪暴走结束	95
57	1	2	676	0	402042	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	周六蹴鞠活动预告	695
58	1	2	12	0	402043	75	0	0	0	0	0	4	120	#P横扫牡丹碗蹴鞠大赛本月最为关键的一场比赛即将在#Y今天下午19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	840	60	#P蹴鞠大赛本月最为关键的一场比赛将在#Y19点整#P拉开帷幕！请各路英雄组织队伍，厉兵秣马，领双备药，准备参赛！	960	30	#P蹴鞠大赛横扫牡丹腕活动已经开始！请大家到#G洛阳城端王府[204，57]#P找到#Y童贯#P大人、#G大理[282，94]#Y夏青青#P、#G苏州[187，147]#Y於倩倩#P参加比赛！	1140	30	#P蹴鞠大赛即将在今天晚上#Y23点#P结束本日的比赛，请各路英雄抓紧时间清场了！	1200	5	#P蹴鞠大赛本日比赛到此结束，请各路英雄下个月再来参加比赛，谢谢！	1205	-1	周日蹴鞠活动公告	95
59	0	1	2	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
60	0	1	42	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
61	0	1	62	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
62	0	1	79	32	810002	0	0	0	0	0	0	4	11	#{XJJG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	峨嵋BOSS群	95
63	0	1	6	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
64	0	1	54	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
65	0	1	74	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
66	0	1	90	20	810003	0	0	0	0	0	0	4	11	#{BQM_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	草原BOSS群	95
67	0	1	10	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
68	0	1	46	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
69	0	1	72	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
70	0	1	94	25	810001	0	0	0	0	0	0	4	11	#{BY_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	金刚BOSS群	95
71	0	1	14	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
72	0	1	50	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
73	0	1	78	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
74	0	1	86	39	810000	0	0	0	0	0	0	4	11	#{DHW_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	毒蛤BOSS群	95
75	0	1	13	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
76	0	1	41	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
77	0	1	53	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
78	0	1	73	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
79	0	1	94	158	808066	0	0	0	0	0	0	4	11	#{DBX_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣兽山宝箱刷新	95
80	1	1	0	39	808068	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	玄武岛怪物巡逻	95
81	0	1	41	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
82	0	1	49	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
83	0	1	65	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
84	0	1	77	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
85	0	1	85	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
86	0	1	93	0	808000	0	0	0	0	0	0	4	4	#{GMBB_20080317_01}	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	古墓珍兽	95
#87	1	1	0	0	50024	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	08圣诞守夜活动_散落雪堆	95
#88	1	0	35848	0	50023	56	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	08圣诞守夜活动_堆雪人	35910
#89	1	0	35900	0	808000	88	0	0	0	0	0	4	20	#{SDJ_20080317_01}	120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	08圣诞守夜活动_领守夜礼物	35909
90	0	1	3	1	808000	0	0	0	0	0	0	4	240	#{KHS_20080317_01}	1425	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	幸运快活三	95
91	0	1	44	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
92	0	1	63	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
93	0	1	78	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
94	0	1	92	158	810110	0	0	0	0	0	0	4	11	#{LG_20080317_01}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	龙龟BOSS	95
#95	1	0	4300	0	808000	88	0	0	0	0	0	4	120	#{QRJ_20080317_01}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	情人节结婚打折	4490
#96	1	0	4400	0	808000	88	0	0	0	0	0	4	120	#{QRJ_20080317_01}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	情人节结婚打折	4590
#97	1	1	80	6	808000	88	0	0	0	0	0	4	60	#{NS_20080317_01}	65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	年兽BOSS	87
#98	1	1	88	6	50050	88	0	0	0	0	0	4	60	#{NS_20080317_02}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	年兽BOSS	89
#99	1	0	3641	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_01}	599	80	#{BCW_20080317_01}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	春节联欢晚会	3688
#100	1	0	3741	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	春节联欢晚会	3788
#101	1	0	3841	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	春节联欢晚会	3888
#102	1	0	3941	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	春节联欢晚会	3988
#103	1	0	4041	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	春节联欢晚会	4088
#104	1	0	4141	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_03}	690	-1	-1	-1	-1	春节联欢晚会	4188
#105	1	0	4241	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	599	80	#{BCW_20080317_05}	660	60	#{BCW_20080317_02}	685	60	#{BCW_20080317_06}	690	-1	-1	-1	-1	春节联欢晚会	4288
#106	0	1	85	0	50030	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	07BOSS春晚	-1
#107	1	1	36	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_01}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	宝宝双响炮活动	93
#108	1	1	28	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_02}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	宝宝双响炮活动	88
#109	1	1	36	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_03}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	宝宝双响炮活动	93
#110	1	1	32	0	808076	88	0	0	0	0	0	4	180	#{YRJ_90219_8}	960	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	愚人大变身活动	92
#111	1	1	50	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣火传递活动	-1
#112	1	1	78	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣火传递活动	-1
#113	1	1	86	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣火传递活动	-1
#114	1	1	48	0	808000	80	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣火传递活动	94
#115	1	1	76	0	808000	90	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣火传递活动	94
#116	1	1	84	0	808000	70	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	圣火传递活动	94
#117	1	0	12136	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大家一起来摆摊活动	12295
#118	1	0	12236	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大家一起来摆摊活动	12395
#119	1	0	12336	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大家一起来摆摊活动	12495
#120	1	0	12436	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大家一起来摆摊活动	12595
#121	1	0	12536	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大家一起来摆摊活动	12695
#122	1	0	12636	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大家一起来摆摊活动	12795
#123	1	0	12736	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大家一起来摆摊活动	12895
#124	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六100级别组	-1
#125	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三100级别组	-1
#126	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周六110级别组	-1
#127	0	2	358	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	大逃杀周三110级别组	-1
128	0	1	43	18	810112	0	0	0	0	0	0	4	11	#P一群#G恶僧#P觊觎少林绝学，趁少林寺内僧众云游之际，竟勾结伪官军欲闯入少林禁地藏经阁夺取武功秘笈。各少林云游武僧听闻，正在#G雁南#P集结，准备返回少林驰援师门。愿江湖正义之士前去与各地弟子相会，帮助少林渡过危机。（40级以上单人组队可参加）	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	藏经阁	0
