INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT															
31	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
32	0	扫地	扫地	扫地	0	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
33	0	打开	打开	打开	0	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
34	0	轻功	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	轻功飞跃#r有效距离：0～15米#r冷却时间：5秒	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
35	0	打坐	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF打坐#r持续回复血和气#r持续时间：60分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF打坐#r持续回复血和气#r持续时间：60分钟	0	0	-1	3600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	35	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
36	0	回城符	回城符	回城符	0	120000	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																																									
37	0	落马箭	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r有效距离： 0-15米#r瞬间释放#r冷却时间：180秒#r单体远程攻击，将骑乘状态下的人打落下马并昏睡2秒。	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r有效距离： 0-15米#r瞬间释放#r冷却时间：180秒#r单体远程攻击，将骑乘状态下的人打落下马并昏睡2秒。	1	180000	-1	-1	消耗mp	4	21	-1	-1	2	66	-1	-1	-1	-1	-1	-1			生效一次的效果(自己)	1697	生效一次的效果(目标)	10480	|引导周期的效果(自己)	-1	|引导周期的附加效果(目标)	-1																															
38	0	收集签名	收集好友签名	收集好友签名	0	1000	-1	60000		-1				-1				-1			-1			|生效一次的附加效果1	10	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
39	0	打探消息	打探消息	打探消息	0	1000	60000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
40	0	引魔	引魔	引魔	0	600000	10000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
41	0	爱神之箭	爱神之箭	爱神之箭	0	1200	1000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
42	0	支援朝廷	支援朝廷	支援朝廷	0	1200	120000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
43	0	帮派宣战采矿	帮派宣战采矿	帮派宣战采矿	0	1200	15000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
44	0	祭旗	祭旗	祭旗	0	1200	60000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
45	0	月老葫芦	月老葫芦	月老葫芦	0	1000	30000	-1		-1				-1				-1			-1			|生效一次的附加效果1	10	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
48	0	封魔	封魔中	封魔中	0	20000	60000	-1		-1				-1				-1			-1			|生效一次的附加效果1	146	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
#	#	分隔符	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#																
101	0	标准吃药	标准吃药	标准吃药	0	10000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
102	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	19000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
103	0	标准引导吃药	标准发功吃药	标准发功吃药	0	10000	-1	16000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
104	0	标准聚气乘骑	标准运气乘骑	标准运气乘骑	0	3000	3000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
105	0	标准使用配方	标准使用配方	标准使用配方	0	1300	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
106	0	标准喂养珍兽			0	0	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
107	0	标准使用物品	瞬发使用物品	瞬发使用物品	0	1300	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
108	0	标准聚气乘骑	标准运气乘骑	标准运气乘骑	0	3000	3000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
109	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	22000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
110	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	25000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
111	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	28000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
112	0	标准吃食物	标准吃食物	标准吃食物	0	1300	-1	31000		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
113	0	使用定位符	使用定位符	使用定位符	0	20000	2500	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
114	0	少林师门	打扫中	打扫中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	138	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
115	0	明教师门	取火中	取火中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	139	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
116	0	丐帮师门	打酒中	打酒中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	140	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
117	0	武当师门	采集中	采集中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	141	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
118	0	峨嵋师门	喂养中	喂养中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	142	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
119	0	星宿师门	喂养中	喂养中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	143	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
120	0	大理师门	试炼中	试炼中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	144	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
121	0	天山师门	灌水中	灌水中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	145	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
122	0	逍遥师门	读取中	读取中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	146	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
123	0	标准吃兰	标准吃兰	标准吃兰	0	10000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
124	0	标准吃师门药(瞬发)	标准吃师门药	标准吃师门药	0	10000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
125	0	聚气使用物品	聚气使用物品	聚气使用物品	0	120000	2000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
126	0	聚气使用物品	聚气使用物品	聚气使用物品	0	120000	20000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
127	0	施放烟花（抬手）	施放烟花（抬手）	施放烟花（抬手）	0	1200	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
128	0	使用无CD物品	使用无CD物品	使用无CD物品	0	0	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
129	0	扔雪球	扔雪球	扔雪球	0	1200	1000	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
130	0	标准吃血(人民币瞬发)	标准吃血(人民币瞬发)	标准吃血(人民币瞬发)	0	10000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
131	0	标准吃兰(人民币瞬发)	标准吃兰(人民币瞬发)	标准吃兰(人民币瞬发)	0	10000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
132	0	对目标使用物品（瞬发）	对目标使用物品（瞬发）	对目标使用物品（瞬发）	0	0	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
133	0	对地点使用物品（瞬发）	对地点使用物品（瞬发）	对地点使用物品（瞬发）	0	0	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
134	0	对地点使用炸弹（瞬发）	对地点使用炸弹（瞬发）	对地点使用炸弹（瞬发）	0	0	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
135	0	使用小喇叭	使用小喇叭	使用小喇叭	0	0	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
136	0	使用珍兽技能书	使用珍兽技能书	使用珍兽技能书	0	0	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
137	0	对敌对目标使用物品(5分钟CD)（瞬发）	对敌对目标使用物品(5分钟CD)（瞬发）	对敌对目标使用物品(5分钟CD)（瞬发）	0	180000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
138	0	对所有目标使用物品(5分钟CD)（瞬发）	对所有目标使用物品(5分钟CD)（瞬发）	对所有目标使用物品(5分钟CD)（瞬发）	0	180000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
139	0	自己使用物品(5分钟CD)（瞬发）	自己使用物品(5分钟CD)（瞬发）	自己使用物品(5分钟CD)（瞬发）	0	180000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
140	0	自己使用物品(1秒cd)（瞬发）	自己使用物品(1秒cd)（瞬发）	自己使用物品(1秒cd)（瞬发）	0	1000	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
141	0	召唤武魂	召唤武魂	召唤武魂	0	1300	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	198	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
																																																														
145	0	鲜花幼苗施肥	鲜花幼苗施肥	鲜花幼苗施肥	0	5000	15000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
146	0	使用鲜花的种子	种植鲜花的幼苗	种植鲜花的幼苗（5秒CD）(蓄力)	0	5000	3000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
147	0	采摘玫瑰	采摘红玫瑰。	采摘红玫瑰。	5	2000	20000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
																																																														
149	0	姑苏师门	浇花中	浇花中	0	20000	5000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	145	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
150	0	许愿	许愿中	许愿中	0	20000	5000	-1		-1				-1				-1			-1			|生效一次的附加效果1	146	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
190	0	使用遁地符录	使用遁地符录	使用遁地符录	0	20000	3000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
210	0	使用通天符录	使用通天符录	使用通天符录	0	20000	3000	-1		-1	0	0		-1	0	0		-1	0	0	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
211	1	命魂护体	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：40点#r瞬间释放#r状态 增加自身血上限400点，持续30分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：40点#r瞬间释放#r状态 增加自身血上限，持续30分钟	0	60000	-1	-1	消耗MP	4	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	420	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1		0		0		0		0		0		0		0		0															
																																																														
																																																														
																																																														
220	1	不死不休	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：160点#r瞬间释放#r冷却时间：30秒#r状态 标记敌对目标，自身攻击标记目标时，命中率增加#c54FF007%#cFFFFFF，持续30秒。#r#c5BC257需要装备武器	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：160点#r瞬间释放 冷却时间：30秒#r状态 标记敌对目标，自身攻击标记目标时，命中率增加#c54FF007%#cFFFFFF，持续30秒。#r#c5BC257需要装备武器	0	30000	-1	-1	消耗MP	4	160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	7769	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
221	2	冥星照顶	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：165点#r瞬间释放 #r状态 使用需站定10秒，后每2秒提升伤害#c54FF001%#cFFFFFF，最高#c54FF0010%#cFFFFFF，移动消失。	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：165点#r瞬间释放 #r状态 使用需站定10秒，后每2秒提升伤害#c54FF001%#cFFFFFF，最高#c54FF0010%#cFFFFFF，移动消失。	3	-1	-1	-1	消耗mp	4	165	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	攻击的效果	-1	给自己的效果	14299	给自己的效果的发生几率	100	给目标的效果	-1	给目标的效果的发生几率	0		0		0		0		0		0		0		0															
																																																														
239	239	万宝随身换	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF可以快速的把装备位上镶嵌的备用宝石和当前装备上同孔位的宝石进行互换。互换时18件装备位一起进行互换，技能的使用不受骑乘状态影响。#r瞬间释放#r冷却时间：5分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF瞬间释放#r冷却时间：5分钟	1	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
																																																														
240	0	幸福雪球	扔雪球	扔雪球	0	1200	-1	-1		-1				-1				-1			-1			|生效一次的附加效果1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
241	1	初级外防	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r瞬间释放#r状态 外功防御增加{A:190 B:0}点，持续5分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r瞬间释放#r状态 外功防御增加，持续5分钟	0	1200	-1	-1	消耗MP	4	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	101	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
242	2	初级外攻	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：10点#r有效距离： 0-2米#r瞬间释放#r冷却时间：10秒#r单体攻击 外功攻击增加{A:571 B:0}点#r#c5BC257需要装备武器	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：10点 有效距离： 0-2米#r瞬间释放 冷却时间：10秒#r单体攻击 外功攻击增加#r#c5BC257需要装备武器	0	10000	-1	-1	消耗MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	102	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
243	3	初级伤害	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：10点#r有效距离： 0-2米#r瞬间释放#r冷却时间：10秒#r单体攻击 对目标直接造成{A:45 B:0}点伤害#r#c5BC257需要装备武器	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：10点 有效距离： 0-2米#r瞬间释放 冷却时间：10秒#r单体攻击 对目标直接造成伤害#r#c5BC257需要装备武器	0	10000	-1	-1	消耗MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	103	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
244	4	初级内攻	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：10点#r有效距离： 0-15米#r瞬间释放#r冷却时间：10秒#r单体攻击 内功攻击增加{A:571 B:0}点#r#c5BC257需要装备武器	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：10点 有效距离： 0-15米#r瞬间释放 冷却时间：10秒#r单体攻击 内功攻击增加#r#c5BC257需要装备武器	0	10000	-1	-1	消耗MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	104	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
245	5	初级治疗	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：50点#r运气时间：3秒#r单体治疗 回复自身{A:80 B:0}点血	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：50点#r运气时间：3秒#r单体治疗 回复自身血	0	1200	3000	-1	消耗MP	4	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	105	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
246	6	初级内防	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r瞬间释放#r状态 内功防御增加{A:190 B:0}点，持续5分钟	#c54FF00（拖至快捷栏中使用）#r#cFFFFFF消耗气：25点#r瞬间释放#r状态 内功防御增加，持续5分钟	0	1200	-1	-1	消耗MP	4	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|生效一次的附加效果1	106	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1																															
