int	int	int	int	int	int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int
52	1	80	5051	1	10141051	1	烈焰狮	RideHeader3_12	#r#G仅明教门派可召唤。	61	80	0	0	43159	43256	43353	-1	43450	43547	43644	43741	-1	-1
53	1	80	5052	1	10141052	0	如意虎	RideHeader3_7	#r#G仅少林门派可召唤。	56	80	0	0	43160	43257	43354	-1	43451	43548	43645	43742	-1	-1
54	1	80	5053	1	10141053	6	龙血马	RideHeader3_10	#r#G仅天龙门派可召唤。	59	80	0	0	43161	43258	43355	-1	43452	43549	43646	43743	-1	-1
55	1	80	5054	1	10141054	7	鹜影雕	RideHeader3_4	#r#G仅天山门派可召唤。	53	80	0	0	43162	43259	43356	-1	43453	43550	43647	43744	-1	-1
56	1	80	5055	1	10141055	3	瑞莲鹤	RideHeader3_6	#r#G仅武当门派可召唤。	55	80	0	0	43163	43260	43357	-1	43454	43551	43648	43745	-1	-1
57	1	80	5056	1	10141056	8	七彩鹿	RideHeader3_9	#r#G仅逍遥门派可召唤。	58	80	0	0	43164	43261	43358	-1	43455	43552	43649	43746	-1	-1
58	1	80	5057	1	10141057	5	青牦牛	RideHeader3_11	#r#G仅星宿门派可召唤。	60	80	0	0	43165	43262	43359	-1	43456	43553	43650	43747	-1	-1
59	1	1	5058	1	10141058	-1	幻羽	RideHeader3_13	#G	62	80	0	0	43166	43263	43360	-1	43457	43554	43651	43748	-1	-1
60	1	10	5059	1	10141059	-1	闪电貂	RideHeader3_14	#G	63	80	0	0	43167	43264	43361	-1	43458	43555	43652	43749	-1	-1
61	1	10	5060	1	10141060	-1	蝶羽	RideHeader3_15	#G	64	80	0	0	43168	43265	43362	-1	43459	43556	43653	43750	-1	-1
62	1	10	5061	1	10141061	-1	巴天虎	RideHeader3_16	#G	65	80	0	0	43170	43267	43364	-1	43461	43558	43655	43752	-1	-1
63	2	10	5062	1	10141062	-1	飞龙椅	RideHeader4_4	#r#G召唤后可邀请同伴一同乘骑。	69	80	1	0	43171	43268	43365	-1	43462	43559	43656	43753	-1	-1
64	1	1	5063	1	10141063	-1	火焰貂	RideHeader4_5	#G	70	80	0	0	43175	43272	43369	-1	43466	43563	43660	43757	-1	-1
65	1	10	5064	1	10141064	-1	熊猫	RideHeader4_6	#G	71	80	0	0	43176	43273	43370	-1	43467	43564	43661	43758	-1	-1
66	1	10	5065	1	10141065	-1	雷刃兽	RideHeader4_7	#G	72	80	0	0	43177	43274	43371	-1	43468	43565	43662	43759	-1	-1
67	1	10	5066	1	10141066	-1	赤魅鹰	RideHeader4_8	#G	73	80	0	0	43178	43275	43372	-1	43469	43566	43663	43760	-1	-1
68	1	10	5067	1	10141067	-1	暗魅鹰	RideHeader4_9	#G	74	80	0	0	43179	43276	43373	-1	43470	43567	43664	43761	-1	-1
69	1	10	5068	1	10141068	-1	紫魅鹰	RideHeader4_10	#G	75	80	0	0	43180	43277	43374	-1	43471	43568	43665	43762	-1	-1
70	1	10	5069	1	10141069	-1	江南锁甲马	RideHeader5_1	#G	82	80	0	0	43181	43278	43375	-1	43472	43569	43666	43763	-1	-1
71	1	10	5070	1	10141070	-1	大漠金戈马	RideHeader5_2	#G	83	80	0	0	43182	43279	43376	-1	43473	43570	43667	43764	-1	-1
72	1	10	5071	1	10141071	-1	赤麟白泽	RideHeader5_12	#G	77	80	0	0	43183	43280	43377	-1	43474	43571	43668	43765	-1	-1
73	1	10	5072	1	10141072	-1	青麟白泽	RideHeader5_13	#G	76	80	0	0	43184	43281	43378	-1	43475	43572	43669	43766	-1	-1
74	1	10	5073	1	10141073	-1	天河灵鹊	RideHeader6_14	#G	172	80	0	0	43185	43282	43379	-1	43476	43573	43670	43767	-1	-1
75	1	10	5074	1	10141074	-1	黑天马	RideHeader6_16	#G	79	80	1	0	43186	43283	43380	-1	43477	43574	43671	43768	-1	-1
76	1	10	5075	1	10141075	-1	云霄羽翼	RideHeader8_8	#G	80	80	1	0	43187	43284	43381	-1	43478	43575	43672	43769	-1	-1
77	1	10	5076	1	10141076	-1	梦灵仙驹	RideHeader9_5	#G	81	80	1	0	43188	43285	43382	-1	43479	43576	43673	43770	-1	-1
78	1	10	5077	1	10141077	-1	绝地	RideHeader4_11	#G	84	80	0	0	43189	43286	43383	-1	43480	43577	43674	43771	-1	-1
79	1	10	5078	1	10141078	-1	憨宝熊	RideHeader9_11	#G	78	80	0	0	43190	43287	43384	-1	43481	43578	43675	43772	-1	-1
80	1	10	5079	1	10141079	-1	蹑景	RideHeader4_12	#G	85	80	1	0	43191	43288	43385	-1	43482	43579	43676	43773	-1	-1
81	1	10	5080	1	10141080	-1	蹑景·典藏	RideHeader4_12	#r#G右键点击即可原样取出。	85	80	1	0	43192	43289	43386	-1	43483	43580	43677	43774	-1	-1
82	1	10	5081	1	10141081	-1	六合舆	RideHeader4_13	#G	86	80	0	0	43193	43290	43387	-1	43484	43581	43678	43775	-1	-1
83	2	10	5082	1	10141082	-1	渡情	RideHeader4_14	#r#G召唤后可邀请同伴一同乘骑。	87	80	1	0	43194	43291	43388	-1	43485	43582	43679	43776	-1	-1
84	1	10	5083	1	10141083	-1	垂云翼	CircularTaskTool90_3	#G	91	80	0	0	43196	43293	43390	-1	43487	43584	43681	43778	-1	-1
85	1	10	5084	1	10141084	-1	红熊王	RideHeader4_15	#G	88	80	0	0	43197	43294	43391	-1	43488	43585	43682	43779	-1	-1
86	1	10	5085	1	10141085	-1	圣诞驯鹿	CircularTaskTool90_13	#G	92	80	0	0	43780	43781	43782	-1	43783	43784	43785	43786	-1	-1
87	1	10	5086	1	10141086	-1	清客摇	RideHeader4_16	#G	93	80	0	0	43813	43814	43815	-1	43816	43817	43818	43819	-1	-1
88	1	10	5087	1	10141087	-1	凤凰座	RideHeader10_1	#G	94	80	1	0	43886	43887	43888	-1	43889	43890	43891	43892	-1	-1
89	1	10	5088	1	10141088	-1	翎月椅	RideHeader10_2	#G	95	80	0	0	44185	44186	44187	-1	44188	44189	44190	44191	-1	-1
90	1	10	5089	1	10141089	-1	雁门风华	RideHeader10_3	#G	96	80	0	0	44582	44583	44584	-1	44585	44586	44587	44588	-1	-1
91	2	10	5090	1	10141090	-1	银汉浮梁	RideHeader10_5	#r#G召唤后可邀请同伴一同乘骑。	97	80	1	0	44609	44610	44611	-1	44612	44613	44614	44615	-1	-1
92	1	10	5091	1	10141091	10	灵鹄	RideHeader10_6	#r#G仅曼陀山庄可召唤。	99	80	0	0	44739	44740	44741	-1	44742	44743	44744	44745	-1	-1
93	1	10	5092	1	10141092	10	衔月鹄	RideHeader10_8	#r#G仅曼陀山庄可召唤。	100	80	0	0	44747	44748	44749	-1	44750	44751	44752	44753	-1	-1
94	1	10	5093	1	10141093	10	问情鹄	RideHeader10_7	#r#G仅曼陀山庄可召唤。	101	80	0	0	44758	44759	44760	-1	44761	44762	44763	44764	-1	-1
95	2	10	5094	1	10141094	-1	寄居蟹	RideHeader10_9	#r#G召唤后可邀请同伴一同乘骑。	102	80	0	0	45188	45189	45190	-1	45191	45192	45193	45194	-1	-1
96	1	10	5095	1	10141093	-1	昆仑雪猿	RideHeader10_10	#G	103	80	0	0	44758	44759	44760	-1	44761	44762	44763	44764	-1	-1
97	2	10	5096	1	10141094	-1	小虎嗷呜	RideHeader10_13	#G	112	80	1	0	45188	45189	45190	-1	45191	45192	45193	45194	-1	-1
