INT	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
135	大爆炸	大爆炸	4	0	0	1	1	npc高爆弹-爆炸01	-1		-1							5000	500	8	8	12	0	0	0	0	0	效果1	8913	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
136	臭蛋爆炸	臭蛋爆炸	0	1	0	0	0	npc臭弹-爆炸01	-1		-1							5000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
137	燃烧弹刷新	燃烧弹刷新	0	1	0	0	0	npc燃烧弹-刷新	-1		-1							5000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
138	高爆弹刷新	高爆弹刷新	0	1	0	0	0	npc高爆弹-刷新	-1		-1							5000	500	0	0	0	0	0	0	0	0	效果1	-1	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
151	步步生花	步步生花	5	0	130	3	1	g01_xy_步步生花_陷阱	-1	g01_xy_步步生花_陷阱爆炸	-1							30000	500	2	3	3	0	0	0	0	0	效果1	793	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
152	步步生花	步步生花	5	0	140	3	1	g01_xy_步步生花_陷阱	-1	g01_xy_步步生花_陷阱爆炸	-1							30000	500	2	3	3	0	0	0	0	0	效果1	793	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
155	将进酒1	将进酒1	0	0	0	2	2	buff_陷阱将进酒_01	-1	buff_陷阱将进酒_激发	-1							14500	7000	3	5	12	0	0	0	0	0	效果1	2852	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
156	将进酒2	将进酒2	0	0	0	2	2	buff_陷阱将进酒_02	-1	buff_陷阱将进酒_激发	-1							14500	7000	3	5	12	0	0	0	0	0	效果1	2852	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
157	连年有余	连年有余	0	1	0	0	0	yanhua_091119_春节2	-1		-1							35000	500	0	0	0	0	0	0	0	0	效果1		效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
158	福到了	福到了	0	1	0	0	0	yanhua_091118_春节	-1		-1							35000	500	0	0	0	0	0	0	0	0	效果1		效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
159	心如爱意	心如爱意	0	1	0	0	0	yanhua_091116_情人节2	-1		-1							35000	500	0	0	0	0	0	0	0	0	效果1		效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
160	此情正浓	此情正浓	0	1	0	0	0	yanhua_091110_情人节	-1		-1							35000	500	0	0	0	0	0	0	0	0	效果1		效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
161	回音幡攻击	回音幡攻击	0	0	170	2	1	boss花容陷阱-天	-1	g01_xy_定海神针_3	-1							1000	800	10	10	12	0	0	0	0	0	效果1	2856	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
162	十步一杀1	十步一杀1	0	0	0	2	2	buff_陷阱十步一杀_一	-1	buff_陷阱十步一杀_激发	-1							9500	4000	2	3	1	0	0	0	0	0	效果1	2877	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
163	十步一杀2	十步一杀2	0	0	0	2	2	buff_陷阱十步一杀_二	-1	buff_陷阱十步一杀_激发	-1							9500	4000	2	3	1	0	0	0	0	0	效果1	2877	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
164	十步一杀3	十步一杀3	0	0	0	2	2	buff_陷阱十步一杀_三	-1	buff_陷阱十步一杀_激发	-1							9500	4000	2	3	1	0	0	0	0	0	效果1	2877	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
165	十步一杀4	十步一杀4	0	0	0	2	2	buff_陷阱十步一杀_四	-1	buff_陷阱十步一杀_激发	-1							9500	4000	2	3	1	0	0	0	0	0	效果1	2877	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
166	十步一杀5	十步一杀5	0	0	0	2	2	buff_陷阱十步一杀_五	-1	buff_陷阱十步一杀_激发	-1							9500	4000	2	3	1	0	0	0	0	0	效果1	2877	效果2	-1	效果3几率	-1	效果3	-1		0		0		0		0		0		0		0		0		0		0		0		0	
