INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	9	平贼士兵	杀贼勇猛，冲锋在前！	17	1	-1	贼兵入侵	1	杀反贼积分100分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	0	106	-1	-1	19	31	26	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	9	平贼队长	杀贼高手，无往不利！	17	2	-1	贼兵入侵	1	杀反贼积分500分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	0	106	-1	-1	19	64	26	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	9	平贼统领	杀贼精英，贼兵克星！	17	3	-1	贼兵入侵	1	杀反贼积分5000分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	0	106	-1	-1	19	124	26	124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	9	荡寇将军	大将之才，荡平群贼！	17	4	-1	贼兵入侵	1	杀反贼积分30000分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	0	106	-1	-1	19	183	26	183	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	9	荡寇元帅	元帅之才，荡平群贼！	17	5	-1	贼兵入侵	1	杀反贼积分65000分获得的称号（杀死贼兵喽啰得1分，杀死贼兵头目得5分）。	0	106	-1	-1	19	369	26	369	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	10	比武大会状元	武艺超群，傲视天下。	18	3	168	比武大会	1	比武大会取得第一名。	0	106	-1	-1	20	6	27	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	10	比武大会榜眼	武功卓绝，天下第二。	18	2	168	比武大会	1	比武大会取得第二名。	0	106	-1	-1	20	4	27	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	10	比武大会探花	武林高手，天下第三。	18	1	168	比武大会	1	比武大会取得第三名。	0	106	-1	-1	20	2	27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	11	科举状元	学识渊博，在科举考试中力压群儒！	5	3	168	科举	1	科举取得第一名。	0	106	-1	-1	20	6	27	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	11	科举榜眼	学识过人，在科举考试中获得第二！	5	2	168	科举	1	科举取得第二名。	0	106	-1	-1	20	4	27	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	11	科举探花	学识过人，在科举考试中获得第三！	5	1	168	科举	1	科举取得第三名。	0	106	-1	-1	20	2	27	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	12	少林侠士	少林初级男弟子。	21	1	-1	师门贡献	1	少林男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22	12	灰衣护法	少林中级男弟子。	21	2	-1	师门贡献	1	少林男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23	12	金身罗汉	少林高级男弟子。	21	3	-1	师门贡献	1	少林男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	12	地藏菩萨	少林资深男弟子。	21	4	-1	师门贡献	1	少林男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25	12	少林侠女	少林初级女弟子。	21	1	-1	师门贡献	1	少林女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26	12	白衣侍者	少林中级女弟子。	21	2	-1	师门贡献	1	少林女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
27	12	渡世观音	少林高级女弟子。	21	3	-1	师门贡献	1	少林女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	12	迦蓝菩萨	少林资深女弟子。	21	4	-1	师门贡献	1	少林女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	12	明教侠士	明教初级男弟子。	21	1	-1	师门贡献	1	明教男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30	12	侍火侠士	明教中级男弟子。	21	2	-1	师门贡献	1	明教男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	12	护教法王	明教高级男弟子。	21	3	-1	师门贡献	1	明教男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
32	12	光明神使	明教资深男弟子。	21	4	-1	师门贡献	1	明教男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	12	明教侠女	明教初级女弟子。	21	1	-1	师门贡献	1	明教女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34	12	侍火侠女	明教中级女弟子。	21	2	-1	师门贡献	1	明教女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
35	12	护教散人	明教高级女弟子。	21	3	-1	师门贡献	1	明教女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36	12	光明圣女	明教资深女弟子。	21	4	-1	师门贡献	1	明教女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
37	12	丐帮侠士	丐帮初级男弟子。	21	1	-1	师门贡献	1	丐帮男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
38	12	青莲弟子	丐帮中级男弟子。	21	2	-1	师门贡献	1	丐帮男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
39	12	玄武长老	丐帮高级男弟子。	21	3	-1	师门贡献	1	丐帮男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	12	掌棒龙头	丐帮资深男弟子。	21	4	-1	师门贡献	1	丐帮男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	12	丐帮侠女	丐帮初级女弟子。	21	1	-1	师门贡献	1	丐帮女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	12	白莲弟子	丐帮中级女弟子。	21	2	-1	师门贡献	1	丐帮女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	12	朱雀长老	丐帮高级女弟子。	21	3	-1	师门贡献	1	丐帮女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	12	掌钵龙女	丐帮资深女弟子。	21	4	-1	师门贡献	1	丐帮女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	12	武当侠士	武当初级男弟子。	21	1	-1	师门贡献	1	武当男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	12	青冥居士	武当中级男弟子。	21	2	-1	师门贡献	1	武当男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	12	无为真人	武当高级男弟子。	21	3	-1	师门贡献	1	武当男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	12	武当天尊	武当资深男弟子。	21	4	-1	师门贡献	1	武当男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	12	武当侠女	武当初级女弟子。	21	1	-1	师门贡献	1	武当女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	12	白云居士	武当中级女弟子。	21	2	-1	师门贡献	1	武当女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	12	清静散人	武当高级女弟子。	21	3	-1	师门贡献	1	武当女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	12	武当仙子	武当资深女弟子。	21	4	-1	师门贡献	1	武当女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	12	峨嵋侠士	峨嵋初级男弟子。	21	1	-1	师门贡献	1	峨嵋男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	12	清风居士	峨嵋中级男弟子。	21	2	-1	师门贡献	1	峨嵋男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	12	玉龙侠士	峨嵋高级男弟子。	21	3	-1	师门贡献	1	峨嵋男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	12	峨嵋仙人	峨嵋资深男弟子。	21	4	-1	师门贡献	1	峨嵋男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	12	峨嵋侠女	峨嵋初级女弟子。	21	1	-1	师门贡献	1	峨嵋女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	12	明月居士	峨嵋中级女弟子。	21	2	-1	师门贡献	1	峨嵋女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	12	金凤侠女	峨嵋高级女弟子。	21	3	-1	师门贡献	1	峨嵋女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	12	峨嵋仙子	峨嵋资深女弟子。	21	4	-1	师门贡献	1	峨嵋女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	12	星宿侠士	星宿初级男弟子。	21	1	-1	师门贡献	1	星宿男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	12	行瘟郎君	星宿中级男弟子。	21	2	-1	师门贡献	1	星宿男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	12	催命判官	星宿高级男弟子。	21	3	-1	师门贡献	1	星宿男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	12	毒手医仙	星宿资深男弟子。	21	4	-1	师门贡献	1	星宿男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	12	星宿侠女	星宿初级女弟子。	21	1	-1	师门贡献	1	星宿女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	12	行瘟娘子	星宿中级女弟子。	21	2	-1	师门贡献	1	星宿女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	12	夺命夜叉	星宿高级女弟子。	21	3	-1	师门贡献	1	星宿女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	12	毒手药王	星宿资深女弟子。	21	4	-1	师门贡献	1	星宿女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	12	天龙侠士	天龙初级男弟子。	21	1	-1	师门贡献	1	天龙男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	12	藏经侠士	天龙中级男弟子。	21	2	-1	师门贡献	1	天龙男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
71	12	崇圣天师	天龙高级男弟子。	21	3	-1	师门贡献	1	天龙男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
72	12	天南龙王	天龙资深男弟子。	21	4	-1	师门贡献	1	天龙男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	12	天龙侠女	天龙初级女弟子。	21	1	-1	师门贡献	1	天龙女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	12	藏经侠女	天龙中级女弟子。	21	2	-1	师门贡献	1	天龙女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	12	崇圣天女	天龙高级女弟子。	21	3	-1	师门贡献	1	天龙女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76	12	天南龙女	天龙资深女弟子。	21	4	-1	师门贡献	1	天龙女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
77	12	天山侠士	天山初级男弟子。	21	1	-1	师门贡献	1	天山男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	12	阳天部众	天山中级男弟子。	21	2	-1	师门贡献	1	天山男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
79	12	天山苍鹰	天山高级男弟子。	21	3	-1	师门贡献	1	天山男弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
80	12	混元山神	天山资深男弟子。	21	4	-1	师门贡献	1	天山男弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81	12	天山侠女	天山初级女弟子。	21	1	-1	师门贡献	1	天山女弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
82	12	昊天部众	天山中级女弟子。	21	2	-1	师门贡献	1	天山女弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
83	12	天山雪雕	天山高级女弟子。	21	3	-1	师门贡献	1	天山女弟子的师门贡献度达到2500给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
84	12	混元花神	天山资深女弟子。	21	4	-1	师门贡献	1	天山女弟子的师门贡献度达到5000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
85	12	逍遥侠士	逍遥初级男弟子。	21	1	-1	师门贡献	1	逍遥男弟子默认给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
86	12	抚琴居士	逍遥中级男弟子。	21	2	-1	师门贡献	1	逍遥男弟子的师门贡献度达到1000给予的称号。	0	106	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
