INT	INT	STRING
50621406	5	6
		
50701001	5	7
50701002	5	7
50702001	5	7
50702002	5	7
50702003	5	7
50702004	5	7
50702005	5	7
50702006	5	7
50702007	5	7
50702008	5	7
50703001	5	7
50704002	5	7
50711001	5	7
50711002	5	7
50712001	5	7
50712002	5	7
50712003	5	7
50712004	5	7
50712005	5	7
50712006	5	7
50712007	5	7
50712008	5	7
50713001	5	7
50713002	5	7
50713003	5	7
50713004	5	7
50713005	5	7
50713006	5	7
50714001	5	7
50721001	5	7
50721002	5	7
50721003	5	7
50721004	5	7
50721101	5	7
50721102	5	7
50721103	5	7
50721104	5	7
50721105	5	7
50721106	5	7
50721107	5	7
50721201	5	7
50721202	5	7
50721203	5	7
50721204	5	7
50721205	5	7
50721206	5	7
50721207	5	7
50721301	5	7
50721302	5	7
50721303	5	7
50721304	5	7
50721305	5	7
50721306	5	7
50721307	5	7
50721401	5	7
50721402	5	7
50721403	5	7
50721404	5	7
50721405	5	7
50721406	5	7
50721407	5	7
		
50801001	5	8
50801002	5	8
50802001	5	8
50802002	5	8
50802003	5	8
50802004	5	8
50802005	5	8
50802006	5	8
50802007	5	8
50802008	5	8
50803001	5	8
50804002	5	8
50811001	5	8
50811002	5	8
50812001	5	8
50812002	5	8
50812003	5	8
50812004	5	8
50812005	5	8
50812006	5	8
50812007	5	8
50812008	5	8
50813001	5	8
50813002	5	8
50813003	5	8
50813004	5	8
50813005	5	8
50813006	5	8
50814001	5	8
50821001	5	8
50821002	5	8
50821003	5	8
50821004	5	8
50821101	5	8
50821102	5	8
50821103	5	8
50821104	5	8
50821105	5	8
50821106	5	8
50821107	5	8
50821108	5	8
50821201	5	8
50821202	5	8
50821203	5	8
50821204	5	8
50821205	5	8
50821206	5	8
50821207	5	8
50821208	5	8
50821301	5	8
50821302	5	8
50821303	5	8
50821304	5	8
50821305	5	8
50821306	5	8
50821307	5	8
50821308	5	8
50821401	5	8
50821402	5	8
50821403	5	8
50821404	5	8
50821405	5	8
50821406	5	8
50821407	5	8
50821408	5	8
		
50901001	5	9
50901002	5	9
50902001	5	9
50902002	5	9
50902003	5	9
50902004	5	9
50902005	5	9
50902006	5	9
50902007	5	9
50902008	5	9
50903001	5	9
50904002	5	9
50911001	5	9
50911002	5	9
50912001	5	9
50912002	5	9
50912003	5	9
50912004	5	9
50912005	5	9
50912006	5	9
50912007	5	9
50912008	5	9
50913001	5	9
50913002	5	9
50913003	5	9
50913004	5	9
50913005	5	9
50913006	5	9
50914001	5	9
50921001	5	9
50921002	5	9
50921003	5	9
50921004	5	9
50921101	5	9
50921102	5	9
50921103	5	9
50921104	5	9
50921105	5	9
50921106	5	9
50921107	5	9
50921108	5	9
50921109	5	9
50921201	5	9
50921202	5	9
50921203	5	9
50921204	5	9
50921205	5	9
50921206	5	9
50921207	5	9
50921208	5	9
50921209	5	9
50921301	5	9
50921302	5	9
50921303	5	9
50921304	5	9
50921305	5	9
50921306	5	9
50921307	5	9
50921308	5	9
50921309	5	9
50921401	5	9
50921402	5	9
50921403	5	9
50921404	5	9
50921405	5	9
50921406	5	9
50921407	5	9
50921408	5	9
50921409	5	9
#时装点缀整理 BY SUNYAN 逍遥子 QQ857904341		
59000001	5	4
59000002	5	4
59000003	5	4
59000004	5	4
59000005	5	4
59000006	5	4
59000007	5	4
59000008	5	4
59000009	5	4
59000010	5	4
59000011	5	4
		
59000012	5	4
59000013	5	4
59000014	5	4
59000015	5	4
59000016	5	4
59000017	5	4
59000018	5	4
59000019	5	4
59000020	5	4
59000021	5	4
59000022	5	4
		
59000023	5	4
59000024	5	4
59000025	5	4
59000026	5	4
59000027	5	4
59000028	5	4
59000029	5	4
59000030	5	4
59000031	5	4
59000032	5	4
59000033	5	4
#冰蓝流云·肩		
59000112	5	4
59000113	5	4
59000114	5	4
59000115	5	4
59000116	5	4
59000117	5	4
59000118	5	4
59000119	5	4
59000120	5	4
59000121	5	4
59000122	5	4
59000123	5	4
59000124	5	4
59000125	5	4
59000126	5	4
59000127	5	4
59000128	5	4
59000129	5	4
59000130	5	4
59000131	5	4
59000132	5	4
59000133	5	4
59000212	5	4
59000213	5	4
59000214	5	4
59000215	5	4
59000216	5	4
59000217	5	4
59000218	5	4
59000219	5	4
59000220	5	4
59000221	5	4
59000222	5	4
59000223	5	4
59000224	5	4
59000225	5	4
59000226	5	4
59000227	5	4
59000228	5	4
59000229	5	4
59000230	5	4
59000231	5	4
59000232	5	4
59000233	5	4
59000312	5	4
59000313	5	4
59000314	5	4
59000315	5	4
59000316	5	4
59000317	5	4
59000318	5	4
59000319	5	4
59000320	5	4
59000321	5	4
59000322	5	4
59000323	5	4
59000324	5	4
59000325	5	4
59000326	5	4
59000327	5	4
59000328	5	4
59000329	5	4
59000330	5	4
59000331	5	4
59000332	5	4
59000333	5	4
59000412	5	4
59000413	5	4
59000414	5	4
59000415	5	4
59000416	5	4
59000417	5	4
59000418	5	4
59000419	5	4
59000420	5	4
59000421	5	4
59000422	5	4
59000423	5	4
59000424	5	4
59000425	5	4
59000426	5	4
59000427	5	4
59000428	5	4
59000429	5	4
59000430	5	4
59000431	5	4
59000432	5	4
59000433	5	4
59000512	5	4
59000513	5	4
59000514	5	4
59000515	5	4
59000516	5	4
59000517	5	4
59000518	5	4
59000519	5	4
59000520	5	4
59000521	5	4
59000522	5	4
59000523	5	4
59000524	5	4
59000525	5	4
59000526	5	4
59000527	5	4
59000528	5	4
59000529	5	4
59000530	5	4
59000531	5	4
59000532	5	4
59000533	5	4
59000612	5	4
59000613	5	4
59000614	5	4
59000615	5	4
59000616	5	4
59000617	5	4
59000618	5	4
59000619	5	4
59000620	5	4
59000621	5	4
59000622	5	4
59000623	5	4
59000624	5	4
59000625	5	4
59000626	5	4
59000627	5	4
59000628	5	4
59000629	5	4
59000630	5	4
59000631	5	4
59000632	5	4
59000633	5	4
59000712	5	4
59000713	5	4
59000714	5	4
59000715	5	4
59000716	5	4
59000717	5	4
59000718	5	4
59000719	5	4
59000720	5	4
59000721	5	4
59000722	5	4
59000723	5	4
59000724	5	4
59000725	5	4
59000726	5	4
59000727	5	4
59000728	5	4
59000729	5	4
59000730	5	4
59000731	5	4
59000732	5	4
59000733	5	4
59000812	5	4
59000813	5	4
59000814	5	4
59000815	5	4
59000816	5	4
59000817	5	4
59000818	5	4
59000819	5	4
59000820	5	4
59000821	5	4
59000822	5	4
59000823	5	4
59000824	5	4
59000825	5	4
59000826	5	4
59000827	5	4
59000828	5	4
59000829	5	4
59000830	5	4
59000831	5	4
59000832	5	4
59000833	5	4
59000912	5	4
59000913	5	4
59000914	5	4
59000915	5	4
59000916	5	4
59000917	5	4
59000918	5	4
59000919	5	4
59000920	5	4
59000921	5	4
59000922	5	4
59000923	5	4
59000924	5	4
59000925	5	4
59000926	5	4
59000927	5	4
59000928	5	4
59000929	5	4
59000930	5	4
59000931	5	4
59000932	5	4
59000933	5	4
59001012	5	4
59001013	5	4
59001014	5	4
59001015	5	4
59001016	5	4
59001017	5	4
59001018	5	4
59001019	5	4
59001020	5	4
59001021	5	4
59001022	5	4
59001023	5	4
59001024	5	4
59001025	5	4
59001026	5	4
59001027	5	4
59001028	5	4
59001029	5	4
59001030	5	4
59001031	5	4
59001032	5	4
59001033	5	4
59001112	5	4
59001113	5	4
59001114	5	4
59001115	5	4
59001116	5	4
59001117	5	4
59001118	5	4
59001119	5	4
59001120	5	4
59001121	5	4
59001122	5	4
59001123	5	4
59001124	5	4
59001125	5	4
59001126	5	4
59001127	5	4
59001128	5	4
59001129	5	4
59001130	5	4
59001131	5	4
59001132	5	4
59001133	5	4
#第二种情况、尴尬		
59001223	5	4
59001224	5	4
59001225	5	4
59001226	5	4
59001227	5	4
59001228	5	4
59001229	5	4
59001230	5	4
59001231	5	4
59001232	5	4
59001233	5	4
59001323	5	4
59001324	5	4
59001325	5	4
59001326	5	4
59001327	5	4
59001328	5	4
59001329	5	4
59001330	5	4
59001331	5	4
59001332	5	4
59001333	5	4
59001423	5	4
59001424	5	4
59001425	5	4
59001426	5	4
59001427	5	4
59001428	5	4
59001429	5	4
59001430	5	4
59001431	5	4
59001432	5	4
59001433	5	4
59001523	5	4
59001524	5	4
59001525	5	4
59001526	5	4
59001527	5	4
59001528	5	4
59001529	5	4
59001530	5	4
59001531	5	4
59001532	5	4
59001533	5	4
59001623	5	4
59001624	5	4
59001625	5	4
59001626	5	4
59001627	5	4
59001628	5	4
59001629	5	4
59001630	5	4
59001631	5	4
59001632	5	4
59001633	5	4
59001723	5	4
59001724	5	4
59001725	5	4
59001726	5	4
59001727	5	4
59001728	5	4
59001729	5	4
59001730	5	4
59001731	5	4
59001732	5	4
59001733	5	4
59001823	5	4
59001824	5	4
59001825	5	4
59001826	5	4
59001827	5	4
59001828	5	4
59001829	5	4
59001830	5	4
59001831	5	4
59001832	5	4
59001833	5	4
59001923	5	4
59001924	5	4
59001925	5	4
59001926	5	4
59001927	5	4
59001928	5	4
59001929	5	4
59001930	5	4
59001931	5	4
59001932	5	4
59001933	5	4
59002023	5	4
59002024	5	4
59002025	5	4
59002026	5	4
59002027	5	4
59002028	5	4
59002029	5	4
59002030	5	4
59002031	5	4
59002032	5	4
59002033	5	4
59002123	5	4
59002124	5	4
59002125	5	4
59002126	5	4
59002127	5	4
59002128	5	4
59002129	5	4
59002130	5	4
59002131	5	4
59002132	5	4
59002133	5	4
59002223	5	4
59002224	5	4
59002225	5	4
59002226	5	4
59002227	5	4
59002228	5	4
59002229	5	4
59002230	5	4
59002231	5	4
59002232	5	4
59002233	5	4
		
59011223	5	4
59011224	5	4
59011225	5	4
59011226	5	4
59011227	5	4
59011228	5	4
59011229	5	4
59011230	5	4
59011231	5	4
59011232	5	4
59011233	5	4
59011323	5	4
59011324	5	4
59011325	5	4
59011326	5	4
59011327	5	4
59011328	5	4
59011329	5	4
59011330	5	4
59011331	5	4
59011332	5	4
59011333	5	4
59011423	5	4
59011424	5	4
59011425	5	4
59011426	5	4
59011427	5	4
59011428	5	4
59011429	5	4
59011430	5	4
59011431	5	4
59011432	5	4
59011433	5	4
59011523	5	4
59011524	5	4
59011525	5	4
59011526	5	4
59011527	5	4
59011528	5	4
59011529	5	4
59011530	5	4
59011531	5	4
59011532	5	4
59011533	5	4
59011623	5	4
59011624	5	4
59011625	5	4
59011626	5	4
59011627	5	4
59011628	5	4
59011629	5	4
59011630	5	4
59011631	5	4
59011632	5	4
59011633	5	4
59011723	5	4
59011724	5	4
59011725	5	4
59011726	5	4
59011727	5	4
59011728	5	4
59011729	5	4
59011730	5	4
59011731	5	4
59011732	5	4
59011733	5	4
59011823	5	4
59011824	5	4
59011825	5	4
59011826	5	4
59011827	5	4
59011828	5	4
59011829	5	4
59011830	5	4
59011831	5	4
59011832	5	4
59011833	5	4
59011923	5	4
59011924	5	4
59011925	5	4
59011926	5	4
59011927	5	4
59011928	5	4
59011929	5	4
59011930	5	4
59011931	5	4
59011932	5	4
59011933	5	4
59012023	5	4
59012024	5	4
59012025	5	4
59012026	5	4
59012027	5	4
59012028	5	4
59012029	5	4
59012030	5	4
59012031	5	4
59012032	5	4
59012033	5	4
59012123	5	4
59012124	5	4
59012125	5	4
59012126	5	4
59012127	5	4
59012128	5	4
59012129	5	4
59012130	5	4
59012131	5	4
59012132	5	4
59012133	5	4
59012223	5	4
59012224	5	4
59012225	5	4
59012226	5	4
59012227	5	4
59012228	5	4
59012229	5	4
59012230	5	4
59012231	5	4
59012232	5	4
59012233	5	4
#紫微星光·肩		
59021223	5	4
59021224	5	4
59021225	5	4
59021226	5	4
59021227	5	4
59021228	5	4
59021229	5	4
59021230	5	4
59021231	5	4
59021232	5	4
59021233	5	4
59021323	5	4
59021324	5	4
59021325	5	4
59021326	5	4
59021327	5	4
59021328	5	4
59021329	5	4
59021330	5	4
59021331	5	4
59021332	5	4
59021333	5	4
59021423	5	4
59021424	5	4
59021425	5	4
59021426	5	4
59021427	5	4
59021428	5	4
59021429	5	4
59021430	5	4
59021431	5	4
59021432	5	4
59021433	5	4
59021523	5	4
59021524	5	4
59021525	5	4
59021526	5	4
59021527	5	4
59021528	5	4
59021529	5	4
59021530	5	4
59021531	5	4
59021532	5	4
59021533	5	4
59021623	5	4
59021624	5	4
59021625	5	4
59021626	5	4
59021627	5	4
59021628	5	4
59021629	5	4
59021630	5	4
59021631	5	4
59021632	5	4
59021633	5	4
59021723	5	4
59021724	5	4
59021725	5	4
59021726	5	4
59021727	5	4
59021728	5	4
59021729	5	4
59021730	5	4
59021731	5	4
59021732	5	4
59021733	5	4
59021823	5	4
59021824	5	4
59021825	5	4
59021826	5	4
59021827	5	4
59021828	5	4
59021829	5	4
59021830	5	4
59021831	5	4
59021832	5	4
59021833	5	4
59021923	5	4
59021924	5	4
59021925	5	4
59021926	5	4
59021927	5	4
59021928	5	4
59021929	5	4
59021930	5	4
59021931	5	4
59021932	5	4
59021933	5	4
59022023	5	4
59022024	5	4
59022025	5	4
59022026	5	4
59022027	5	4
59022028	5	4
59022029	5	4
59022030	5	4
59022031	5	4
59022032	5	4
59022033	5	4
59022123	5	4
59022124	5	4
59022125	5	4
59022126	5	4
59022127	5	4
59022128	5	4
59022129	5	4
59022130	5	4
59022131	5	4
59022132	5	4
59022133	5	4
59022223	5	4
59022224	5	4
59022225	5	4
59022226	5	4
59022227	5	4
59022228	5	4
59022229	5	4
59022230	5	4
59022231	5	4
59022232	5	4
59022233	5	4
#翠玉星尘·肩		
59031223	5	4
59031224	5	4
59031225	5	4
59031226	5	4
59031227	5	4
59031228	5	4
59031229	5	4
59031230	5	4
59031231	5	4
59031232	5	4
59031233	5	4
59031323	5	4
59031324	5	4
59031325	5	4
59031326	5	4
59031327	5	4
59031328	5	4
59031329	5	4
59031330	5	4
59031331	5	4
59031332	5	4
59031333	5	4
59031423	5	4
59031424	5	4
59031425	5	4
59031426	5	4
59031427	5	4
59031428	5	4
59031429	5	4
59031430	5	4
59031431	5	4
59031432	5	4
59031433	5	4
59031523	5	4
59031524	5	4
59031525	5	4
59031526	5	4
59031527	5	4
59031528	5	4
59031529	5	4
59031530	5	4
59031531	5	4
59031532	5	4
59031533	5	4
59031623	5	4
59031624	5	4
59031625	5	4
59031626	5	4
59031627	5	4
59031628	5	4
59031629	5	4
59031630	5	4
59031631	5	4
59031632	5	4
59031633	5	4
59031723	5	4
59031724	5	4
59031725	5	4
59031726	5	4
59031727	5	4
59031728	5	4
59031729	5	4
59031730	5	4
59031731	5	4
59031732	5	4
59031733	5	4
59031823	5	4
59031824	5	4
59031825	5	4
59031826	5	4
59031827	5	4
59031828	5	4
59031829	5	4
59031830	5	4
59031831	5	4
59031832	5	4
59031833	5	4
59031923	5	4
59031924	5	4
59031925	5	4
59031926	5	4
59031927	5	4
59031928	5	4
59031929	5	4
59031930	5	4
59031931	5	4
59031932	5	4
59031933	5	4
59032023	5	4
59032024	5	4
59032025	5	4
59032026	5	4
59032027	5	4
59032028	5	4
59032029	5	4
59032030	5	4
59032031	5	4
59032032	5	4
59032033	5	4
59032123	5	4
59032124	5	4
59032125	5	4
59032126	5	4
59032127	5	4
59032128	5	4
59032129	5	4
59032130	5	4
59032131	5	4
59032132	5	4
59032133	5	4
59032223	5	4
59032224	5	4
59032225	5	4
59032226	5	4
59032227	5	4
59032228	5	4
59032229	5	4
59032230	5	4
59032231	5	4
59032232	5	4
59032233	5	4
#橙影如梦·肩		
59041223	5	4
59041224	5	4
59041225	5	4
59041226	5	4
59041227	5	4
59041228	5	4
59041229	5	4
59041230	5	4
59041231	5	4
59041232	5	4
59041233	5	4
59041323	5	4
59041324	5	4
59041325	5	4
59041326	5	4
59041327	5	4
59041328	5	4
59041329	5	4
59041330	5	4
59041331	5	4
59041332	5	4
59041333	5	4
59041423	5	4
59041424	5	4
59041425	5	4
59041426	5	4
59041427	5	4
59041428	5	4
59041429	5	4
59041430	5	4
59041431	5	4
59041432	5	4
59041433	5	4
59041523	5	4
59041524	5	4
59041525	5	4
59041526	5	4
59041527	5	4
59041528	5	4
59041529	5	4
59041530	5	4
59041531	5	4
59041532	5	4
59041533	5	4
59041623	5	4
59041624	5	4
59041625	5	4
59041626	5	4
59041627	5	4
59041628	5	4
59041629	5	4
59041630	5	4
59041631	5	4
59041632	5	4
59041633	5	4
59041723	5	4
59041724	5	4
59041725	5	4
59041726	5	4
59041727	5	4
59041728	5	4
59041729	5	4
59041730	5	4
59041731	5	4
59041732	5	4
59041733	5	4
59041823	5	4
59041824	5	4
59041825	5	4
59041826	5	4
59041827	5	4
59041828	5	4
59041829	5	4
59041830	5	4
59041831	5	4
59041832	5	4
59041833	5	4
59041923	5	4
59041924	5	4
59041925	5	4
59041926	5	4
59041927	5	4
59041928	5	4
59041929	5	4
59041930	5	4
59041931	5	4
59041932	5	4
59041933	5	4
59042023	5	4
59042024	5	4
59042025	5	4
59042026	5	4
59042027	5	4
59042028	5	4
59042029	5	4
59042030	5	4
59042031	5	4
59042032	5	4
59042033	5	4
59042123	5	4
59042124	5	4
59042125	5	4
59042126	5	4
59042127	5	4
59042128	5	4
59042129	5	4
59042130	5	4
59042131	5	4
59042132	5	4
59042133	5	4
59042223	5	4
59042224	5	4
59042225	5	4
59042226	5	4
59042227	5	4
59042228	5	4
59042229	5	4
59042230	5	4
59042231	5	4
59042232	5	4
59042233	5	4
#花落红尘·肩		
59051223	5	4
59051224	5	4
59051225	5	4
59051226	5	4
59051227	5	4
59051228	5	4
59051229	5	4
59051230	5	4
59051231	5	4
59051232	5	4
59051233	5	4
59051323	5	4
59051324	5	4
59051325	5	4
59051326	5	4
59051327	5	4
59051328	5	4
59051329	5	4
59051330	5	4
59051331	5	4
59051332	5	4
59051333	5	4
59051423	5	4
59051424	5	4
59051425	5	4
59051426	5	4
59051427	5	4
59051428	5	4
59051429	5	4
59051430	5	4
59051431	5	4
59051432	5	4
59051433	5	4
59051523	5	4
59051524	5	4
59051525	5	4
59051526	5	4
59051527	5	4
59051528	5	4
59051529	5	4
59051530	5	4
59051531	5	4
59051532	5	4
59051533	5	4
59051623	5	4
59051624	5	4
59051625	5	4
59051626	5	4
59051627	5	4
59051628	5	4
59051629	5	4
59051630	5	4
59051631	5	4
59051632	5	4
59051633	5	4
59051723	5	4
59051724	5	4
59051725	5	4
59051726	5	4
59051727	5	4
59051728	5	4
59051729	5	4
59051730	5	4
59051731	5	4
59051732	5	4
59051733	5	4
59051823	5	4
59051824	5	4
59051825	5	4
59051826	5	4
59051827	5	4
59051828	5	4
59051829	5	4
59051830	5	4
59051831	5	4
59051832	5	4
59051833	5	4
59051923	5	4
59051924	5	4
59051925	5	4
59051926	5	4
59051927	5	4
59051928	5	4
59051929	5	4
59051930	5	4
59051931	5	4
59051932	5	4
59051933	5	4
59052023	5	4
59052024	5	4
59052025	5	4
59052026	5	4
59052027	5	4
59052028	5	4
59052029	5	4
59052030	5	4
59052031	5	4
59052032	5	4
59052033	5	4
59052123	5	4
59052124	5	4
59052125	5	4
59052126	5	4
59052127	5	4
59052128	5	4
59052129	5	4
59052130	5	4
59052131	5	4
59052132	5	4
59052133	5	4
59052223	5	4
59052224	5	4
59052225	5	4
59052226	5	4
59052227	5	4
59052228	5	4
59052229	5	4
59052230	5	4
59052231	5	4
59052232	5	4
59052233	5	4
#蝶影心华·肩		
59061223	5	4
59061224	5	4
59061225	5	4
59061226	5	4
59061227	5	4
59061228	5	4
59061229	5	4
59061230	5	4
59061231	5	4
59061232	5	4
59061233	5	4
59061323	5	4
59061324	5	4
59061325	5	4
59061326	5	4
59061327	5	4
59061328	5	4
59061329	5	4
59061330	5	4
59061331	5	4
59061332	5	4
59061333	5	4
59061423	5	4
59061424	5	4
59061425	5	4
59061426	5	4
59061427	5	4
59061428	5	4
59061429	5	4
59061430	5	4
59061431	5	4
59061432	5	4
59061433	5	4
59061523	5	4
59061524	5	4
59061525	5	4
59061526	5	4
59061527	5	4
59061528	5	4
59061529	5	4
59061530	5	4
59061531	5	4
59061532	5	4
59061533	5	4
59061623	5	4
59061624	5	4
59061625	5	4
59061626	5	4
59061627	5	4
59061628	5	4
59061629	5	4
59061630	5	4
59061631	5	4
59061632	5	4
59061633	5	4
59061723	5	4
59061724	5	4
59061725	5	4
59061726	5	4
59061727	5	4
59061728	5	4
59061729	5	4
59061730	5	4
59061731	5	4
59061732	5	4
59061733	5	4
59061823	5	4
59061824	5	4
59061825	5	4
59061826	5	4
59061827	5	4
59061828	5	4
59061829	5	4
59061830	5	4
59061831	5	4
59061832	5	4
59061833	5	4
59061923	5	4
59061924	5	4
59061925	5	4
59061926	5	4
59061927	5	4
59061928	5	4
59061929	5	4
59061930	5	4
59061931	5	4
59061932	5	4
59061933	5	4
59062023	5	4
59062024	5	4
59062025	5	4
59062026	5	4
59062027	5	4
59062028	5	4
59062029	5	4
59062030	5	4
59062031	5	4
59062032	5	4
59062033	5	4
59062123	5	4
59062124	5	4
59062125	5	4
59062126	5	4
59062127	5	4
59062128	5	4
59062129	5	4
59062130	5	4
59062131	5	4
59062132	5	4
59062133	5	4
59062223	5	4
59062224	5	4
59062225	5	4
59062226	5	4
59062227	5	4
59062228	5	4
59062229	5	4
59062230	5	4
59062231	5	4
59062232	5	4
59062233	5	4
#鹊舞红莲		
59071223	5	4
59071224	5	4
59071225	5	4
59071226	5	4
59071227	5	4
59071228	5	4
59071229	5	4
59071230	5	4
59071231	5	4
59071232	5	4
59071233	5	4
59071323	5	4
59071324	5	4
59071325	5	4
59071326	5	4
59071327	5	4
59071328	5	4
59071329	5	4
59071330	5	4
59071331	5	4
59071332	5	4
59071333	5	4
59071423	5	4
59071424	5	4
59071425	5	4
59071426	5	4
59071427	5	4
59071428	5	4
59071429	5	4
59071430	5	4
59071431	5	4
59071432	5	4
59071433	5	4
59071523	5	4
59071524	5	4
59071525	5	4
59071526	5	4
59071527	5	4
59071528	5	4
59071529	5	4
59071530	5	4
59071531	5	4
59071532	5	4
59071533	5	4
59071623	5	4
59071624	5	4
59071625	5	4
59071626	5	4
59071627	5	4
59071628	5	4
59071629	5	4
59071630	5	4
59071631	5	4
59071632	5	4
59071633	5	4
59071723	5	4
59071724	5	4
59071725	5	4
59071726	5	4
59071727	5	4
59071728	5	4
59071729	5	4
59071730	5	4
59071731	5	4
59071732	5	4
59071733	5	4
59071823	5	4
59071824	5	4
59071825	5	4
59071826	5	4
59071827	5	4
59071828	5	4
59071829	5	4
59071830	5	4
59071831	5	4
59071832	5	4
59071833	5	4
59071923	5	4
59071924	5	4
59071925	5	4
59071926	5	4
59071927	5	4
59071928	5	4
59071929	5	4
59071930	5	4
59071931	5	4
59071932	5	4
59071933	5	4
59072023	5	4
59072024	5	4
59072025	5	4
59072026	5	4
59072027	5	4
59072028	5	4
59072029	5	4
59072030	5	4
59072031	5	4
59072032	5	4
59072033	5	4
59072123	5	4
59072124	5	4
59072125	5	4
59072126	5	4
59072127	5	4
59072128	5	4
59072129	5	4
59072130	5	4
59072131	5	4
59072132	5	4
59072133	5	4
59072223	5	4
59072224	5	4
59072225	5	4
59072226	5	4
59072227	5	4
59072228	5	4
59072229	5	4
59072230	5	4
59072231	5	4
59072232	5	4
59072233	5	4
#妙羽芳兰		
59081223	5	4
59081224	5	4
59081225	5	4
59081226	5	4
59081227	5	4
59081228	5	4
59081229	5	4
59081230	5	4
59081231	5	4
59081232	5	4
59081233	5	4
59081323	5	4
59081324	5	4
59081325	5	4
59081326	5	4
59081327	5	4
59081328	5	4
59081329	5	4
59081330	5	4
59081331	5	4
59081332	5	4
59081333	5	4
59081423	5	4
59081424	5	4
59081425	5	4
59081426	5	4
59081427	5	4
59081428	5	4
59081429	5	4
59081430	5	4
59081431	5	4
59081432	5	4
59081433	5	4
59081523	5	4
59081524	5	4
59081525	5	4
59081526	5	4
59081527	5	4
59081528	5	4
59081529	5	4
59081530	5	4
59081531	5	4
59081532	5	4
59081533	5	4
59081623	5	4
59081624	5	4
59081625	5	4
59081626	5	4
59081627	5	4
59081628	5	4
59081629	5	4
59081630	5	4
59081631	5	4
59081632	5	4
59081633	5	4
59081723	5	4
59081724	5	4
59081725	5	4
59081726	5	4
59081727	5	4
59081728	5	4
59081729	5	4
59081730	5	4
59081731	5	4
59081732	5	4
59081733	5	4
59081823	5	4
59081824	5	4
59081825	5	4
59081826	5	4
59081827	5	4
