INT	INT	INT	INT	STRING	STRING	STRING	INT	INT
487	8	109	261	沙漠马匪			1	5
488	8	238	165	沙坡狼			1	5
489	8	252	144	杨文广			2	5
490	8	223	216	榆木傀儡			1	5
491	8	63	90	赵行德			2	5
492	8	150	45	周德兴			2	5
493	8	63	81	朱王礼			2	5
494	8	166	95	桃夭夭	桃花阵	布阵	2	2
495	9	96	156	场景：嵩山		传送	99	2
496	9	125	88	方玄劳			99	5
497	9	38	102	洪彩云	少林派轻功传授人	轻功	5	5
498	9	96	82	慧方	少林派任务发布人	师门	5	3
499	9	93	132	慧轮	少林派传送人	传送	5	2
500	9	144	149	慕容博			99	5
501	9	70	105	潘玄耕			99	5
502	9	122	143	扫地老僧			99	5
503	9	61	57	卫玄望			99	5
504	9	39	152	萧远山			99	5
505	9	89	72	玄寂	少林派拜师人	拜师	5	4
506	9	38	98	玄慈	兑换称号物品	掌门	5	4
507	9	91	71	玄难	少林派武功传授人	武功	5	4
508	9	60	82	玄生	老虎管理员	坐骑	5	4
509	9	135	90	玄鸣	佛法技能传授人	佛法	5	4
510	9	128	86	玄渡	开光技能传授人	开光	5	4
511	9	61	62	玄澄			5	4
512	9	98	145	玄证	护寺高僧	打怪	5	4
513	9	100	127	知客僧			5	4
514	9	132	142	玄阅	罗汉武道长老	武道	5	4
515	9	73	149	玄篱	金刚武道长老	武道	5	4
516	10	91	158	场景：太湖		传送	99	2
517	10	89	100	白世镜	丐帮执法长老		99	5
518	10	93	152	欧阳果	丐帮总舵护卫	打怪	5	4
519	10	41	144	佛印			5	4
520	10	92	77	洪通	丐帮任务发布人	师门	5	3
521	10	91	98	陈孤雁	丐帮拜师人	拜师	5	3
522	10	92	64	宋慈	兑换称号物品	掌门	5	3
523	10	94	99	奚三祁	丐帮武功传授人	武功	5	3
524	10	54	86	李日越	座狼管理员	坐骑	5	3
525	10	114	91	吴长风	酿酒技能	酿酒	5	3
526	10	120	63	全冠清			99	5
527	10	131	83	上官长雨	莲花落技能传授人	莲花	99	5
528	10	112	90	吴雪娇	丐帮轻功传授人	轻功	5	4
529	10	117	61	刘竹庄			99	4
530	10	95	120	张全祥	丐帮传送人	传送	5	2
531	10	89	111	知客丐	门派指路人		5	4
532	10	129	112	杜少康	酒狂武道长老	武道	5	4
533	10	55	135	路老大	行侠武道长老	武道	5	4
534	11	97	173	场景：太湖		传送	99	2
535	11	133	117	方百花	明教轻功传授使	轻功	5	4
536	11	89	56	方腊			5	4
537	11	102	167	方七佛	明教传送使	传送	5	2
538	11	98	105	林岩	明教任务宣达使	师门	5	3
539	11	108	56	吕师襄	明教拜师人	拜师	5	3
540	11	98	52	林世长	兑换称号物品	掌门	5	3
541	11	109	59	庞万春	明教武功传授使	武功	5	3
542	11	64	115	邓元觉	骑乘掌管使	坐骑	5	3
543	11	87	61	仇道人	圣火术技能传授使	圣火	5	3
544	11	87	58	方天定	采火术传授使	采火	5	3
545	11	133	118	玛拉			99	5
546	11	95	161	石刚	明教守卫	打怪	5	4
547	11	101	137	余道安			99	5
548	11	93	167	知客护卫	门派指路人		5	4
549	11	50	119	莫思归	天罗武道长老	武道	5	4
550	11	131	138	林焱	血戾武道长老	武道	5	4
551	12	95	191	场景：镜湖		传送	99	2
552	12	73	146	程若清			99	5
553	12	101	69	黄裳			99	5
554	12	65	109	静初散人	武当派轻功传授人	轻功	5	4
555	12	86	84	九天神鹤			99	5
556	12	58	73	林灵素			5	4
557	12	101	136	莫太冲	武当派传送人	传送	5	2
558	12	78	95	张中行	武当派任务发布人	师门	5	3
559	12	77	85	张玄素	武当拜师人	拜师	5	3
560	12	82	84	俞远山	武当派武功传授人	武功	5	3
561	12	101	115	张君慕	仙鹤管理员	坐骑	5	3
562	12	44	56	鹤云道人	炼丹技能传授人	炼丹	5	3
563	12	41	58	宁虚散人	道法技能传授人	道法	5	3
564	12	102	109	青冥神鹤			99	5
565	12	74	85	无极神鹤			99	5
566	12	100	181	萧天逸	护山道人	打怪	5	4
567	12	98	70	张函芝			99	5
568	12	86	181	知客道士			5	4
569	12	98	139	知客道人			5	4
570	12	49	181	碧落散人	凭虚武道长老	武道	5	4
571	12	46	130	逐浪散人	摘星武道长老	武道	5	4
572	13	95	145	场景：无量山		传送	99	2
573	13	95	88	本凡	天龙任务发布僧	师门	5	3
574	13	96	66	本因	天龙拜师人	拜师	5	3
575	13	97	67	本观	天龙武功传授僧	武功	5	3
576	13	146	95	杨白牛	马匹管理员	坐骑	5	3
577	13	64	151	本参	经脉技能传授僧	经脉	5	3
578	13	35	86	本相	制蛊技能传授僧	制蛊	5	3
579	13	99	142	本名	护寺长老	打怪	5	4
580	13	158	130	何红绫			99	5
581	13	92	126	林国清			99	5
582	13	99	120	破嗔	天龙派传送僧	传送	5	2
583	13	85	68	破痴			99	5
584	13	154	115	齐归蝶			99	5
585	13	129	153	桑飞燕			99	5
