INT	STRING	STRING
71	equip_attr_cooldowm	冷却时间
72	equip_attr_movespeed	移动速度
73	equip_attr_hit	命中
74	equip_attr_miss	闪避
75	equip_attr_2attack	会心
76	equip_attr_nodefence	几率无视对方防御
77	equip_attr_damageret	反射伤害
78	equip_attr_damage2mp	气抵消伤害
79	equip_attr_str	力量
80	equip_attr_spr	灵气
81	equip_attr_con	体力
82	equip_attr_int	定力
83	equip_attr_dex	身法
84	equip_attr_all	所有属性
85	equip_attr_hp_thieve	血偷取
86	equip_attr_mop_thieve	气偷取
87	equip_yuliu	会心防御
88	M_700_TEXT1	难道你还在使用藏宝图那种原始、落后、骗人的玩意儿？如果我是你，我就马上把所有宝图都拿出来撕成一片一片，然后攒成一团，砸到那些发宝图的骗人的家伙的头上…#r#r怎么，你难道在嘲笑我挖不到宝贝？呵呵呵呵…嚯嚯嚯嚯…哈哈哈哈哈哈…#r看看这是什么，大宋最先进的机关--宝藏探测器。你以为我在骗你么？有没有勇气接受我的任务，那我就马上给你一个探测器。
89	team_create_ok	你已经成功的组建了队伍。
90	team_invite_send	你已向#R#{_INFOUSR%s}#W发送了邀请，请等待回应……
91	team_invite_fail_follow_err	你的队伍是跟随队长状态，不能远程邀请队员。
92	team_invite_fail_already_team	对方已经在别的队伍中了，还是换个人邀请吧。
93	team_invite_refuse	对方拒绝了你的邀请。
94	team_join_send	你已向队长发出了申请，请等待回应……
95	team_join_leader_refuse	真遗憾，队长拒绝了你的邀请请求。
96	team_join_refuse	对方拒绝了你的邀请。
97	team_join_follow_fail	你申请的队伍是跟随队长状态，申请失败。
98	team_leave_other	#Y#{_INFOUSR%s}#W离开了队伍。
99	team_leave_myself	你离开了队伍。
100	team_join_other	#Y#{_INFOUSR%s}#W加入到队伍了。
101	team_join_to_other	你加入到#Y#{_INFOUSR%s}#W的队伍了。
102	team_join_member_full	对方的队伍已经满员，请尝试加入别的队伍。
103	team_leave_force	你被请离了队伍。
104	team_leave_force1	#Y#{_INFOUSR%s}#W被请离了队伍。
105	team_dismiss_myself	您的队伍解散了。
106	team_leader_change_other	#Y#{_INFOUSR%s}#W被任命为队伍的队长了。
107	team_leader_change_myself	你被任命为队伍的队长了。
108	team_follow_send	你已向队伍发送了跟随询问，请等待回应……
109	team_follow_other1	#Y#{_INFOUSR%s}#W开始队伍跟随了。
110	team_follow_dismiss	现在已经解除了队伍跟随状态。
111	team_leave_leader_change	#Y#{_INFOUSR%s}#W离开了队伍，#Y#{_INFOUSR%s}#W成为本队的队长。
112	team_leave_leader_change1	#{_INFOUSR%s}离开了队伍，你成为了本队的队长。
113	battle_get_myself	你得到了#H%s#W。
114	battle_get_other	#Y#{_INFOUSR%s}#W得到了#B%s#W。
115	battle_get_exp	你获得了经验奖励：#cC8B88E%d#W。
116	battle_get_money	你获得了金钱奖励#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜。
117	team_follow_other2	你现在开始跟随#Y#{_INFOUSR%s}#W了。
118	stall_begin	你开始摆摊了。
119	stall_close	你收起了摊位。
120	stall_stock_up	商品上架了。
121	stall_stock_down	商品下架了。
122	stall_sold	你卖出了#B%s#W*#R%d#W，获得了#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜
123	stall_buy	你购买了#B%s#W*#R%d#W，花费了#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜
124	stall_drop	你丢弃了#B%s#W*#R%d#W。
125	stall_package_full	你的背包满的，不能得到更多物品。
126	stall_no_money	你的金钱不够购买这件物品。
127	friend_add_ok	你将#{_INFOUSR%s}添加为好友。
128	friend_add_temp	你将#{_INFOUSR%s}添加为临时好友。
129	friend_add_state_err	#Y#{_INFOUSR%s}#W现在是不被加为好友状态。
130	friend_add_other	请注意，#{_INFOUSR%s}已经将你添加为好友了。
131	friend_add_temp_other	#{_INFOUSR%s}已经将你添加为临时好友了。
132	exchange_send	你向#{_INFOUSR%s}发出了交易请求，请等待回应……
133	exchange_start	你正开始交易，#r交易对象为#Y#{_INFOUSR%s}#W。
134	exchange_other_nothing	对方什么也没有提供。
135	exchange_myself_nothing	你没有提供什么。
136	exchange_other_supply	对方提供了#B%s#W*#R%d#W。
137	exchange_myself_supply	你提供了#B%s#W*#R%d#W。
138	exchange_other_money	对方提供了#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜。
139	exchange_myself_money	你提供了#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜。
140	exchange_done	交易成功！
141	exchange_result_nothing	你既没有付出什么也没有获得什么。
142	exchange_result_get_supply	你获得#B%s#W*#R%d#W。
143	exchange_result_get_money	你获得#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜。
144	exchange_result_pay_supply	你付出#B%s#W*#R%d#W。
145	exchange_result_pay_money	你付出#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜。
146	repair_all_ok	你修理全部可修理物品成功了。
147	repair_all_pay_money	共花费了#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜。
148	repair_not	这个物品没有必要修理。
149	repair_no_money	你身上的钱不够修理这件物品。
150	repair_item_not	这个物品已经不能再修理。
151	repair_ok	你修理成功了。
152	repair_item	你修理了#c00CCFF%s#W。
153	cure_npc	你得到了治疗。
154	menpai_join_ok	你拜入了师门，从今天起你就是#G%s#W弟子了。
155	xinfa_up	你的心法由#B%d#W升到了#B%d#W。
156	xinfa_exp_pay	花费了经验#cC8B88E%d#W。
157	xinfa_money_pay	花费了金钱#cFF8000%d#W金#cFF8000%d#W银#cFF8000%d#W铜。
158	level_up	你的等级提升了。
159	level_up_detail	你的等级由#cFF8000%d#W级升到了#cFF8000%d#W级！
160	skill_levle_up	你的#c00CCFF%s#W技能升到了#c00CCFF%d#W级！
161	no_money	你的金钱不足
162	no_exp	你的经验值不足
163	no_prof	你的熟练度不够
164	ride_horse	骑上万里飞云驹。
165	ride_tiger	骑上白额金晴虎。
166	stall_sold_failure	这件物品不能出售
167	ability_create_item	你做了一个#H%s#W。
168	ability_create_failed	你什么都没有做出来！
169	ability_compound_failed	合成失败
170	battle_nomore_exp	经验已达上限
171	lv_maxmoney_warn	您的金钱超过上限，多余部分会在您切换地图或下次登录时扣除，请尽快处理。
172	produce_change_scene_title	TianLongBaBu %s (GameServer:%s)
173	produce_change_scene_Info_Name_Not_Null	名字不能为空！
174	produce_char_sel_Info_Please_Sel_Role	请选择一个角色！
175	produce_char_sel_Info_Readying_To_Enter_Game	准备进入游戏……
176	produce_char_sel_Info_Deling_Role	正在删除角色……
177	produce_login_Info_Connecting_Server	正在连接到服务器……
178	produce_login_Info_Input_Name_err	输入用户名错误！
179	produce_login_Info_Input_Password_e_err	输入密码错误！
180	produce_login_Info_Name_Include_Gang	用户名不能含有 \" \' \" 
181	produce_login_Info_Password_Include_Gang	密码不能含有 \" \' \" 
182	produce_login_Info_Checking_Password	正在验证密码……
183	GMActionSystem_Item_Info_Item_Is_Binded	此物品已经绑定
184	GMActionSystem_Item_Info_Misstion_Item_Is_Full	任务物品已经放满了！
185	GMActionSystem_Item_Info_Target_Box_Is_Full	目标箱子已经满了
186	GMActionSystem_Item_Info_Item_Not_Require_Repair	此物品不需要修理
187	GMActionSystem_Item_Info_You_Stalling	你正在摆摊……
188	GMActionSystem_Item_Info_You_Can_Not_Repair_Item	不能修理此物品
189	GMActionSystem_Item_Info_Money_Is_Not_Enough	金钱不够
190	GMActionSystem_Item_Info_Item_Can_Not_Drop	任务物品不能丢弃
191	GMActionSystem_Item_Info_Exchange_Box_Is_Full	交易栏已经满了
192	GMActionSystem_Item_Info_Item_Can_Not_Equip	此物品无法装备
193	GMActionSystem_Item_Info_Item_Exchanging	物品正在交易
194	GMActionSystem_Item_Info_Buy_Item_First	请先购买此物品
195	GMActionSystem_Item_Info_Item_Is_Selling	此物品正在摆摊销售中
196	GMActionSystem_Item_Info_Item_Can_Put_In_ShortCut	此物品不能置入快捷栏。
197	GMActionSystem_Item_Info_Level_Not_Enough	等级不够
198	ActionItem_PetSkill_Open	打开
199	ActionItem_PetSkill_Close	关闭
200	GMDataPool_Info_Xinfo_Level_Is_Top	心法等级已达到最高级
201	GMDataPool_Info_Can_Not_Learn	不能再学习了
202	GMDataPool_Info_Up_Player_Level	请提升人物等级
203	GMDataPool_Info_Up_Level_Money_Is_Not_Enough	升级需要的金钱不足
204	GMDataPool_Info_Up_Level_Exp_Is_Not_Enough	升级需要的经验值不足
205	GMDP_Struct_Relation_Info_ExitrGame	你的好友#Y#{_INFOUSR%s}#W离开游戏了。
206	GMDP_Struct_Relation_Info_EnterGame	你的好友#Y#{_INFOUSR%s}#W进入游戏了。
207	GMDP_Struct_Skill_Info_No_Target	没有目标
208	GMDP_Struct_Skill_Info_Invalidate_Target	无效目标
209	GMUIDataPool_Info_Team_Dismiss	您的队伍解散了！
210	GMUIDataPool_Info_Can_Not_Find_Kick_Member	找不到要请离的队员！
211	GMUIDataPool_Info_Send_Leader_Msg_Fail	发送任命队长消息失败！
212	GMGameInterface_Info_Too_Far_To_Open_Stall	距离太远，不能打开这个摊位
213	GMGameInterface_Script_Info_Too_Far_To_Open_Stall	没有物品需要修理
214	GMGameInterface_Script_Bank_Info_Input_Money_Out_Cur_Money	存钱数目超过身上金钱数目
215	GMGameInterface_Script_Bank_Info_Output_Money_Out_Bank_Money	取钱数目超过钱庄中现有金钱数目
216	GMGameInterface_Script_DataPool_Info_None	无
217	GMGameInterface_Script_DataPool_Info_Good_Friend	好友
218	GMGameInterface_Script_DataPool_Info_JieBai	结拜
219	GMGameInterface_Script_DataPool_Info_Marry	结婚
220	GMGameInterface_Script_DataPool_Info_Black_Name_Table	黑名单
221	GMGameInterface_Script_DataPool_Info_Temp_Good_Friend	临时好友
222	GMGameInterface_Script_DataPool_Info_Stranger	陌生人
223	GMGameInterface_Script_DataPool_Info_Teacher	师傅
224	GMGameInterface_Script_DataPool_Info_Student	徒弟
225	GMGameInterface_Script_DataPool_Info_ShaoLin	少林
226	GMGameInterface_Script_DataPool_Info_Mingjiao	明教
227	GMGameInterface_Script_DataPool_Info_GaiBang	丐帮
228	GMGameInterface_Script_DataPool_Info_WuDang	武当
229	GMGameInterface_Script_DataPool_Info_EMei	峨嵋
230	GMGameInterface_Script_DataPool_Info_XingXiu	星宿
231	GMGameInterface_Script_DataPool_Info_DaLi	天龙
232	GMGameInterface_Script_DataPool_Info_TianShan	天山
233	GMGameInterface_Script_DataPool_Info_XiaoYao	逍遥
234	GMGameInterface_Script_DataPool_Info_WuMenPai	无门派
235	GMGameInterface_Script_Exchange_Info_Too_Far_To_Exchange	距离太远，不能请求交易
236	GMGameInterface_Script_Exchange_Info_Can_Exchange_Width_dead_Man	不能向已经死亡的玩家申请交易
237	GMGameInterface_Script_Exchange_Info_Send_Exchange_Msg	交易请求已经发送
238	GMGameInterface_Script_Exchange_Info_Dead_Can_Not_Exchange	自己已死亡不能申请交易
239	GMGameInterface_Script_Exchange_Info_Can_Exchange_With_Player_in_Special_Status	那个玩家正处于特殊状态，不能交易
240	GMGameInterface_Script_Exchange_Info_Out_Exchange_Range	超过能够交易的范围
241	GMGameInterface_Script_Exchange_Info_You_have_Locked_Exchange	你已经锁定了交易
242	GMGameInterface_Script_Exchange_Info_You_Money_Is_Not_Enough	身上携带的金钱不足
243	GMGameInterface_Script_Exchange_Info_Can_Not_Find_Name	找不到名字
244	GMGameInterface_Script_GameLogin_Info_Del_Role_YesNo	你确定要将 %d级 的角色#c00ff00 %s #cffffff删除吗？
245	Login_Create_Role_Info_Name_Too_Len	角色名过长
246	Login_Create_Role_Info_Name_Is_Empty	角色名不能为空
247	GMGameInterface_Script_GameLogin_Info_Sel_Del_Role	请选择一个要删除的角色……
248	GMGameInterface_Script_GameLogin_Info_Exit_Game_YesNo	确定要退出游戏吗？
249	GMGameInterface_Script_GameLogin_Info_Exit_To_Account_Input_YesNo	确定退到账号输入界面吗？
250	GMGameInterface_Script_Package_Info_BianShen_Can_Not_Stall	变身状态，不能摆摊
251	GMGameInterface_Script_Package_Info_Ride_Can_Not_Stall	骑乘状态，不能摆摊
252	GMGameInterface_Script_Package_Info_Team_Follow_Can_Not_Stall	当前是组队跟随状态，不能摆摊
253	GMGameInterface_Script_Package_Info_Follow_Can_Not_Stall	当前是跟随状态，不能摆摊
254	GMGameInterface_Script_Package_Info_Bellow_30_Level_Can_Not_Stall	需要等级15级你才能摆摊
255	GMGameInterface_Script_PlayerMySelf_Info_Exp_Not_Enough	经验值不足
256	GMGameInterface_Script_PlayerMySelf_Info_Money_Not_Enough	金钱不足
257	GMGameInterface_Script_PlayerMySelf_Info_Skill_Not_Enough	技能熟练度不够
258	GMGameInterface_Script_PlayerMySelf_Info_You_Reject_Team_Follow	你拒绝进入组队跟随模式。
259	GMGameInterface_Script_PlayerMySelf_Info_You_Can_Not_Create_Team	你已经在队伍中了，不能自建队伍。
260	GMGameInterface_Script_StallBbs_Info_Msg_Can_Not_Empty	消息不能为空
261	GMGameInterface_Script_StallBuy_Info_Too_Far_To_Exchange	距离太远，不能打开这个摊位
262	GMGameInterface_Script_StallBuy_Info_Too_Far_To_Open_Stall	距离太远，不能打开这个摊位
263	GMGameInterface_Script_StallSale_Info_Item_Price_Is_0	上架失败，上架商品价格不能为0
264	GMGameInterface_Script_StallSale_Info_Item_Price_Is_Over_100k_Gold	摆摊时不得进行超过1万金以上的交易
265	GMGameInterface_Script_StallSale_Info_New_Price_Is_Same_With_Old	更改价格和当前的价格相同！
266	GMGameInterface_Script_StallSale_Info_BianShen_Can_Not_Stall	变身状态，不能摆摊
267	GMGameInterface_Script_StallSale_Info_Ride_Can_Not_Stall	骑乘状态，不能摆摊
268	GMGameInterface_Script_StallSale_Info_Change_Ad_Success	你已成功的更改了广告词
269	GMGameInterface_Script_PlayerShop_Info_Set_Name_To_Shop	对不起，需要你给店铺宝号起个名字。
270	GMGameInterface_Script_PlayerShop_Info_Item_Shop	物品店
271	GMGameInterface_Script_PlayerShop_Info_Gem_Shop	宝石店
272	GMGameInterface_Script_PlayerShop_Info_Weapon_Shop	武器店
273	GMGameInterface_Script_PlayerShop_Info_Equip_Shop	护甲店
274	GMGameInterface_Script_PlayerShop_Info_Material_Shop	材料店
275	GMGameInterface_Script_PlayerShop_Info_Pet_Shop	珍兽店
276	GMGameInterface_Script_PlayerShop_Info_Item_Price_Is_0	上架失败，上架商品价格不能为0
277	GMGameInterface_Script_PlayerShop_Info_Please_Sel_Item	请先选择一个物品
278	GMGameInterface_Script_Talk_Info_Near_Channel	附近频道
279	GMGameInterface_Script_Talk_Info_Scene_Channel	场景频道
280	GMGameInterface_Script_Talk_Info_Hide_Channel	隐藏频道
281	GMGameInterface_Script_Talk_Info_System_Channel	系统频道
282	GMGameInterface_Script_Talk_Info_Template_Error	#R错误的模板使用，请检查！#B谢谢！
283	GMGameInterface_Script_Talk_Info_Level_Not_Enough	#R您的等级没有达到15级，暂时不能在此频道说话！
284	GMGameInterface_Script_Talk_Info_Condition_Not_Enough	#R条件不足，不能说话！
285	GMGameInterface_Script_Talk_Info_Talk_Too_Fast	#R请不要说话速度太快！#B谢谢！
286	GMGameInterface_Script_Talk_Info_SetPaoPaoTxt	#cCC99FF[队伍]#W
287	GMGameInterface_Script_Talk_Info_You	你
288	GMGameInterface_Script_Talk_Info_strHelp	#G[帮助]#W
289	netManager_Info_Create_Socket_err	创建SOCKET发生错误
290	netManager_Info_Server_Not_Work	已与服务器断开连接！
291	netManager_Info_Connect_OverTime	    连接服务器超时，请检查网络后重新登录。#r    由此给您正常游戏所带来的不便请您谅解。
292	netManager_Info_UNKnow_err	未知错误！
293	netManager_Info_Net_Err	网络连接错误！
294	GCAskTeamFollowHandler_Info_Join_Team_Model_YesNo	请选择是否加入组队模式。
295	GCBankAddItemHandler_Info_Item_Save_To_Bank_Ok	物品存入钱庄成功
296	GCBankAddItemHandler_Info_Err_Command	非法命令
297	GCBankMoneyHandler_Info_Save_Money	存入金钱成功
298	GCBankMoneyHandler_Info_Load_Money	取出金钱成功
299	GCBankRemoveItemhandler_Info_Load_Item_Ok	物品取出钱庄成功
300	GCBankRemoveItemhandler_Info_Exchange_Item_Bank_pag_Ok	钱庄和背包交换物品成功
301	GCBankRemoveItemhandler_Info_Move_Item_Fail	移动物品失败
302	GCBankSwapItemHandler_Info_Item_pag_EXchange_Bank_Ok	背包到钱庄物品交换成功
303	GCBankSwapItemHandler_Info_Item_Bank_EXchange_Pag_Ok	钱庄到背包物品交换成功
304	GCBankSwapItemHandler_Info_Item_Bank_MoveTo_Bank_Ok	钱庄到钱庄物品移位成功
305	GCExchangeApplyHandler_Info_Receive_New_Exchange_Msg	收到一个新的交易请求！
306	GCExchangeCancelHandler_Info_Cancel_Exchange	交易已经被取消
307	GCExchangeErrHandler_Info_You_Are_Locked	你已上锁，请重新操作
308	GCExchangeErrHandler_Info_Over_Exchange_Count	超过可交易物品的数量上限，请重新操作
309	GCExchangeErrHandler_Info_Doing_Exchange	自己正在交易中
310	GCExchangeErrHandler_Info_Other_Doing_Exchange	对方正在交易中
311	GCExchangeErrHandler_Info_Other_Cancel_Exchange	对方取消交易
312	GCExchangeErrHandler_Info_Pag_Size_Not_Enough	背包空间不够～
313	GCExchangeErrHandler_Info_Money_Is_Not_Enough	金钱不足，请重新操作
314	GCExchangeErrHandler_Info_Over_Exchange_Range	超过能够交易的范围
315	GCExchangeErrHandler_Info_Err_Status	非法状态，交易取消
316	GCExchangeSuccessHandler_Info_ExchangeSuccess	交易成功
317	GCGuildErrorHander_Info_Other_Guild_Err	其他帮会错误。
318	GCGuildErrorHander_Info_Condition_Is_Not_Enough	不满足创建条件。
319	GCGuildErrorHander_Info_Guild_Name_Err	帮会名称非法。
320	GCGuildErrorHander_Info_Guild_Name_Exist	你输入帮会名称在这江湖上已经存在，请重新输入。
321	GCGuildErrorHander_Info_Can_Not_Create_More_Guild	无法创建更多帮会。
322	GCGuildErrorHander_Info_Guild_Member_Is_Full	帮会人数已经达到了上限，接收失败。
323	GCGuildErrorHander_Info_Apply_Is_Full	申请人已满。
324	GCGuildErrorHander_Info_You_Have_Joined	你已加入帮会。
325	GCGuildErrorHander_Info_Guild_Not_Exist	帮会不存在。
326	GCGuildErrorHander_Info_No_Right	没有权限。
327	GCGuildErrorHander_Info_No_Job	没有职位空缺。
328	GCGuildErrorHander_Info_Member_Is_Not_Enough	被调整人员（职位）不够资格。
329	GCGuildErrorHander_Info_Guild_Unknow_err	未知帮会错误。
330	GCGuildErrorHander_Info_Guild_Money_Is_Full	帮会金库已满。
331	GCGuildReturnHandler_Info_Guild_Other_Operate	其他帮会操作。
332	GCGuildReturnHandler_Info_Respound_Guild_Create	#{_INFOUSR%s}响应本帮会的建立。
333	GCGuildReturnHandler_Info_Guild_Create_Success	建立帮会成功。
334	GCGuildReturnHandler_Info_Apply_Success_Waite_For_Pass	你已经向%s帮会发出了申请。
335	GCGuildReturnHandler_Info_Kick_Guild_Member	你与#{_INFOUSR%s}志不同道不合，你已经离开了%s了。
336	GCGuildReturnHandler_Info_Leave_Guild	#{_INFOUSR%s}离开本帮会。
337	GCGuildReturnHandler_Info_Agree_Join_Guild	#{_INFOUSR%s}批准%s加入本帮会。
338	GCGuildReturnHandler_Info_Guild_Set_Up	帮会正式成立。
339	GCGuildReturnHandler_Info_Guild_Dismiss	帮会解散。
340	GCJoinMenpaiHandler_Info_Join_Menpai_Ok	加入门派成功！
341	GCJoinMenpaiHandler_Info_Join_Menpai_Fail	加入门派失败！
342	GCManipulatePetRetHandler_Info_Arrest_Ok	捕捉失败
343	GCManipulatePetRetHandler_Info_Arrest_Fail	捕捉失败
344	GCManipulatePetRetHandler_Info_Arrest__Ok	捕捉成功
345	GCManipulatePetRetHandler_Info_Call_Fail	召唤失败
346	GCManipulatePetRetHandler_Info_Call_Ok	召唤成功
347	GCManualAttriResultHandler_Info_Addjust_Attr_Success	调整属性成功。
348	GCManualAttriResultHandler_Info_Addjust_Attr_Fail_No_Enough_point	调整属性失败，没有足够的点数。
349	GCManualAttriResultHandler_Info_Addjust_Attr_Fail_No_This_Attri	调整属性失败， 没有这个属性。
350	GCMissionResultHandler_Info_I_Do_Note_Need_This_Item	你给我的物品不是我需要的！
351	GCPackage_SwipItemHandle_Info_package_Operate_Fail	包裹操作失败！
352	GCPickResultHandler_Info_package_Full	背包已满！
353	GCPlayerShopErrorHandler_Info_Create_Shop_Need_Level_30	你的等级太低，到50级再来找我吧。
354	GCPlayerShopErrorHandler_Info_Shop_Name_Exist	对不起，已经有同名店铺存在，请重新取名。
355	GCPlayerShopErrorHandler_Info_Create_Shop_Money_Is_Not_Enough	你的金钱不够，筹些资金再来找我吧。
356	GCPlayerShopErrorHandler_Info_Create_Shop_Is_Full	超过系统店铺上限，不能再开店了
357	GCPlayerShopErrorHandler_Info_Cur_Shop_Is_Full	此柜台已满
358	GCPlayerShopErrorHandler_Info_Item_Is_Locked	此物品已锁
359	GCPlayerShopErrorHandler_Info_Data_Changed_ReOpen_Shop	数据已改变，请重新打开商店
360	GCPlayerShopErrorHandler_Info_pag_Is_Full	您的空间不足
361	GCPlayerShopErrorHandler_Info_Moeny_Not_Enough	金钱不够
362	GCPlayerShopErrorHandler_Info_Err_Msg	非法消息
363	GCRelationHandler_Info_Target_Not_Exist	该玩家不存在或者不在线。
364	GCRelationHandler_Info_Group_Is_Full	本组人数已满，请添加在其他组中。
365	GCRelationHandler_Info_Is_Firend	该玩家已经是您的好友。
366	GCRelationHandler_Info_Is_BlackName	该玩家已经被列入黑名单。
367	GCRelationHandler_Info_Can_Not_Transition	分组失败。
368	GCRelationHandler_Info_Is_Not_Firend	该玩家不是您的好友。
369	GCRelationHandler_Info_Is_Not_In_BlackList	该玩家不在您的黑名单内。
370	GCRelationHandler_Info_Spouse_To_Black_List	该玩家不在您的黑名单内。
371	GCRelationHandler_Info_Spouse_To_Black__List	你不能将自己的爱人加入黑名单！
372	GCRelationHandler_Info_Master_To_Black_List	不可以把自己的师傅加入黑名单！
373	GCRelationHandler_Info_Prentice_To_Black_List	你不能把自己的爱徒加入黑名单！
374	GCRelationHandler_Info_Brother_To_Black_List	你不能把自己的爱徒加入黑名单！
375	GCRelationHandler_Info_Brother_To_Black__List	你不可以把结义兄弟加入黑名单！
376	GCRelationHandler_Info_Del_Spouse	你不可以删除自己的爱人。
377	GCRelationHandler_Info_Del_Master	你不能删除自己的师傅。
378	GCRelationHandler_Info_Del_Prentice	不能删除自己的徒弟。
379	GCRelationHandler_Info_Del_Brother	不能删除结义兄弟。
380	GCRelationHandler_Info_Password_Err	请输入二级密码。
381	GCRelationHandler_Info_Reject_Add_Firend	真遗憾，对方拒绝加为好友的请求。
382	GCRelationHandler_Info_Reject_Mail	对方拒绝接收信件。
383	GCRelationHandler_Info_Reject_Mail_From_stranger	对方拒绝接收信件。
384	GCRelationHandler_Info_Unknow_Err	遇到一个未知错误。
385	GCRelationHandler_Info_Other_Firend_Operate	其他好友操作。
386	GCRelationHandler_Info_Add_Black_List	你将#{_INFOUSR%s}加入黑名单。
387	GCRelationHandler_Info_Add_Firend_List	你将#{_INFOUSR%s}添加为好友。
388	GCRelationHandler_Info_Err_Relation	意外的关系类型:%d。
389	GCRelationHandler_Info_Add_You_To_Firend_List	请注意，#{_INFOUSR%s}已经将你添加为好友了。
390	GCReturnTeamFollowHandler_Info_Not_Find_This_Member	没有发现如上队员。
391	GCReturnTeamFollowHandler_Info_Reject_Follow	#{_INFOUSR%s}拒绝跟随。
392	GCReturnTeamFollowHandler_Info_Join_Follow	#{_INFOUSR%s}加入跟随队列。
393	GCReturnTeamFollowHandler_Info_Exit_Follow	退出组队跟随状态。
394	GCReturnTeamFollowHandler_Info_Someone_Exit_Follow	#{_INFOUSR%s}退出跟随队列。
395	GCShopBuyHandler_Info_Money_Is_Not_Enough	金钱不足。
396	GCShopBuyHandler_Info_Pag_Is_Full	包裹已满
397	GCShopBuyHandler_Info_Pag_Shop_Data_Change_Reopen	商品已改变，请重新打开
398	GCShopBuyHandler_Info_Shop_Buy	你购买了#Y%d#W个#H%s#W。
399	GCShopBuyHandler_Info_Shop_Buy1	你购买了#Y%d#W只#H%s#W。
