INT	STRING	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
75	张耒.obj	1	2	1	0.15	182	183	184	张耒.txt																																					
76	张玄素.obj	1	2	1	0.15	182	183	184	张玄素.txt																																					
78	宗赞王子.obj	1	2	1	0.15	182	183	184	宗赞王子.txt																																					
79	商人.obj	1	2	1	0.15	182	183	184	商人.txt																																					
80	老道士.obj	1	2	1	0.15	182	183	184	老道士.txt																																					
82	刀白凤.obj	1	2	1	0.15	182	183	184	刀白凤.txt																																					
83	完颜阿骨达.obj	1	2	1	0.15	182	183	184	完颜阿骨达.txt																																					
84	康广陵.obj	1	2	1	0.15	182	183	184	康广灵.txt																																					
85	小男孩.obj	1	2	1	0.15	182	183	184	小男孩.txt																																					
86	天山中年女弟子.obj	1	2	1	0.15	182	183	184	天山中年女弟子.txt																																					
87	高俅.obj	1	2	1	0.15	182	183	184	高俅.txt																																					
88	林和靖.obj	1	2	1	0.15	182	183	184	林和靖.txt																																					
89	小道士.obj	1	2	1	0.15	182	183	184	小道士.txt																																					
90	程景.obj	1	2	1	0.15	182	183	184	程景.txt																																					
91	客栈老板.obj	1	2	1	0.15	182	183	184	客栈老板.txt																																					
93	沈括.obj	1	2	1	0.15	182	183	184	沈括.txt																																					
94	佛印.obj	1	2	1	0.15	182	183	184	佛印.txt																																					
95	阿紫.obj	1	2	1	0.15	182	183	184	阿紫.txt																																					
96	康敏.obj	1	2	1	0.15	182	183	184	康敏.txt																																					
97	钟万仇.obj	1	2	1	0.15	182	183	184	钟万仇.txt																																					
98	本因.obj	1	2	1	0.15	182	183	184	本因.txt																																					
99	奚长老.obj	1	2	1	0.15	182	183	184	奚长老.txt																																					
100	苏星河.obj	1	2	1	0.15	182	183	184	苏星河.txt																																					
101	鸠摩智.obj	1	2	1	0.15	182	183	184	鸠摩智.txt																																					
102	胖妇.obj	1	2	1	0.15	182	183	184	胖妇.txt																																					
104	黄裳.obj	1	2	1	0.15	182	183	184	黄裳.txt																																					
105	铁匠.obj	1	2	1	0.15	182	183	184	铁匠.txt																																					
106	裁缝.obj	1	2	1	0.15	182	183	184	裁缝.txt																																					
107	奸商.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
108	酒店老板.obj	1	2	1	0.15	182	183	184	酒店老板.txt																																					
109	钱庄老板.obj	1	2	1	0.15	182	183	184	钱庄老板.txt																																					
110	玄慈.obj	1	2	1	0.15	182	183	184	玄慈.txt																																					
111	慧伦.obj	1	2	1	0.15	182	183	184	慧伦.txt																																					
112	小和尚.obj	1	2	1	0.15	182	183	184	小和尚.txt																																					
113	镖头.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
114	捕快.obj	1	2	1	0.15	182	183	184	捕快.txt																																					
115	少妇.obj	1	2	1	0.15	182	183	184	少妇.txt																																					
116	王安石.obj	1	2	1	0.15	182	183	184	王安石.txt																																					
117	苏轼.obj	1	2	1	0.15	182	183	184	苏轼.txt																																					
118	慕容复.obj	1	2	1	0.15	182	183	184	慕容复.txt																																					
119	风波恶.obj	1	2	1	0.15	182	183	184	风波恶.txt																																					
120	阿碧.obj	1	2	1	0.15	182	183	184	阿碧.txt																																					
121	阿珠.obj	1	2	1	0.15	182	183	184	阿珠.txt																																					
122	仇道士.obj	1	2	1	0.15	182	183	184	仇道士.txt																																					
123	段延庆.obj	1	2	1	0.15	182	183	184	段延庆.txt																																					
124	段正淳.obj	1	2	1	0.15	182	183	184	段正淳.txt																																					
125	段正明.obj	1	2	1	0.15	182	183	184	段正明.txt																																					
126	方腊.obj	1	2	1	0.15	182	183	184	方腊.txt																																					
127	方七佛.obj	1	2	1	0.15	182	183	184	方七佛.txt																																					
128	方七佛.obj	1	2	1	0.15	182	183	184	方七佛.txt																																					
129	玛拉.obj	1	2	1	0.15	182	183	184	玛拉.txt																																					
130	冯阿三.obj	1	2	1	0.15	182	183	184	冯阿三.txt																																					
131	韩世忠.obj	1	2	1	0.15	182	183	184	韩世忠.txt																																					
134	红玉.obj	1	2	1	0.15	182	183	184	红玉.txt																																					
135	天山女弟子.obj	1	2	1	0.15	182	183	184	天山女弟子.txt																																					
136	朱丹臣.obj	1	2	1	0.15	182	183	184	朱丹臣.txt																																					
141	城市飞人.obj	1	2	1	0.15	182	183	184	城市飞人.txt																																					
142	鸽子01.obj	1	2	1	0.15	182	183	184	鸽子01.txt																																					
143	鸽子02.obj	1	2	1	0.15	182	183	184	鸽子02.txt																																					
144	鸽子03.obj	1	2	1	0.15	182	183	184	鸽子03.txt																																					
145	怪兽.obj	1	2	1	0.15	182	183	184	怪兽.txt																																					
151	狗.obj	1	2	1	0.15	182	183	184	狗.txt																																					
152	羊.obj	1	2	1	0.15	182	183	184	羊.txt																																					
153	高山白猿.obj	1	2	1	0.15	182	183	184	高山白猿.txt																																					
154	黑衣马匪.obj	1	2	1	0.15	182	183	184	黑衣马匪.txt																																					
155	东北虎.obj	1	2	1	0.15	182	183	184	东北虎.txt																																					
157	巴伦莽盖.obj	1	2	1	0.15	182	183	184	巴伦莽盖.txt																																					
158	棕熊.obj	1	2	1	0.15	182	183	184	棕熊.txt																																					
159	红枫蜘蛛.obj	1	2	1	0.15	182	183	184	红枫蜘蛛.txt																																					
160	轻甲莽盖.obj	1	2	1	0.15	182	183	184	轻甲莽盖.txt																																					
161	重甲莽盖.obj	1	2	1	0.15	182	183	184	重甲莽盖.txt																																					
162	沼泽鳄鱼.obj	1	2	1	0.15	182	183	184	沼泽鳄鱼.txt																																					
163	金钱豹.obj	1	2	1	0.15	182	183	184	金钱豹.txt																																					
164	雪山莽盖.obj	1	2	1	0.15	182	183	184	雪山莽盖.txt																																					
165	大黄蜂.obj	1	2	1	0.15	182	183	184	大黄蜂.txt																																					
166	蒙古黑蜂.obj	1	2	1	0.15	182	183	184	蒙古黑蜂.txt																																					
167	丛林蜂.obj	1	2	1	0.15	182	183	184	丛林蜂.txt																																					
168	白狼王.obj	1	2	1	0.15	182	183	184	白狼王.txt																																					
169	草原狼.obj	1	2	1	0.15	182	183	184	草原狼.txt																																					
170	西北狼.obj	1	2	1	0.15	182	183	184	西北狼.txt																																					
171	红衣马匪.obj	1	2	1	0.15	182	183	184	红衣马匪.txt																																					
172	马匪探子.obj	1	2	1	0.15	182	183	184	马匪探子.txt																																					
173	闪电马匪.obj	1	2	1	0.15	182	183	184	闪电马匪.txt																																					
174	追风马匪.obj	1	2	1	0.15	182	183	184	追风马匪.txt																																					
175	秦家寨兵.obj	1	2	1	0.15	182	183	184	秦家寨兵.txt																																					
176	秦家寨教头.obj	1	2	1	0.15	182	183	184	秦家寨兵.txt																																					
177	秦家寨喽啰.obj	1	2	1	0.15	182	183	184	秦家寨兵.txt																																					
178	弯刀马匪.obj	1	2	1	0.15	182	183	184	弯刀马匪.txt																																					
179	秦观.obj	1	2	1	0.15	182	183	184	秦观.txt																																					
180	全冠清.obj	1	2	1	0.15	182	183	184	全冠清.txt																																					
200	赫连铁树.obj	1	2	1	0.15	182	183	184	赫连铁树.txt																																					
201	宋大官员1.obj	1	2	1	0.15	182	183	184	宋大官员1.txt																																					
202	宋大官员2.obj	1	2	1	0.15	182	183	184	宋大官员2.txt																																					
203	宋大官员3.obj	1	2	1	0.15	182	183	184	宋大官员3.txt																																					
204	宋将士1.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
205	宋将士2.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
206	宋将士3.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
207	宋将士4.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
208	捕快B.obj	1	2	1	0.15	182	183	184	捕快B.txt																																					
209	白苗贵族女.obj	1	2	1	0.15	182	183	184	白苗贵族女.txt																																					
210	黑苗卫兵.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
211	苏辙A.obj	1	2	1	0.15	182	183	184	苏辙A.txt																																					
212	苏辙B.obj	1	2	1	0.15	182	183	184	苏辙B.txt																																					
213	峨嵋中年女侠.obj	1	2	1	0.15	182	183	184	峨嵋中年女侠.txt																																					
214	小茗.obj	1	2	1	0.15	182	183	184	小茗.txt																																					
215	小诗.obj	1	2	1	0.15	182	183	184	小诗.txt																																					
216	峨嵋男弟子.obj	1	2	1	0.15	182	183	184	峨嵋男弟子.txt																																					
217	孟青青.obj	1	2	1	0.15	182	183	184	孟青青.txt																																					
218	符敏仪.obj	1	2	1	0.15	182	183	184	符敏仪.txt																																					
219	菊剑.obj	1	2	1	0.15	182	183	184	菊剑.txt																																					
220	兰剑.obj	1	2	1	0.15	182	183	184	兰剑.txt																																					
221	梅剑.obj	1	2	1	0.15	182	183	184	梅剑.txt																																					
222	竹剑.obj	1	2	1	0.15	182	183	184	竹剑.txt																																					
223	余婆.obj	1	2	1	0.15	182	183	184	余婆.txt																																					
224	天山男弟子.obj	1	2	1	0.15	182	183	184	天山男弟子.txt																																					
225	天山童姥.obj	1	2	1	0.15	182	183	184	天山童姥.txt																																					
226	虚竹.obj	1	2	1	0.15	182	183	184	虚竹.txt																																					
227	蒙古牧民1.obj	1	2	1	0.15	182	183	184	蒙古牧民1.txt																																					
228	蒙古牧民2.obj	1	2	1	0.15	182	183	184	蒙古牧民2.txt																																					
229	蒙古男1.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
230	蒙古男2.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
231	西夏步兵.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
232	西夏将军1.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
233	西夏将军2.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
234	小男孩.obj	1	2	1	0.15	182	183	184	小男孩.txt																																					
235	小男孩2.obj	1	2	1	0.15	182	183	184	小男孩2.txt																																					
236	小男孩3.obj	1	2	1	0.15	182	183	184	小男孩3.txt																																					
237	小女孩.obj	1	2	1	0.15	182	183	184	小女孩.txt																																					
238	小女孩2.obj	1	2	1	0.15	182	183	184	小女孩2.txt																																					
239	小女孩3.obj	1	2	1	0.15	182	183	184	小女孩3.txt																																					
240	杨文广A.obj	1	2	1	0.15	182	183	184	杨文广A.txt																																					
241	杨文广B.obj	1	2	1	0.15	182	183	184	杨文广B.txt																																					
242	杨文广C.obj	1	2	1	0.15	182	183	184	杨文广C.txt																																					
244	阿拉伯人B.obj	1	2	1	0.15	182	183	184	阿拉伯人B.txt																																					
245	阿拉伯人C.obj	1	2	1	0.15	182	183	184	阿拉伯人C.txt																																					
246	白苗族小男孩.obj	1	2	1	0.15	182	183	184	白苗族小男孩.txt																																					
247	北方贵族.obj	1	2	1	0.15	182	183	184	北方贵族.txt																																					
248	北方老年男性.obj	1	2	1	0.15	182	183	184	北方老年男性.txt																																					
249	北方猎户.obj	1	2	1	0.15	182	183	184	北方猎户.txt																																					
250	北方青年女性.obj	1	2	1	0.15	182	183	184	北方青年女性.txt																																					
251	唱戏的.obj	1	2	1	0.15	182	183	184	唱戏的.txt																																					
252	大理士兵.obj	1	2	1	0.15	182	183	184	大理士兵.txt																																					
253	德国人.obj	1	2	1	0.15	182	183	184	德国人.txt																																					
254	犯人.obj	1	2	1	0.15	182	183	184	犯人.txt																																					
255	富书生A.obj	1	2	1	0.15	182	183	184	富书生A.txt																																					
256	富书生B.obj	1	2	1	0.15	182	183	184	富书生B.txt																																					
257	黑苗贵族女.obj	1	2	1	0.15	182	183	184	黑苗贵族女.txt																																					
258	黑苗男.obj	1	2	1	0.15	182	183	184	黑苗男.txt																																					
259	黑苗女.obj	1	2	1	0.15	182	183	184	黑苗女.txt																																					
260	黑苗族小男孩.obj	1	2	1	0.15	182	183	184	黑苗族小男孩.txt																																					
261	轿夫.obj	1	2	1	0.15	182	183	184	轿夫.txt																																					
262	酒店老板1.obj	1	2	1	0.15	182	183	184	酒店老板1.txt																																					
263	酒店老板2.obj	1	2	1	0.15	182	183	184	酒店老板2.txt																																					
264	酒店老板3.obj	1	2	1	0.15	182	183	184	酒店老板3.txt																																					
265	郎中1.obj	1	2	1	0.15	182	183	184	郎中1.txt																																					
266	郎中2.obj	1	2	1	0.15	182	183	184	郎中2.txt																																					
267	老道士1.obj	1	2	1	0.15	182	183	184	老道士1.txt																																					
268	老年员外.obj	1	2	1	0.15	182	183	184	老年员外.txt																																					
269	辽国老年武官2.obj	1	2	1	0.15	182	183	184	辽国老年武官2.txt																																					
270	辽国老年武官.obj	1	2	1	0.15	182	183	184	辽国老年武官.txt																																					
271	辽国骑兵1.obj	1	2	1	0.15	182	183	184	辽国骑兵1.txt																																					
272	辽国骑兵2.obj	1	2	1	0.15	182	183	184	辽国骑兵2.txt																																					
273	辽国骑兵3.obj	1	2	1	0.15	182	183	184	辽国骑兵3.txt																																					
274	辽国中年武官2.obj	1	2	1	0.15	182	183	184	辽国中年武官2.txt																																					
275	辽国中年武官.obj	1	2	1	0.15	182	183	184	辽国中年武官.txt																																					
276	辽文官.obj	1	2	1	0.15	182	183	184	辽文官.txt																																					
277	蒙古女1.obj	1	2	1	0.15	182	183	184	蒙古女1.txt																																					
278	蒙古女2.obj	1	2	1	0.15	182	183	184	蒙古女2.txt																																					
279	名医1.obj	1	2	1	0.15	182	183	184	名医1.txt																																					
280	名医2.obj	1	2	1	0.15	182	183	184	名医2.txt																																					
281	农妇1.obj	1	2	1	0.15	182	183	184	农妇1.txt																																					
282	农妇2.obj	1	2	1	0.15	182	183	184	农妇2.txt																																					
283	女真武士.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
284	欧阳修B.obj	1	2	1	0.15	182	183	184	欧阳修B.txt																																					
285	欧阳修C.obj	1	2	1	0.15	182	183	184	欧阳修C.txt																																					
286	胖大商人.obj	1	2	1	0.15	182	183	184	胖大商人.txt																																					
287	普通侠士1.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
288	普通侠士2.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
289	普通侠士3.obj	1	2	1	0.15	182	183	184	战斗NPC.txt																																					
290	乞丐.obj	1	2	1	0.15	182	183	184	乞丐.txt																																					
291	青年道姑.obj	1	2	1	0.15	182	183	184	青年道姑.txt																																					
292	穷书生A.obj	1	2	1	0.15	182	183	184	穷书生A.txt																																					
293	穷书生B.obj	1	2	1	0.15	182	183	184	穷书生B.txt																																					
294	少妇2.obj	1	2	1	0.15	182	183	184	少妇2.txt																																					
295	少妇3.obj	1	2	1	0.15	182	183	184	少妇3.txt																																					
296	少妇4.obj	1	2	1	0.15	182	183	184	少妇4.txt																																					
297	少妇4.obj	1	2	1	0.15	182	183	184	少妇4.txt																																					
298	宋朝小官吏.obj	1	2	1	0.15	182	183	184	宋朝小官吏.txt																																					
299	西藏喇嘛.obj	1	2	1	0.15	182	183	184	西藏喇嘛.txt																																					
300	小贩.obj	1	2	1	0.15	182	183	184	小贩.txt																																					
301	小贩B.obj	1	2	1	0.15	182	183	184	小贩B.txt																																					
302	小贩C.obj	1	2	1	0.15	182	183	184	小贩C.txt																																					
303	新手指导男.obj	1	2	1	0.15	182	183	184	新手指导男.txt																																					
304	新手指导女.obj	1	2	1	0.15	182	183	184	新手指导女.txt																																					
305	丫鬟B.obj	1	2	1	0.15	182	183	184	丫鬟B.txt																																					
306	渔夫.obj	1	2	1	0.15	182	183	184	渔夫.txt																																					
307	月老.obj	1	2	1	0.15	182	183	184	月老.txt																																					
308	中年贵妇.obj	1	2	1	0.15	182	183	184	中年贵妇.txt																																					
309	中年贵妇B.obj	1	2	1	0.15	182	183	184	中年贵妇B.txt																																					
310	钟灵.obj	1	2	1	0.15	182	183	184	钟灵.txt																																					
312	王语嫣.obj	1	2	1	0.15	182	183	184	王语嫣.txt																																					
313	大理俗家女弟子.obj	1	2	1	0.15	182	183	184	大理俗家女弟子.txt																																					
314	大理小沙弥.obj	1	2	1	0.15	182	183	184	大理小沙弥.txt																																					
316	本参.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
317	本观.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
319	破痴.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
330	白世镜.obj	1	2	1	0.15	182	183	184	白世镜.txt																																					
331	吕师襄.obj	1	2	1	0.15	182	183	184	吕师襄.txt																																					
332	余道安.obj	1	2	1	0.15	182	183	184	余道安.txt																																					
333	慕容博.obj	1	2	1	0.15	182	183	184	慕容博.txt																																					
334	少林女弟子.obj	1	2	1	0.15	182	183	184	少林女弟子.txt																																					
335	俗家弟子.obj	1	2	1	0.15	182	183	184	俗家弟子.txt																																					
336	程若清.obj	1	2	1	0.15	182	183	184	程若清.txt																																					
337	鹤云道人.obj	1	2	1	0.15	182	183	184	鹤云道人.txt																																					
338	林灵素.obj	1	2	1	0.15	182	183	184	林灵素.txt																																					
339	宁虚散人.obj	1	2	1	0.15	182	183	184	宁虚散人.txt																																					
340	李傀儡.obj	1	2	1	0.15	182	183	184	李傀儡.txt																																					
341	吴领军.obj	1	2	1	0.15	182	183	184	吴领军.txt																																					
342	出尘子.obj	1	2	1	0.15	182	183	184	出尘子.txt																																					
343	狮吼子.obj	1	2	1	0.15	182	183	184	狮吼子.txt																																					
344	天狼子.obj	1	2	1	0.15	182	183	184	天狼子.txt																																					
345	赵天师.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
346	破痴.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
347	张函芝.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
348	南海鳄神.obj	1	2	1	0.15	182	183	184	南海鳄神.txt																																					
349	黑苗老头.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
350	扫地老僧.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
351	阿拉伯男人1.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
352	阿拉伯男人2.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
353	李秋水.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
354	陈孤雁.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
355	刘竹庄.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
356	徐长老.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
357	张全祥.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
358	左慈.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
359	范百龄.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
360	苟渎.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
361	石清露.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
362	石嫂.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
363	林世长.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
364	玄寂.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
365	玄难.obj	1	2	1	0.15	182	183	184	破嗔.txt																																					
366	赵天师新.obj	1	2	1	0.15	182	183	184	赵天师新.txt																																					
367	北院辽兵.obj	1	2	1	0.15	182	183	184	北院辽兵.txt																																					
368	楚王.obj	1	2	1	0.15	182	183	184	楚王.txt																																					
369	楚王精英卫士.obj	1	2	1	0.15	182	183	184	楚王精英卫士.txt																																					
370	僵尸.obj	1	2	1	0.15	182	183	184	僵尸.txt																																					
371	精英西夏黑黄纹衣武士.obj	1	2	1	0.15	182	183	184	精英西夏黑黄纹衣武士.txt																																					
372	精英西夏红衣武士.obj	1	2	1	0.15	182	183	184	精英西夏红衣武士.txt																																					
373	精英西夏黄衣武士.obj	1	2	1	0.15	182	183	184	精英西夏黄衣武士.txt																																					
374	精英西夏灰衣武士.obj	1	2	1	0.15	182	183	184	精英西夏灰衣武士.txt																																					
375	精英西夏魁梧武士.obj	1	2	1	0.15	182	183	184	精英西夏魁梧武士.txt																																					
376	聚贤庄家丁.obj	1	2	1	0.15	182	183	184	聚贤庄家丁.txt																																					
377	魁梧青年侠客.obj	1	2	1	0.15	182	183	184	魁梧青年侠客.txt																																					
378	魁梧中年侠士.obj	1	2	1	0.15	182	183	184	魁梧中年侠士.txt																																					
379	老乞丐.obj	1	2	1	0.15	182	183	184	老乞丐.txt																																					
380	李延宗.obj	1	2	1	0.15	182	183	184	李延宗.txt																																					
381	辽国皇帝.obj	1	2	1	0.15	182	183	184	辽国皇帝.txt																																					
382	钟汉良辽国皇太叔a.obj	1	2	1	0.15	182	183	184	辽国皇太叔A.txt																																					
383	钟汉良辽国皇太叔b.obj	1	2	1	0.15	182	183	184	辽国皇太叔B.txt																																					
384	钟汉良辽国皇太叔C.obj	1	2	1	0.15	182	183	184	辽国皇太叔C.txt																																					
385	南院辽兵.obj	1	2	1	0.15	182	183	184	南院辽兵.txt																																					
386	普通西夏武士.obj	1	2	1	0.15	182	183	184	普通西夏武士.txt																																					
387	青年女侠.obj	1	2	1	0.15	182	183	184	青年女侠.txt																																					
388	青年书生.obj	1	2	1	0.15	182	183	184	青年书生.txt																																					
389	少林老僧.obj	1	2	1	0.15	182	183	184	少林老僧.txt																																					
390	瘦削青年侠客.obj	1	2	1	0.15	182	183	184	瘦削青年侠客.txt																																					
391	瘦削中年侠士.obj	1	2	1	0.15	182	183	184	瘦削中年侠士.txt																																					
