int	string	float	float	float	float	
93	清客摇	1.700000	14.000000	1.700000	14.000000	
94	不死鸟	3.100000	19.000000	3.100000	19.000000	
95	翎月椅	3.000000	18.000000	3.000000	18.000000	
96	雁门风华	2.000000	20.000000	2.000000	20.000000	
97	银汉浮梁	2.000000	20.000000	2.000000	20.000000	
99	鹄	2.000000	20.000000	2.000000	20.000000	
100	白鹄	2.000000	20.000000	2.000000	20.000000	
101	琉璃鹄	2.000000	20.000000	2.000000	20.000000	
102	寄居蟹	1.300000	13.000000	1.3.000000	13.000000	
103	昆仑雪猿	2.000000	20.000000	2.000000	20.000000	
112	艾虎	1.300000	15.000000	1.300000	15.000000	
172	天河灵鹊	3.100000	19.000000	3.100000	19.000000	
