INT	INT	STRING	STRING	INT	INT	INT	STRING
47	1	已废弃	已废弃	0	0	-1	
48	1	已废弃	已废弃	0	0	-1	
49	1	已废弃	已废弃	0	0	-1	
50	1	已废弃	已废弃	0	0	-1	
51	1	已废弃	已废弃	0	0	-1	
52	1	已废弃	已废弃	0	0	-1	
53	1	已废弃	已废弃	0	0	-1	
54	1	已废弃	已废弃	0	0	-1	
55	1	已废弃	已废弃	0	0	-1	
56	1	已废弃	已废弃	0	0	-1	
57	1	已废弃	已废弃	0	0	-1	
58	1	已废弃	已废弃	0	0	-1	
59	1	已废弃	已废弃	0	0	-1	
60	1	已废弃	已废弃	0	0	-1	
61	1	已废弃	已废弃	0	0	-1	
62	1	已废弃	已废弃	0	0	-1	
63	1	已废弃	已废弃	0	0	-1	
64	1	已废弃	已废弃	0	0	-1	
65	1	已废弃	已废弃	0	0	-1	
66	1	已废弃	已废弃	0	0	-1	
67	1	已废弃	已废弃	0	0	-1	
68	1	已废弃	已废弃	0	0	-1	
69	1	已废弃	已废弃	0	0	-1	
70	1	已废弃	已废弃	0	0	-1	
71	1	已废弃	已废弃	0	0	-1	
72	1	已废弃	已废弃	0	0	-1	
73	1	已废弃	已废弃	0	0	-1	
74	1	已废弃	已废弃	0	0	-1	
75	1	已废弃	已废弃	0	0	-1	
76	1	已废弃	已废弃	0	0	-1	
77	1	已废弃	已废弃	0	0	-1	
78	1	已废弃	已废弃	0	0	-1	
79	1	已废弃	已废弃	0	0	-1	
80	1	已废弃	已废弃	0	0	-1	
81	1	已废弃	已废弃	0	0	-1	
82	1	已废弃	已废弃	0	0	-1	
83	1	已废弃	已废弃	0	0	-1	
84	1	已废弃	已废弃	0	0	-1	
85	1	已废弃	已废弃	0	0	-1	
86	1	已废弃	已废弃	0	0	-1	
87	1	已废弃	已废弃	0	0	-1	
88	1	已废弃	已废弃	0	0	-1	
89	1	已废弃	已废弃	0	0	-1	
90	1	已废弃	已废弃	0	0	-1	
91	1	已废弃	已废弃	0	0	-1	
92	1	已废弃	已废弃	0	0	-1	
93	1	已废弃	已废弃	0	0	-1	
94	1	已废弃	已废弃	0	0	-1	
95	1	已废弃	已废弃	0	0	-1	
96	1	已废弃	已废弃	0	0	-1	
97	1	已废弃	已废弃	0	0	-1	
98	1	已废弃	已废弃	0	0	-1	
99	1	已废弃	已废弃	0	0	-1	
100	1	已废弃	已废弃	0	0	-1	
101	1	已废弃	已废弃	0	0	-1	
102	1	已废弃	已废弃	0	0	-1	
103	1	已废弃	已废弃	0	0	-1	
104	1	已废弃	已废弃	0	0	-1	
105	1	已废弃	已废弃	0	0	-1	
106	1	已废弃	已废弃	0	0	-1	
107	1	已废弃	已废弃	0	0	-1	
108	1	已废弃	已废弃	0	0	-1	
109	1	已废弃	已废弃	0	0	-1	
110	1	已废弃	已废弃	0	0	-1	
111	1	已废弃	已废弃	0	0	-1	
112	1	已废弃	已废弃	0	0	-1	
113	1	已废弃	已废弃	0	0	-1	
114	1	已废弃	已废弃	0	0	-1	
115	1	已废弃	已废弃	0	0	-1	
116	1	已废弃	已废弃	0	0	-1	
117	1	已废弃	已废弃	0	0	-1	
118	1	已废弃	已废弃	0	0	-1	
119	1	已废弃	已废弃	0	0	-1	
120	1	已废弃	已废弃	0	0	-1	
121	1	已废弃	已废弃	0	0	-1	
122	1	已废弃	已废弃	0	0	-1	
123	1	已废弃	已废弃	0	0	-1	
124	1	已废弃	已废弃	0	0	-1	
125	1	已废弃	已废弃	0	0	-1	
126	1	已废弃	已废弃	0	0	-1	
127	1	已废弃	已废弃	0	0	-1	
128	1	已废弃	已废弃	0	0	-1	
129	1	已废弃	已废弃	0	0	-1	
130	1	已废弃	已废弃	0	0	-1	
131	1	已废弃	已废弃	0	0	-1	
132	1	已废弃	已废弃	0	0	-1	
133	1	已废弃	已废弃	0	0	-1	
134	1	已废弃	已废弃	0	0	-1	
135	1	已废弃	已废弃	0	0	-1	
136	1	已废弃	已废弃	0	0	-1	
137	1	已废弃	已废弃	0	0	-1	
138	1	已废弃	已废弃	0	0	-1	
139	1	已废弃	已废弃	0	0	-1	
140	1	已废弃	已废弃	0	0	-1	
141	1	已废弃	已废弃	0	0	-1	
142	1	已废弃	已废弃	0	0	-1	
143	1	已废弃	已废弃	0	0	-1	
144	1	已废弃	已废弃	0	0	-1	
145	1	已废弃	已废弃	0	0	-1	
146	1	已废弃	已废弃	0	0	-1	
147	1	已废弃	已废弃	0	0	-1	
148	1	已废弃	已废弃	0	0	-1	
149	1	已废弃	已废弃	0	0	-1	
150	1	已废弃	已废弃	0	0	-1	
151	1	已废弃	已废弃	0	0	-1	
152	1	已废弃	已废弃	0	0	-1	
153	1	已废弃	已废弃	0	0	-1	
154	1	已废弃	已废弃	0	0	-1	
155	1	已废弃	已废弃	0	0	-1	
156	1	已废弃	已废弃	0	0	-1	
157	1	已废弃	已废弃	0	0	-1	
158	1	已废弃	已废弃	0	0	-1	
159	1	已废弃	已废弃	0	0	-1	
160	1	已废弃	已废弃	0	0	-1	
161	1	已废弃	已废弃	0	0	-1	
162	1	已废弃	已废弃	0	0	-1	
163	1	已废弃	已废弃	0	0	-1	
164	1	已废弃	已废弃	0	0	-1	
165	1	已废弃	已废弃	0	0	-1	
166	1	已废弃	已废弃	0	0	-1	
167	1	已废弃	已废弃	0	0	-1	
168	1	已废弃	已废弃	0	0	-1	
169	1	已废弃	已废弃	0	0	-1	
170	1	已废弃	已废弃	0	0	-1	
171	1	已废弃	已废弃	0	0	-1	
172	1	已废弃	已废弃	0	0	-1	
173	1	已废弃	已废弃	0	0	-1	
174	1	已废弃	已废弃	0	0	-1	
175	1	已废弃	已废弃	0	0	-1	
176	1	已废弃	已废弃	0	0	-1	
177	1	已废弃	已废弃	0	0	-1	
178	1	已废弃	已废弃	0	0	-1	
179	1	已废弃	已废弃	0	0	-1	
180	1	已废弃	已废弃	0	0	-1	
181	1	已废弃	已废弃	0	0	-1	
182	1	已废弃	已废弃	0	0	-1	
183	1	已废弃	已废弃	0	0	-1	
184	1	已废弃	已废弃	0	0	-1	
185	1	已废弃	已废弃	0	0	-1	
186	1	已废弃	已废弃	0	0	-1	
187	1	已废弃	已废弃	0	0	-1	
188	1	已废弃	已废弃	0	0	-1	
189	1	已废弃	已废弃	0	0	-1	
190	1	已废弃	已废弃	0	0	-1	
191	2	$N的夫君	在天愿做比翼鸟，在地愿做连理枝。	22	1	-1	夫妻
192	2	$N的娘子	在天愿做比翼鸟，在地愿做连理枝。	22	1	-1	夫妻
193	8	漕运商	初级漕运商人，漕运伊始，继续努力。	43	1	-1	漕运
194	8	漕运走卒	二级漕运商人，漕运熟手，继续努力。	43	2	-1	漕运
195	8	漕运押解官	三级漕运商人，漕运能手，再接再厉。	43	3	-1	漕运
196	8	漕运统领	四级漕运商人，漕运高手，再接再厉。	43	4	-1	漕运
197	8	漕运调度副使	五级漕运商人，漕运名人，再接再厉。	43	5	-1	漕运
198	8	漕运调度使	六级漕运商人，漕运权威，业界典范。	43	6	-1	漕运
199	8	漕运总提调	七级漕运商人，漕运神话，不朽传奇。	43	7	-1	漕运
200	9	平贼士兵	杀贼勇猛，冲锋在前！	43	1	-1	贼兵入侵
201	9	平贼队长	杀贼高手，无往不利！	43	2	-1	贼兵入侵
202	9	平贼统领	杀贼精英，贼兵克星！	43	3	-1	贼兵入侵
203	9	荡寇将军	大将之才，荡平群贼！	43	4	-1	贼兵入侵
204	9	荡寇元帅	元帅之才，荡平群贼！	43	5	-1	贼兵入侵
205	10	比武大会状元	武艺超群，傲视天下。	43	3	168	比武大会
206	10	比武大会榜眼	武功卓绝，天下第二。	43	2	168	比武大会
207	10	比武大会探花	武林高手，天下第三。	43	1	168	比武大会
208	11	科举状元	学识渊博，在科举考试中力压群儒！	43	3	168	科举
209	11	科举榜眼	学识过人，在科举考试中获得第二！	43	2	168	科举
210	11	科举探花	学识过人，在科举考试中获得第三！	43	1	168	科举
211	12	少林侠士	少林初级男弟子。	43	1	-1	师门贡献
212	12	灰衣护法	少林中级男弟子。	43	2	-1	师门贡献
213	12	金身罗汉	少林高级男弟子。	43	3	-1	师门贡献
214	12	地藏菩萨	少林资深男弟子。	43	4	-1	师门贡献
215	12	少林侠女	少林初级女弟子。	43	1	-1	师门贡献
216	12	白衣侍者	少林中级女弟子。	43	2	-1	师门贡献
217	12	渡世观音	少林高级女弟子。	43	3	-1	师门贡献
218	12	迦蓝菩萨	少林资深女弟子。	43	4	-1	师门贡献
219	12	明教侠士	明教初级男弟子。	43	1	-1	师门贡献
220	12	侍火侠士	明教中级男弟子。	43	2	-1	师门贡献
221	12	护教法王	明教高级男弟子。	43	3	-1	师门贡献
222	12	光明神使	明教资深男弟子。	43	4	-1	师门贡献
223	12	明教侠女	明教初级女弟子。	43	1	-1	师门贡献
224	12	侍火侠女	明教中级女弟子。	43	2	-1	师门贡献
225	12	护教散人	明教高级女弟子。	43	3	-1	师门贡献
226	12	光明圣女	明教资深女弟子。	43	4	-1	师门贡献
227	12	丐帮侠士	丐帮初级男弟子。	43	1	-1	师门贡献
228	12	青莲弟子	丐帮中级男弟子。	43	2	-1	师门贡献
229	12	玄武长老	丐帮高级男弟子。	43	3	-1	师门贡献
230	12	掌棒龙头	丐帮资深男弟子。	43	4	-1	师门贡献
231	12	丐帮侠女	丐帮初级女弟子。	43	1	-1	师门贡献
232	12	白莲弟子	丐帮中级女弟子。	43	2	-1	师门贡献
233	12	朱雀长老	丐帮高级女弟子。	43	3	-1	师门贡献
234	12	掌钵龙女	丐帮资深女弟子。	43	4	-1	师门贡献
235	12	武当侠士	武当初级男弟子。	43	1	-1	师门贡献
236	12	青冥居士	武当中级男弟子。	43	2	-1	师门贡献
237	12	无为真人	武当高级男弟子。	43	3	-1	师门贡献
238	12	武当天尊	武当资深男弟子。	43	4	-1	师门贡献
239	12	武当侠女	武当初级女弟子。	43	1	-1	师门贡献
240	12	白云居士	武当中级女弟子。	43	2	-1	师门贡献
241	12	清静散人	武当高级女弟子。	43	3	-1	师门贡献
242	12	武当仙子	武当资深女弟子。	43	4	-1	师门贡献
243	12	峨嵋侠士	峨嵋初级男弟子。	43	1	-1	师门贡献
244	12	清风居士	峨嵋中级男弟子。	43	2	-1	师门贡献
245	12	玉龙侠士	峨嵋高级男弟子。	43	3	-1	师门贡献
246	12	峨嵋仙人	峨嵋资深男弟子。	43	4	-1	师门贡献
247	12	峨嵋侠女	峨嵋初级女弟子。	43	1	-1	师门贡献
248	12	明月居士	峨嵋中级女弟子。	43	2	-1	师门贡献
249	12	金凤侠女	峨嵋高级女弟子。	43	3	-1	师门贡献
250	12	峨嵋仙子	峨嵋资深女弟子。	43	4	-1	师门贡献
251	12	星宿侠士	星宿初级男弟子。	43	1	-1	师门贡献
252	12	行瘟郎君	星宿中级男弟子。	43	2	-1	师门贡献
253	12	催命判官	星宿高级男弟子。	43	3	-1	师门贡献
254	12	毒手医仙	星宿资深男弟子。	43	4	-1	师门贡献
255	12	星宿侠女	星宿初级女弟子。	43	1	-1	师门贡献
256	12	行瘟娘子	星宿中级女弟子。	43	2	-1	师门贡献
257	12	夺命夜叉	星宿高级女弟子。	43	3	-1	师门贡献
258	12	毒手药王	星宿资深女弟子。	43	4	-1	师门贡献
259	12	天龙侠士	天龙初级男弟子。	43	1	-1	师门贡献
260	12	藏经侠士	天龙中级男弟子。	43	2	-1	师门贡献
261	12	崇圣天师	天龙高级男弟子。	43	3	-1	师门贡献
262	12	天南龙王	天龙资深男弟子。	43	4	-1	师门贡献
263	12	天龙侠女	天龙初级女弟子。	43	1	-1	师门贡献
264	12	藏经侠女	天龙中级女弟子。	43	2	-1	师门贡献
265	12	崇圣天女	天龙高级女弟子。	43	3	-1	师门贡献
266	12	天南龙女	天龙资深女弟子。	43	4	-1	师门贡献
267	12	天山侠士	天山初级男弟子。	43	1	-1	师门贡献
268	12	阳天部众	天山中级男弟子。	43	2	-1	师门贡献
269	12	天山苍鹰	天山高级男弟子。	43	3	-1	师门贡献
270	12	混元山神	天山资深男弟子。	43	4	-1	师门贡献
271	12	天山侠女	天山初级女弟子。	43	1	-1	师门贡献
272	12	昊天部众	天山中级女弟子。	43	2	-1	师门贡献
273	12	天山雪雕	天山高级女弟子。	43	3	-1	师门贡献
274	12	混元花神	天山资深女弟子。	43	4	-1	师门贡献
275	12	逍遥侠士	逍遥初级男弟子。	43	1	-1	师门贡献
276	12	抚琴居士	逍遥中级男弟子。	43	2	-1	师门贡献
277	12	洛神侠士	逍遥高级男弟子。	43	3	-1	师门贡献
278	12	逍遥神龙	逍遥资深男弟子。	43	4	-1	师门贡献
279	12	逍遥侠女	逍遥初级女弟子。	43	1	-1	师门贡献
280	12	莳花居士	逍遥中级女弟子。	43	2	-1	师门贡献
281	12	凌波侠女	逍遥高级女弟子。	43	3	-1	师门贡献
282	12	逍遥圣女	逍遥资深女弟子。	43	4	-1	师门贡献
283	13	初级师傅	初为人师，与徒弟共同进步。#r可收2名徒弟	28	1	-1	师德等级
284	13	中级师傅	为人师表，兢兢业业。#r可收3名徒弟	28	2	-1	师德等级
285	13	高级师傅	为人师表，声名远播。#r可收5名徒弟	28	3	-1	师德等级
286	13	一代名师	一代名师，桃李满天下。#r可收8名徒弟	28	4	-1	师德等级
287	14	_JIEBAI_	义结金兰，生死与共！	24	1	-1	结拜
288	15	$N帮众	帮派普通成员。	23	1	-1	帮派(不是通过称号)
289	15	$N精英	帮派精英成员。	23	2	-1	帮派(不是通过称号)
290	15	$N商人	帮派跑商负责人。	23	3	-1	帮派(不是通过称号)
291	15	$N内务使	帮派内务负责人。	23	4	-1	帮派(不是通过称号)
292	15	$N工务使	帮派工农业负责人。	23	5	-1	帮派(不是通过称号)
293	15	$N弘化使	帮派发展负责人。	23	6	-1	帮派(不是通过称号)
294	15	$N副帮主	帮派副帮主，帮主的得力助手。	23	7	-1	帮派(不是通过称号)
295	15	$N帮主	帮会老大，帮派的最高管理者。	23	8	-1	帮派(不是通过称号)
296	16	情圣	诉情谊花语，汇天下风流。	43	1	-1	"999朵玫瑰,男"
297	16	玫瑰仙子	诉情谊花语，汇天下风流。	43	1	-1	"999朵玫瑰,女"
298	17	剿匪义士	响应朝庭号召之剿匪义士。	43	1	-1	钱宏宇称号
299	17	破匪侠士	响应朝庭号召之破匪侠士。	43	2	-1	钱宏宇称号
300	17	镇匪英侠	响应朝庭号召之镇匪英侠。	43	3	-1	钱宏宇称号
301	17	天下匪见愁	令天下群匪闻之丧胆之匪见愁。	43	4	-1	钱宏宇称号
302	18	行者无双	读万卷书，行万里路，天下无双！	43	1	-1	英雄任务
303	18	寂寞高手	武林高手，独来独往，问鼎江湖！	43	2	-1	英雄任务
304	18	无敌侠客	侠肝义胆，天下无敌，只求一败！	43	3	-1	英雄任务
305	18	盖世英雄	英雄盖世，名震寰宇，万古流芳！	43	4	-1	英雄任务
306	19	剿匪游击将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领如坐针毡之威势。	43	1	-1	镜湖剿匪
307	19	剿匪破虏将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领心生怯意之威势。	43	2	-1	镜湖剿匪
308	19	剿匪车骑将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领闻风丧胆之威势。	43	3	-1	镜湖剿匪
309	19	剿匪大将军	泠然出一式，剑影映水光。拥有令镜湖水匪头领不战而降之威势。	43	4	-1	镜湖剿匪
310	21	$N★关内侯	帮会低级爵位，张辽曾赐爵关内侯。	38	1	-1	帮派贡献度称号
311	21	$N★亭侯	帮会低级爵位，关羽曾赐爵汉寿亭侯。	38	2	-1	帮派贡献度称号
312	21	$N★乡侯	帮会中级爵位，司马懿曾赐爵安国乡侯。	38	3	-1	帮派贡献度称号
313	21	$N★县侯	帮会中级爵位，诸葛亮曾赐爵武乡县侯。	38	4	-1	帮派贡献度称号
314	21	$N★郡侯	帮会中级爵位，羊祜曾赐爵南城郡侯。	38	5	-1	帮派贡献度称号
315	21	$N★县公	帮会高级爵位，刘禅曾赐爵安乐县公。	38	6	-1	帮派贡献度称号
316	21	$N★郡公	帮会高级爵位，孙权曾赐爵吴郡郡公。	38	7	-1	帮派贡献度称号
317	21	$N★国公	帮会高级爵位，司马昭曾赐爵晋国公。	38	8	-1	帮派贡献度称号
318	21	$N★郡王	帮会超级爵位，刘备曾赐爵汉中王。	38	9	-1	帮派贡献度称号
319	21	$N★亲王	帮会超级爵位，曹操曾赐爵魏王。	38	10	-1	帮派贡献度称号
320	22	连斩狂客	百步斩，今扬名。	43	1	168	帮战获得的称号
321	22	超级旗手	迎朔风，夺旌旗。	43	1	168	帮战获得的称号
322	22	搜宝专家	蓄粮草，定胜负。	43	1	168	帮战获得的称号
323	24	缥缈之锋芒初现	牛刀小试，锋芒初现！	43	1	-1	挑战缥缈峰获得的称号
324	24	缥缈之豪情无双	长剑出鞘，豪情无双！	43	2	-1	挑战缥缈峰获得的称号
325	24	缥缈之战无不胜	攻无不克，战无不胜！	43	3	-1	挑战缥缈峰获得的称号
326	24	缥缈之我意纵横	凌绝缥缈，我意纵横！	43	4	-1	挑战缥缈峰获得的称号
327	25	广目天王	群星至，除煞时，广目天王今在此！	43	1	-1	杀星副本称号
328	25	多闻天王	群星至，除煞时，多闻天王今在此！	43	1	-1	杀星副本称号
329	25	增长天王	群星至，除煞时，增长天王今在此！	43	1	-1	杀星副本称号
330	25	持国天王	群星至，除煞时，持国天王今在此！	43	1	-1	杀星副本称号
331	26	凤凰古城的霸主	夺得凤凰平原胜利的英雄！	43	1	72	凤凰平原城战胜利获得的称号
332	27	登堂入室	炼气入体，突破三重。	43	2	-1	修炼称号
333	27	鹤立鸡群	炼气入体，突破四重。	43	3	-1	修炼称号
334	27	驾轻就熟	炼气入体，突破五重。	43	4	-1	修炼称号
335	27	非比寻常	炼气入体，突破六重。	43	5	-1	修炼称号
336	27	登峰造极	炼气入体，突破七重。	43	6	-1	修炼称号
337	27	技冠群雄	炼气入体，突破八重。	43	7	-1	修炼称号
338	27	一代宗师	炼气入体，突破九重。	43	8	-1	修炼称号
339	27	震古烁今	炼气入体，突破十重。	43	9	-1	修炼称号
340	27	超凡入圣	炼气入体，已臻化境。	43	10	-1	修炼称号
341	27	超凡入圣·五行强者	五行宝典，已臻至境。	43	11	-1	修炼称号
342	27	超凡入圣·无涯居士	无涯遗书，已臻至境。	43	11	-1	修炼称号
343	27	天人合一	至境无境，至道无道。	43	12	-1	修炼称号
344	29	一剑倾天下	独步武林，莫敢与争。	43	1	48	华山论剑称号
345	30	少林首席大弟子	华山论剑，少林为先！	43	1	48	华山论剑称号
346	30	明教首席大弟子	华山论剑，明教为先！	43	1	48	华山论剑称号
347	30	丐帮首席大弟子	华山论剑，丐帮为先！	43	1	48	华山论剑称号
348	30	武当首席大弟子	华山论剑，武当为先！	43	1	48	华山论剑称号
349	30	峨嵋首席大弟子	华山论剑，峨眉为先！	43	1	48	华山论剑称号
350	30	星宿首席大弟子	华山论剑，星宿为先！	43	1	48	华山论剑称号
351	30	天龙首席大弟子	华山论剑，天龙为先！	43	1	48	华山论剑称号
352	30	天山首席大弟子	华山论剑，天山为先！	43	1	48	华山论剑称号
353	30	逍遥首席大弟子	华山论剑，逍遥为先！	43	1	48	华山论剑称号
354	32	热心球迷	观看世界蹴鞠大赛的热心球迷。	43	1	1440	南非世界杯称号
355	32	高端球迷	热爱世界蹴鞠大赛的高端球迷。	43	2	1440	南非世界杯称号
356	32	资深球帝	评论世界蹴鞠大赛的资深球帝。	43	3	1440	南非世界杯称号
357	32	黄金球神	鉴赏世界蹴鞠大赛的黄金球神。	43	4	1440	南非世界杯称号
358	33	梦回天龙我为先	梦回天龙，我为先锋。	43	1	-1	参加怀旧·新天龙八部初心首测，角色等级达50级获得。
359	34	天龙故友·一载归来	相识一载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
360	34	天龙故友·二载归来	相识二载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
361	34	天龙故友·三载归来	相识三载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
362	34	天龙故友·四载归来	相识四载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
363	34	天龙故友·五载归来	相识五载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
364	34	天龙故友·六载归来	相识六载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
365	34	天龙故友·七载归来	相识七载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
366	34	天龙故友·八载归来	相识八载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
367	34	天龙故友·九载归来	相识九载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
368	34	天龙故友·十载归来	相识十载，再见故友。执手相看，言笑晏晏。	43	1	-1	成功使用天龙故友系列礼包后获得。
369	34	旷世嵩迷	音乐纯粹，爱嵩绝对。天龙江湖，有你相陪。许嵩歌迷的可爱凭证。	43	1	-1	使用爱嵩绝对礼匣后获得。
370	35	年华梦里故人来	2020年新天龙八部嘉年华，等你来耍~	43	1	-1	成功使用天龙游侠锦盒或天龙豪侠锦盒后获得。
371	36	$N大掌柜	生意兴隆，财运亨通。九州商会，与君相逢。	26	1	-1	道具
372	38	$N的弟子	师徒称号。	25	1	-1	师徒称号
373	1000	谜之追逐者	花灯隐语活动中解谜达人的象征。	43	1	-1	花灯隐语
374	1000	谜一样的人	花灯隐语活动中解谜专家的象征。	43	2	-1	花灯隐语
375	1000	超越谜的人	花灯隐语活动中解谜超人的象征。	43	3	-1	花灯隐语
376	1001	斗酒学士	才高八斗，酒气横天。	43	1	-1	千杯不醉
377	1002	冠绝一时	高雅的品味为一时之冠。	43	1	-1	衣柜系统
378	1002	霞光十色	散发的魅力如同霞光一般，照耀全场。	43	2	-1	衣柜系统
379	1002	绫罗百纳	绸缎绫罗，锦衣百纳，高贵而不失风雅。	43	3	-1	衣柜系统
380	1002	锦卉千葩	如同千万朵奇花同时盛放，竞相争艳，绚丽的衣着超脱凡俗，仿若天仙下凡。	43	4	-1	衣柜系统
381	1002	绮罗万华	绮罗加身，风华绝代。	43	5	-1	衣柜系统
382	1002	云绒巧纳	纤云弄巧，满目琳琅。	43	6	-1	衣柜系统
383	1002	星缎锦绣	锦衣华服，璀璨如星。	43	7	-1	衣柜系统
384	1002	月纨华素	月仙织就，舞动清秋。	43	8	-1	衣柜系统
385	1002	金缕流光	金缕霓裳，光华周流。	43	9	-1	衣柜系统
386	1002	仙袂玉裘	仙衣天成，灵玉润柔。	43	10	-1	衣柜系统
387	1003	天龙兄弟团	您点的侠意套餐已送达。	43	1	720	美团联动活动
388	1004	天龙才子·妙手丹青	纵情水墨自奇绝，画龙点睛神韵生。	43	1	2160	奖励给长期为官方微信、微博投稿，在绘图、制图方面有突出贡献的才艺玩家。
389	1004	天龙才子·锦绣华章	书剑江湖任挥洒，笔扫千军定乾坤。	43	1	2160	奖励给长期为官方微信、微博投稿，在文章、稿件方面有突出贡献的才艺玩家。
390	1004	天龙才子·光影霓裳	自古风流多才性，光影流变鉴天龙。	43	1	2160	奖励给长期为官方微信、微博投稿，在视频、音乐方面有突出贡献的才艺玩家。
391	1005	江湖百晓生	为新天龙八部记者站活跃小记者特别准备。	43	1	720	小记者专属礼包专属限时称号
392	1006	如花似玉	貌美如花，肤似美玉，天生丽质赛闭月，温文尔雅胜沉鱼。	43	1	-1	2021年情人称号
393	1006	气宇不凡	相貌、气度非凡俗所能及，所到之处无不赞美，夸奖之声不绝于耳。	43	1	-1	2021年情人称号
394	1007	国色天香	翩若惊鸿，婉若游龙，荣曜秋菊，华茂春松，实为国色天香。	43	2	-1	2021年情人称号
395	1007	风流倜傥	有才学而不拘礼法，仅凭一言一行，即可令众多江湖侠女为之心动。	43	2	-1	2021年情人称号
396	1008	倾国倾城	北方有佳人，绝世而独立，一顾倾人城，再顾倾人国宁不知倾城与倾国，佳人难再得。	43	3	-1	2021年情人称号
397	1008	玉树临风	生来气质超凡，样貌赛过潘安，动如迅雷闪电，静如玉树翩翩，引得无数女侠为之倾倒。	43	3	-1	2021年情人称号
398	1009	绝世佳人	绝世风华，妙容仙姿。倾世佳人，宛若画中云仙。	43	4	-1	2021年情人称号
399	1009	龙章凤姿	龙章凤彩，其质天然。掷果潘郎，又兼惊才风逸。	43	4	-1	2021年情人称号
400	1010	痴心不忘·醉世情圣	花影摇曳蝶流连，万千宠爱集一身。	43	1	-1	2021年情人称号
401	1010	韶华绮梦·玫瑰情人	花影摇曳蝶流连，万千宠爱集一身。	43	1	-1	2021年情人称号
402	1011	隐语者	花灯隐语活动中解谜达人的象征。	43	1	-1	花灯隐语活动中，累计完成任务3次领取的称号。
403	1011	谐隐雕龙	花灯隐语活动中解谜专家的象征。	43	2	-1	花灯隐语活动中，累计完成任务6次领取的称号。
404	1011	无文隐谜踪	花灯隐语活动中解谜超人的象征。	43	3	-1	花灯隐语活动中，累计完成任务9次领取的称号。
405	1012	英雄大会·盖世豪侠	英雄大会票选中独占鳌头。	43	4	2160	英雄大会票选中独占鳌头，夺得第一名。
406	1012	英雄大会·当世名侠	英雄大会票选中成绩斐然。	43	3	2160	英雄大会票选中成绩斐然，夺得第2-3名。
