INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
25	佛灯压顶	1	0	0	2	161	5	10	150	20	300	30	450	50	600	80	750	-1	-1	-1	-1	5	-1	-1	罗汉
26	摩诃碎甲	27	0	0	3	170	5	20	20	30	40	50	60	80	80	130	100	24	5	-1	-1	1	-1	-1	罗汉
27	行道迟迟	27	0	0	3	174	5	20	-50	30	-100	50	-150	80	-200	130	-250	24	5	-1	-1	-1	-1	-1	罗汉
28	禅力裂地	1	0	0	3	162	5	20	150	30	300	50	450	80	600	130	750	25	5	-1	-1	5	-1	-1	罗汉
29	长虹凌日	18	0	0	4	176	5	40	2	70	4	110	6	180	8	290	10	-1	-1	10	-1	35	-1	-1	罗汉
30	伏虎迎佛	49	0	0	4	160	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	283	-1	-1	罗汉
31	不动如山	86	0	0	5	182	5	80	30	120	60	200	90	320	120	520	150	-1	-1	15	-1	-1	-1	-1	罗汉
32	舍身除魔	32	0	0	5	183	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	罗汉
33	佛手开天	33	0	0	5	162	5	80	40	120	80	200	120	320	160	520	200	28	5	15	-1	-1	-1	-1	罗汉
34	法身印	-1	0	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	金刚
35	伏虎拳·神威	39	0	1	2	160	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	金刚
36	佛法无边	6	0	1	2	161	5	10	1	20	2	30	3	50	4	80	5	-1	-1	-1	-1	-1	-1	-1	金刚
37	无垢佛身	2	0	1	3	184	5	20	10	30	20	50	30	80	40	130	50	35	5	-1	-1	-1	-1	-1	金刚
38	筋骨道基	28	0	1	3	184	5	20	10	30	20	50	30	80	40	130	50	35	5	-1	-1	-1	-1	-1	金刚
39	梵音镇神	29	0	1	3	166	5	20	42853	30	42854	50	42855	80	42856	130	42857	36	5	-1	-1	3294	-1	-1	金刚
40	魔心种佛	30	0	1	4	-1	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	293	2	-1	金刚
41	金刚怒目	31	0	1	4	-1	5	40	1	70	2	110	3	180	4	290	5	-1	-1	10	-1	-1	-1	-1	金刚
42	诸佛无相	2	0	1	5	172	5	80	2	120	4	200	6	320	8	520	10	40	5	-1	-1	-1	-1	-1	金刚
43	佛心行持	34	0	1	5	172	5	80	1	120	2	200	3	320	4	520	5	40	5	-1	-1	-1	-1	-1	金刚
44	佛缘业火	35	0	1	5	168	5	80	10	120	20	200	30	320	40	520	50	41	5	-1	-1	-1	-1	-1	金刚
45	不死不休	-1	1	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3293	天罗
46	摧心掌·神威	39	1	0	2	187	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	天罗
47	烽燧相望	2	1	0	2	188	5	10	2	20	4	30	6	50	8	80	10	-1	-1	-1	-1	-1	-1	-1	天罗
48	天罗地网	20	1	0	3	189	5	20	20	30	40	50	60	80	80	130	100	46	5	-1	-1	-1	-1	-1	天罗
49	引火成缚	20	1	0	3	201	5	20	20	30	40	50	60	80	80	130	100	46	5	-1	-1	-1	-1	-1	天罗
50	一炬万顷	29	1	0	3	203	5	20	42858	30	42859	50	42860	80	42861	130	42862	47	5	-1	-1	3295	-1	-1	天罗
51	撼岳龙腾	49	1	0	4	187	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	313	-1	-1	天罗
52	步步为营	38	1	0	4	187	5	40	42863	70	42864	110	42865	180	42866	290	42867	-1	-1	10	-1	-1	-1	-1	天罗
53	东风已至	40	1	0	5	201	5	80	50	120	100	200	150	320	200	520	250	51	5	-1	-1	-1	-1	-1	天罗
54	焚天炽地	41	1	0	5	189	5	80	40	120	80	200	120	320	160	520	200	51	5	-1	-1	-1	-1	-1	天罗
55	火浪滔天	42	1	0	5	210	5	80	200	120	400	200	600	320	800	520	1000	-1	-1	15	-1	-1	-1	-1	天罗
56	怒焰焚世	-1	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	血戾
57	摧心掌·神威	39	1	1	2	187	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	血戾
58	明光悬	2	1	1	2	189	5	10	1	20	2	30	3	50	4	80	5	-1	-1	-1	-1	-1	-1	-1	血戾
59	骤雨颓垣	21	1	1	3	197	5	20	50	30	100	50	150	80	200	130	250	57	5	-1	-1	-1	-1	-1	血戾
60	化坎入离	36	1	1	3	197	5	20	200	30	400	50	600	80	800	130	1000	57	5	-1	-1	-1	-1	-1	血戾
61	雷霆之怒	37	1	1	3	193	5	20	200	30	400	50	600	80	800	130	1000	58	5	-1	-1	-1	-1	-1	血戾
62	烛芯烬	9	1	1	4	189	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	10	335	-1	-1	血戾
63	慨当以慷	23	1	1	4	187	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	血戾
64	天地为炉	43	1	1	5	210	5	80	20	120	40	200	60	320	80	520	100	62	5	-1	-1	-1	-1	-1	血戾
65	付之一烬	44	1	1	5	210	5	80	40	120	80	200	120	320	160	520	200	-1	-1	15	-1	110	279	-1	血戾
66	乘势追击	45	1	1	5	206	5	80	60	120	120	200	180	320	240	520	300	63	5	-1	-1	-1	-1	-1	血戾
67	海纳川行诀	-1	3	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	凭虚
68	八卦掌·神威	39	3	0	2	239	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	凭虚
69	万辰莹辉	80	3	0	2	244	5	10	20	20	40	30	60	50	80	80	100	-1	-1	-1	-1	7	-1	-1	凭虚
70	踏碎星河	33	3	0	3	245	5	20	60	30	120	50	180	80	240	130	300	68	5	-1	-1	-1	-1	-1	凭虚
71	酣然魂逝	83	3	0	3	245	5	20	100	30	200	50	300	80	400	130	500	68	5	-1	-1	-1	-1	-1	凭虚
72	澹兮岚萦	34	3	0	3	261	5	20	2	30	4	50	6	80	8	130	10	69	5	-1	-1	-1	-1	-1	凭虚
73	八卦衍	49	3	0	4	239	5	40	30	70	60	110	90	180	120	290	150	-1	-1	10	2	373	-1	-1	凭虚
74	紫气东来	81	3	0	4	250	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	-1	-1	-1	凭虚
75	一剑万钧	33	3	0	5	241	5	80	70	120	140	200	210	320	280	520	350	73	5	-1	-1	-1	-1	-1	凭虚
76	纳灵凝丹	85	3	0	5	241	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	凭虚
77	太初将至	2	3	0	5	246	5	80	2	120	4	200	6	320	8	520	10	-1	-1	15	-1	-1	-1	-1	凭虚
78	七步登云庭	-1	3	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	摘星
79	八卦掌·神威	39	3	1	2	239	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	摘星
80	清风快哉	2	3	1	2	240	5	10	2	20	4	30	6	50	8	80	10	-1	-1	-1	-1	-1	-1	-1	摘星
81	虚步青云	2	3	1	3	247	5	20	4	30	8	50	12	80	16	130	20	79	5	-1	-1	-1	-1	-1	摘星
82	裁风绊月	27	3	1	3	242	5	20	-30	30	-60	50	-90	80	-120	130	-150	79	5	-1	-1	-1	-1	-1	摘星
83	斗转星驰	2	3	1	3	262	5	20	1	30	2	50	3	80	4	130	5	80	5	-1	-1	-1	-1	-1	摘星
84	爻动星移	9	3	1	4	239	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	2	395	-1	-1	摘星
85	星涛怒浪	56	3	1	4	262	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	-1	20	-1	-1	摘星
86	天钺横空	33	3	1	5	262	5	80	30	120	60	200	90	320	120	520	150	84	5	-1	-1	-1	-1	-1	摘星
87	罡风袭月	82	3	1	5	242	5	80	42848	120	42849	200	42850	320	42851	520	42852	-1	-1	15	-1	-1	-1	-1	摘星
88	星隐鹤啼	84	3	1	5	255	5	80	2	120	4	200	6	320	8	520	10	85	5	-1	-1	-1	-1	-1	摘星
89	医者仁心	-1	4	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	沁芳
90	拜月·神威	39	4	0	2	265	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	沁芳
91	盈裕太渊	46	4	0	2	271	5	10	50	20	100	30	150	50	200	80	250	-1	-1	-1	-1	-1	-1	-1	沁芳
92	甘木灵佑	47	4	0	3	273	5	20	200	30	400	50	600	80	800	130	1000	90	5	-1	-1	-1	-1	-1	沁芳
93	净繁芜	48	4	0	3	273	5	20	100	30	200	50	300	80	400	130	500	90	5	-1	110	279	-1	-1	沁芳
94	凝神皈心	2	4	0	3	277	5	20	20	30	40	50	60	80	80	130	100	91	5	-1	-1	-1	-1	-1	沁芳
95	风清月朗	49	4	0	4	286	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	426	-1	-1	沁芳
96	风摧木鸣	31	4	0	4	-1	5	40	2	70	4	110	6	180	8	290	10	-1	-1	10	-1	-1	-1	-1	沁芳
97	花满闲潭	46	4	0	5	288	5	80	100	120	200	200	300	320	400	520	500	95	5	-1	-1	-1	-1	-1	沁芳
98	妙手回天	51	4	0	5	275	5	80	2	120	4	200	6	320	8	520	10	-1	-1	15	-1	-1	-1	-1	沁芳
99	桃李春风	51	4	0	5	270	5	80	2	120	4	200	6	320	8	520	10	94	5	15	-1	-1	-1	-1	沁芳
100	琵琶声停	-1	4	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	清音
101	拜月·神威	39	4	1	2	265	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	清音
102	遮云蔽月	21	4	1	2	279	5	10	10	20	20	30	30	50	40	80	50	-1	-1	-1	-1	-1	-1	-1	清音
103	半阙商歌	39	4	1	3	268	5	20	200	30	400	50	600	80	800	130	1000	101	5	-1	-1	2	-1	-1	清音
104	筝鸣裂帛	33	4	1	3	268	5	20	100	30	200	50	300	80	400	130	500	101	5	-1	-1	-1	-1	-1	清音
105	空山凝云	27	4	1	3	268	5	20	-80	30	-160	50	-240	80	-320	130	-400	102	5	-1	-1	-1	-1	-1	清音
106	轮弦繁促	49	4	1	4	267	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	403	-1	-1	清音
107	杀机四伏	50	4	1	4	268	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	30	421	-1	-1	清音
108	西子叹	33	4	1	5	267	5	80	80	120	160	200	240	320	320	520	400	106	5	-1	-1	-1	-1	-1	清音
109	月寒衾	39	4	1	5	288	5	80	200	120	400	200	600	320	800	520	1000	-1	-1	15	-1	2	-1	-1	清音
110	幽咽泉流	52	4	1	5	287	5	80	42868	120	42869	200	42870	320	42871	520	42872	107	5	-1	-1	-1	-1	-1	清音
111	冥星照顶	-1	5	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3296	寒冥
112	蓝砂手·神威	39	5	0	2	291	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	寒冥
113	幽冥急袭	53	5	0	2	293	5	10	100	20	200	30	300	50	400	80	500	-1	-1	-1	-1	-1	-1	-1	寒冥
114	冰寒绝息	40	5	0	3	305	5	20	50	30	100	50	150	80	200	130	250	112	5	-1	-1	-1	-1	-1	寒冥
115	掌势潮涌	2	5	0	3	293	5	20	1	30	2	50	3	80	4	130	5	113	5	-1	-1	-1	-1	-1	寒冥
116	幽冥寂灭	33	5	0	3	293	5	20	80	30	160	50	240	80	320	130	400	113	5	-1	-1	-1	-1	-1	寒冥
117	掌迫生机	49	5	0	4	293	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	10	455	-1	-1	寒冥
118	辣手戾心	56	5	0	4	291	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	30	-1	-1	寒冥
119	阎王来帖	33	5	0	5	314	5	80	30	120	60	200	90	320	120	520	150	117	5	-1	-1	-1	-1	-1	寒冥
120	天损有余	58	5	0	5	310	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	500	-1	-1	寒冥
121	地杀不足	59	5	0	5	310	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	500	-1	-1	寒冥
122	巫蛊降厄	-1	5	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	九厄
123	蓝砂手·神威	39	5	1	2	291	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	九厄
124	惜金蟾蜍	53	5	1	2	295	5	10	100	20	200	30	300	50	400	80	500	-1	-1	-1	-1	-1	-1	-1	九厄
125	毒厄夺命	54	5	1	3	294	5	20	40	30	80	50	120	80	160	130	200	123	5	-1	-1	-1	-1	-1	九厄
126	余罪缠身	27	5	1	3	294	5	20	-50	30	-100	50	-150	80	-200	130	-250	-1	-1	5	-1	-1	-1	-1	九厄
127	颠倒阴阳	55	5	1	3	303	5	20	60	30	120	50	180	80	240	130	300	124	5	-1	-1	-1	-1	-1	九厄
128	蛇毒浸体	49	5	1	4	301	5	40	150	70	300	110	450	180	600	290	750	-1	-1	10	10	455	-1	-1	九厄
129	天怒地愤	57	5	1	4	310	5	40	30	70	60	110	90	180	120	290	150	-1	-1	10	-1	-1	-1	-1	九厄
130	长恨绵绵	2	5	1	5	312	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	九厄
131	噬血吸髓	60	5	1	5	297	5	80	70	120	140	200	210	320	280	520	350	-1	-1	15	-1	-1	-1	-1	九厄
132	咒昭重厄	25	5	1	5	310	5	80	20	120	40	200	60	320	80	520	100	129	5	-1	-1	-1	-1	-1	九厄
133	化乾转坤	-1	6	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	龙威
134	正阳手·神威	39	6	0	2	317	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	龙威
135	啸惊天地	62	6	0	2	333	5	10	300	20	600	30	900	50	1200	80	1500	-1	-1	-1	-1	35	-1	-1	龙威
136	千山灭	39	6	0	3	319	5	20	70	30	140	50	210	80	280	130	350	134	5	-1	-1	7	-1	-1	龙威
137	飞光不附	3	6	0	3	319	5	20	50	30	100	50	150	80	200	130	250	134	5	-1	-1	42842	-1	-1	龙威
138	怒震列缺	39	6	0	3	338	5	20	70	30	140	50	210	80	280	130	350	135	5	-1	-1	7	-1	-1	龙威
139	烛龙衔光	49	6	0	4	319	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	463	-1	-1	龙威
140	恨断青山	56	6	0	4	339	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	-1	50	-1	-1	龙威
141	死生无门	66	6	0	5	319	5	80	40	120	80	200	120	320	160	520	200	139	5	-1	-1	-1	-1	-1	龙威
142	风云从龙	67	6	0	5	338	5	80	80	120	160	200	240	320	320	520	400	-1	-1	15	-1	-1	-1	-1	龙威
143	太白入月	68	6	0	5	-1	5	80	6	120	12	200	18	320	24	520	30	-1	-1	15	-1	-1	-1	-1	龙威
144	谒天应行	-1	6	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	菩天
145	正阳手·神威	39	6	1	2	317	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	菩天
146	恩拂九重	62	6	1	2	322	5	10	60	20	120	30	180	50	240	80	300	-1	-1	-1	-1	34	-1	-1	菩天
147	万壑深	63	6	1	3	327	5	20	80	30	160	50	240	80	320	130	400	145	5	-1	-1	-1	-1	-1	菩天
148	蹈死难顾	64	6	1	3	327	5	20	50	30	100	50	150	80	200	130	250	145	5	-1	-1	-1	-1	-1	菩天
149	缘门始开	65	6	1	3	338	5	20	20	30	40	50	60	80	80	130	100	146	5	-1	-1	-1	-1	-1	菩天
150	不问修罗	49	6	1	4	327	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	5	488	-1	-1	菩天
151	择风化雨	49	6	1	4	317	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	2	469	-1	-1	菩天
152	众生如来	69	6	1	5	340	5	80	3	120	6	200	9	320	12	520	15	150	5	-1	-1	-1	-1	-1	菩天
153	万鬼难渡	21	6	1	5	331	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	菩天
154	风月同悲	70	6	1	5	325	5	80	100	120	200	200	300	320	400	520	500	151	5	-1	-1	-1	-1	-1	菩天
155	寒芒乍现	-1	7	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	霜凝
156	雁南飞·神威	39	7	0	2	343	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	霜凝
157	冰封雪舞	17	7	0	2	353	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	-1	-1	-1	霜凝
158	箫韶引凤	2	7	0	3	345	5	20	2	30	4	50	6	80	8	130	10	156	5	-1	-1	-1	-1	-1	霜凝
159	生死一念	19	7	0	3	345	5	20	10	30	20	50	30	80	40	130	50	-1	-1	5	-1	-1	-1	-1	霜凝
160	万翎千机	20	7	0	3	345	5	20	20	30	40	50	60	80	80	130	100	157	5	-1	-1	-1	-1	-1	霜凝
161	鸿雁来宾	49	7	0	4	343	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	492	-1	-1	霜凝
162	凤回首	49	7	0	4	345	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	493	-1	-1	霜凝
163	孤鹰戾天	1	7	0	5	344	5	80	100	120	200	200	300	320	400	520	500	161	5	-1	-1	3	-1	-1	霜凝
164	无边落木	24	7	0	5	350	5	80	50	120	100	200	150	320	200	520	250	-1	-1	15	-1	-1	-1	-1	霜凝
165	霜冷九州	1	7	0	5	345	5	80	150	120	300	200	450	320	600	520	750	162	5	-1	-1	3	-1	-1	霜凝
166	匿影绝杀	-1	7	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	雪隐
167	雁南飞·神威	39	7	1	2	343	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	雪隐
168	杀意袭	18	7	1	2	353	5	10	2	20	4	30	6	50	8	80	10	-1	-1	-1	-1	35	-1	-1	雪隐
169	寒梅寂	21	7	1	3	357	5	20	50	30	100	50	150	80	200	130	250	167	5	-1	-1	-1	-1	-1	雪隐
170	生杀予夺	61	7	1	3	-1	5	20	8	30	16	50	24	80	32	130	40	-1	-1	5	-1	-1	-1	-1	雪隐
171	暮雪将倾	2	7	1	3	353	5	20	1	30	2	50	3	80	4	130	5	168	5	-1	-1	-1	-1	-1	雪隐
172	雁寄梅花	9	7	1	4	343	5	40	40	70	80	110	120	180	160	290	200	-1	-1	10	2	507	-1	-1	雪隐
173	悲雁鸣	23	7	1	4	343	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	雪隐
174	长夜无昼	33	7	1	5	359	5	80	50	120	100	200	150	320	200	520	250	172	5	-1	-1	-1	-1	-1	雪隐
175	梅开二度	25	7	1	5	359	5	80	50	120	100	200	150	320	200	520	250	172	5	-1	-1	-1	-1	-1	雪隐
176	一曲成殇	26	7	1	5	362	5	80	30	120	60	200	90	320	120	520	150	173	5	-1	-1	-1	-1	-1	雪隐
177	飞星晔夜	-1	8	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	逸仙
178	落英剑·神威	39	8	0	2	370	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	逸仙
179	霁月行空	71	8	0	2	375	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	-1	-1	-1	逸仙
180	一指透春寒	73	8	0	3	372	5	20	6	30	12	50	18	80	24	130	30	178	5	-1	-1	-1	-1	-1	逸仙
181	凌霄揽月	74	8	0	3	391	5	20	20	30	40	50	60	80	80	130	100	-1	-1	5	-1	-1	-1	-1	逸仙
182	旋花穿云	19	8	0	3	384	5	20	5	30	10	50	15	80	20	130	25	179	5	-1	-1	-1	-1	-1	逸仙
183	时移如梭	49	8	0	4	372	5	40	40	70	80	110	120	180	160	290	200	-1	-1	10	100	535	-1	-1	逸仙
184	绘洗晴岚	49	8	0	4	384	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	523	-1	-1	逸仙
185	畅淋漓	40	8	0	5	384	5	80	50	120	100	200	150	320	200	520	250	183	5	-1	-1	-1	-1	-1	逸仙
186	踏浪濯心	77	8	0	5	384	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	逸仙
187	穿林打叶	20	8	0	5	372	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	逸仙
188	欺烟困雨	-1	8	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	明鬼
189	落英剑·神威	39	8	1	2	370	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	明鬼
190	骨重识寒	72	8	1	2	371	5	10	50	20	100	30	150	50	200	80	250	-1	-1	-1	-1	-1	-1	-1	明鬼
191	碎尘泥	72	8	1	3	392	5	20	100	30	200	50	300	80	400	130	500	189	5	-1	-1	-1	-1	-1	明鬼
192	罔象促梦	2	8	1	3	392	5	20	2	30	4	50	6	80	8	130	10	189	5	-1	-1	-1	-1	-1	明鬼
193	烛花催夜	2	8	1	3	374	5	20	2	30	4	50	6	80	8	130	10	190	5	-1	-1	-1	-1	-1	明鬼
194	残春待晓	75	8	1	4	393	5	40	150	70	300	110	450	180	600	290	750	-1	-1	10	10	-1	-1	-1	明鬼
195	怨清商	76	8	1	4	393	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	-1	-1	-1	-1	明鬼
196	浪流风逐	78	8	1	5	393	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	明鬼
197	烟霏殁	72	8	1	5	393	5	80	100	120	200	200	300	320	400	520	500	-1	-1	15	-1	-1	-1	-1	明鬼
198	蔽日吞天	79	8	1	5	389	5	80	42843	120	42844	200	42845	320	42846	520	42847	195	5	-1	-1	-1	-1	-1	明鬼
199	伏虎拳·破壁	87	0	0	6	160	5	12	40	24	80	36	120	60	160	96	200	-1	-1	20	-1	-1	-1	-1	少林2罗汉X1
200	伏虎拳·彻骨	89	0	0	6	160	5	12	10	24	20	36	30	60	40	96	50	-1	-1	20	-1	-1	-1	-1	少林2罗汉X2
201	金刚不渡	3	0	0	7	162	5	24	30	36	60	60	90	96	120	156	150	199	5	-1	-1	44260	-1	-1	少林2罗汉X3
202	观照般若	20	0	0	7	162	5	24	20	36	40	60	60	96	80	156	100	-1	-1	25	-1	-1	-1	-1	少林2罗汉X4
203	礼召佛光	91	0	0	7	162	5	24	44261	36	44262	60	44263	96	44264	156	44265	200	5	-1	-1	15	-1	-1	少林2罗汉X5
204	千斤坠	3	0	0	8	160	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44266	-1	-1	少林2罗汉X6
205	消障佛音	92	0	0	8	160	5	50	10	90	20	140	30	230	40	372	50	-1	-1	30	-1	44267	-1	-1	少林2罗汉X7
206	风卷行云	93	0	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3593	少林2罗汉X8
207	流风化羽	93	0	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3594	少林2罗汉X9
208	俱寂无声	93	0	0	9	-1	5	96	0	144	0	240	0	384	0	624	0	-1	-1	35	-1	-1	-1	3595	少林2罗汉X10
